Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
40/,20191001-1148-FRANKFURT_1-01-184,17.481,17.382,-2.439,-0.672,4.072,-7.698,229.039,-0.351,-11.565,349.422,-4.846,32.956,350.384,40.474
Fliffis aus B,20191001-1148-FRANKFURT_1-01-196,35.016,35.484,-19.791,-1.626,2.621,95.614,-223.055,64.525,154.334,-361.372,98.899,167.593,765.456,229.601
40<,20191001-1148-FRANKFURT_1-01-197,18.436,18.258,-2.924,0.014,5.796,-2.627,203.765,-9.367,-3.064,336.294,-20.036,28.386,460.987,56.857
Fliffis aus C,20191001-1148-FRANKFURT_1-01-198,40.049,40.504,-21.789,-1.525,-1.511,54.07,-195.797,107.521,83.44,-299.074,160.0,99.261,713.065,232.891
40/,20191001-1148-FRANKFURT_1-01-199,16.504,16.35,-0.909,-0.925,4.366,-14.032,214.703,6.434,-22.555,348.112,6.15,38.155,352.031,34.27
Fliffis aus B,20191001-1148-FRANKFURT_1-01-218,34.826,35.02,-19.264,-1.081,4.45,77.6,-207.741,92.512,127.881,-341.971,147.072,143.527,751.566,218.644
40<,20191001-1148-FRANKFURT_1-01-219,18.902,18.952,-3.009,-0.687,4.749,-8.19,207.475,-10.121,-13.593,350.409,-22.594,25.921,467.407,43.296
Fliffis aus C,20191001-1148-FRANKFURT_1-01-220,38.119,38.808,-22.226,-1.646,-2.409,52.808,-237.975,98.866,83.5,-369.916,149.765,96.451,700.854,245.158
40/,20191001-1148-FRANKFURT_1-01-221,17.301,16.953,-0.93,-0.596,5.304,-4.722,211.684,-13.899,-7.094,342.361,-27.354,28.157,345.763,46.528
Fliffis aus B,20191001-1148-FRANKFURT_1-01-244,34.984,35.134,-18.973,-3.755,3.455,146.095,-235.888,64.23,240.037,-389.144,99.554,256.628,768.477,254.759
40<,20191001-1148-FRANKFURT_1-01-245,19.416,19.525,-2.56,-0.597,4.045,-9.035,203.006,-1.777,-13.532,336.774,-7.114,36.203,437.795,48.931
Fliffis aus C,20191001-1148-FRANKFURT_1-01-246,36.984,37.124,-20.169,-0.772,-0.283,44.966,-210.669,105.628,72.287,-336.002,163.508,78.517,718.306,232.728
40/,20191001-1148-FRANKFURT_1-01-247,15.286,15.316,-0.041,-0.565,4.146,-7.611,208.529,-4.545,-12.031,345.015,-11.546,30.663,348.7,41.985
3/4 Salto rw A,20191001-1202-FRANKFURT_2-01-25,14.015,13.724,-4.777,-1.284,2.823,-3.793,-171.915,-13.813,-6.597,-307.212,-29.555,26.43,316.827,51.061
Cody C,20191001-1202-FRANKFURT_2-01-26,24.995,25.139,2.708,-2.357,-1.349,-29.706,-250.277,-4.515,-47.967,-401.157,-11.66,67.113,472.567,67.656
Salto B,20191001-1202-FRANKFURT_2-01-28,20.929,20.75,1.647,-0.971,2.77,-21.105,-213.967,-9.13,-34.522,-350.366,-19.13,46.729,396.493,61.803
Barani A,20191001-1202-FRANKFURT_2-01-29,19.806,19.828,0.563,-0.885,3.632,65.171,-33.051,105.792,107.101,-54.75,169.343,126.478,271.193,207.046
Salto A,20191001-1202-FRANKFURT_2-01-30,17.781,17.689,0.414,-1.731,3.297,-29.3,-211.205,-6.149,-47.841,-346.359,-14.67,54.322,350.776,50.54
3/4 Salto rw A,20191001-1202-FRANKFURT_2-01-42,14.028,13.761,-4.578,-1.378,2.196,-1.003,-175.848,-12.931,-1.557,-311.192,-27.668,23.475,314.637,52.169
Cody C,20191001-1202-FRANKFURT_2-01-43,25.569,25.842,1.721,-1.967,-2.222,-32.252,-249.599,-13.082,-51.703,-394.323,-25.257,56.954,458.127,82.479
Salto B,20191001-1202-FRANKFURT_2-01-45,19.46,19.259,1.817,-0.956,3.548,-18.514,-208.805,-5.073,-30.555,-345.697,-13.574,39.962,399.36,67.211
Barani A,20191001-1202-FRANKFURT_2-01-46,19.172,19.034,-0.35,-1.134,3.681,55.426,-24.209,103.023,91.19,-40.171,166.57,111.97,270.139,198.148
Salto A,20191001-1202-FRANKFURT_2-01-47,16.721,16.561,-0.476,-1.109,3.659,-18.859,-206.598,-6.299,-31.836,-350.052,-15.314,44.955,358.823,54.809
3/4 Salto rw A,20191001-1202-FRANKFURT_2-01-62,14.062,13.762,-4.378,-1.166,3.044,-1.445,-171.832,-13.287,-2.081,-308.401,-29.149,27.365,324.962,53.642
Cody C,20191001-1202-FRANKFURT_2-01-63,25.25,25.638,2.101,-2.531,-1.92,-29.917,-248.381,-20.214,-48.549,-396.669,-36.114,53.887,460.093,102.705
Salto B,20191001-1202-FRANKFURT_2-01-65,19.97,19.578,0.782,-1.215,3.046,-20.974,-209.433,-8.876,-34.862,-349.789,-19.531,41.642,390.948,55.974
Barani A,20191001-1202-FRANKFURT_2-01-66,18.766,18.751,-0.707,-1.175,3.515,58.241,-26.736,108.159,96.547,-45.554,175.839,121.298,252.804,207.904
Salto A,20191001-1202-FRANKFURT_2-01-67,17.209,17.061,-0.284,-1.024,3.875,-23.099,-207.751,-11.5,-39.399,-353.252,-23.632,47.76,358.272,54.507
Barani A,20191001-1202-FRANKFURT_2-01-78,18.952,18.76,0.47,-1.514,3.528,41.048,-26.335,122.02,66.516,-44.038,193.981,109.052,281.543,217.86
Salto A,20191001-1202-FRANKFURT_2-01-79,16.077,16.505,0.607,-0.616,2.799,-12.809,-215.821,-17.228,-20.599,-352.251,-38.1,30.031,354.012,62.458
Salto C,20191001-1202-FRANKFURT_2-01-81,19.395,19.188,1.324,-1.243,3.191,-20.728,-212.656,-4.87,-33.674,-349.23,-12.374,53.236,376.022,47.773
3/4 Salto vw A,20191001-1202-FRANKFURT_2-01-82,14.378,14.432,4.065,-1.312,5.994,24.799,163.929,4.836,42.485,282.744,3.391,44.972,305.02,39.844
Baby- Fliffis C,20191001-1202-FRANKFURT_2-01-83,24.055,24.752,9.917,-1.958,-0.558,47.291,53.396,119.366,73.455,79.246,179.419,87.784,361.484,190.768
Barani A,20191001-1202-FRANKFURT_2-01-92,19.48,18.845,0.299,-1.481,4.076,49.559,-37.37,110.244,80.785,-62.297,175.939,102.023,282.151,205.637
Salto A,20191001-1202-FRANKFURT_2-01-93,16.765,16.829,-0.483,-1.113,3.013,-14.437,-211.461,-13.94,-23.56,-344.86,-27.161,32.935,349.611,62.168
Salto C,20191001-1202-FRANKFURT_2-01-95,18.684,18.193,0.824,-1.365,3.91,-28.25,-205.593,-9.65,-47.611,-346.518,-20.759,54.459,364.227,62.897
3/4 Salto vw A,20191001-1202-FRANKFURT_2-01-96,14.823,15.14,4.816,-1.561,5.228,22.858,164.089,6.773,39.262,281.97,6.777,42.453,298.12,42.949
Baby- Fliffis C,20191001-1202-FRANKFURT_2-01-97,25.675,25.813,10.892,-1.801,0.495,53.976,60.583,140.101,85.485,93.018,216.458,105.851,351.975,240.63
Barani A,20191001-1202-FRANKFURT_2-01-109,17.679,18.105,1.416,-1.029,2.374,54.448,-28.969,124.305,87.323,-46.6,193.436,105.78,270.863,208.097
Salto A,20191001-1202-FRANKFURT_2-01-110,18.691,17.917,-0.735,-1.235,4.927,-8.491,-214.491,-13.159,-14.472,-353.342,-25.005,32.641,360.594,61.673
Salto C,20191001-1202-FRANKFURT_2-01-112,18.727,18.719,1.369,-1.056,3.695,-17.818,-206.509,-10.782,-29.663,-341.23,-22.273,42.979,367.726,61.224
3/4 Salto vw A,20191001-1202-FRANKFURT_2-01-113,14.633,14.465,3.757,-1.059,6.184,22.39,164.964,2.259,38.214,280.433,-0.487,39.003,315.295,42.677
Baby- Fliffis C,20191001-1202-FRANKFURT_2-01-114,24.805,26.032,11.935,-1.34,-0.999,-8.062,59.921,123.553,-12.668,87.974,181.645,110.659,375.319,225.287
Salto A,20191001-1202-FRANKFURT_2-01-130,15.748,15.874,0.63,-0.752,3.179,-5.245,-213.114,-10.107,-8.275,-343.098,-25.514,25.683,344.034,47.861
Salto A,20191001-1202-FRANKFURT_2-01-131,17.652,17.73,1.188,-0.915,4.134,-8.128,-227.863,-5.08,-13.958,-369.489,-8.169,24.348,374.354,50.516
Salto A,20191001-1202-FRANKFURT_2-01-132,16.284,16.36,-0.103,-0.778,3.651,3.464,-206.409,-12.592,5.676,-339.278,-24.763,20.87,344.345,49.534
Salto A,20191001-1202-FRANKFURT_2-01-142,16.625,16.589,1.101,-0.881,3.087,-13.488,-217.181,-17.547,-21.865,-345.556,-34.886,26.811,348.709,50.315
Salto A,20191001-1202-FRANKFURT_2-01-143,17.148,17.472,0.711,-1.059,3.533,-11.03,-223.57,-13.845,-18.375,-360.032,-27.634,30.502,364.109,60.014
Salto A,20191001-1202-FRANKFURT_2-01-144,17.515,17.902,0.354,-1.067,3.153,-11.875,-215.834,-5.201,-18.884,-349.226,-9.573,37.734,355.062,60.982
Salto A,20191001-1202-FRANKFURT_2-01-155,16.214,16.13,0.608,-0.998,3.002,-18.511,-218.109,-9.817,-30.07,-351.426,-24.113,36.72,351.426,41.899
Salto A,20191001-1202-FRANKFURT_2-01-156,18.076,17.879,0.725,-1.307,3.889,-13.746,-220.09,-12.127,-21.852,-353.834,-23.992,27.026,359.375,64.332
Salto A,20191001-1202-FRANKFURT_2-01-157,17.731,17.521,-1.009,-1.344,4.382,-22.645,-208.315,-10.172,-38.881,-351.382,-16.46,44.419,359.235,62.477
Salto A,20191001-1202-FRANKFURT_2-01-172,16.36,16.46,0.973,-1.027,2.904,-19.037,-214.56,-8.892,-30.38,-344.221,-22.754,40.357,346.201,52.547
Salto A,20191001-1202-FRANKFURT_2-01-173,17.824,17.87,0.982,-1.066,3.853,-18.864,-220.72,-5.943,-31.002,-361.716,-15.306,40.138,365.377,66.067
Salto A,20191001-1202-FRANKFURT_2-01-174,18.669,18.07,0.723,-1.076,4.571,-12.988,-212.707,-10.578,-22.01,-355.151,-21.56,30.787,365.397,65.858
Salto A,20191001-1202-FRANKFURT_2-01-184,16.272,16.398,1.169,-1.034,2.759,-8.651,-221.483,-7.46,-13.757,-354.025,-20.691,23.697,354.025,47.444
Salto A,20191001-1202-FRANKFURT_2-01-185,17.578,17.82,0.757,-1.353,3.406,-17.701,-220.982,-6.019,-29.022,-355.688,-14.011,39.472,359.967,60.312
Salto A,20191001-1202-FRANKFURT_2-01-186,20.192,19.424,0.619,-0.949,4.818,4.8,-218.009,-16.526,7.955,-353.073,-27.229,36.684,360.734,81.928
Salto A,20191001-1202-FRANKFURT_2-01-197,17.265,16.864,-0.102,-0.933,3.347,-8.896,-212.263,-5.464,-14.624,-341.75,-13.218,30.558,345.962,54.369
Salto A,20191001-1202-FRANKFURT_2-01-198,15.881,16.207,0.366,-0.965,3.181,-13.629,-225.118,-8.473,-22.302,-364.823,-22.665,28.768,365.041,39.354
Salto A,20191001-1202-FRANKFURT_2-01-199,18.049,17.645,-0.376,-1.03,3.9,-15.028,-212.328,-9.825,-25.378,-351.73,-19.067,35.117,360.292,56.792
3/4 Salto rw A,20191003-1152-FRANKFURT_1-01-14,13.359,12.904,3.024,-0.287,4.63,-4.67,172.009,1.039,-8.266,317.861,-5.397,25.559,318.915,40.103
Cody C,20191003-1152-FRANKFURT_1-01-15,23.365,24.187,-1.95,-0.589,-0.341,-21.47,228.081,-0.998,-35.74,384.956,-7.946,46.235,447.559,33.782
Salto B,20191003-1152-FRANKFURT_1-01-17,20.075,20.13,-4.484,-0.251,2.989,-12.003,211.828,8.167,-18.738,343.709,7.284,33.096,408.316,37.926
3/4 Salto rw A,20191003-1152-FRANKFURT_1-01-27,13.39,13.011,2.84,0.092,4.808,-12.005,174.518,7.436,-22.044,319.199,6.374,26.93,319.535,25.404
Cody C,20191003-1152-FRANKFURT_1-01-28,23.357,24.065,-1.974,-0.735,-0.213,-25.572,225.179,-1.042,-41.946,378.669,-7.891,55.654,450.85,35.057
Salto B,20191003-1152-FRANKFURT_1-01-30,20.125,20.091,-2.616,-0.458,2.935,-24.455,194.486,8.457,-39.936,324.713,7.774,51.093,392.055,46.311
3/4 Salto rw A,20191003-1152-FRANKFURT_1-01-42,13.668,13.102,3.777,0.082,4.92,-10.677,169.596,9.693,-19.833,315.863,10.713,22.734,318.237,38.31
Cody C,20191003-1152-FRANKFURT_1-01-43,22.641,23.547,-2.225,-0.439,-0.634,-17.662,230.418,-2.981,-28.918,390.389,-11.403,45.568,447.067,39.374
Salto B,20191003-1152-FRANKFURT_1-01-45,20.322,20.232,-4.503,-0.025,3.188,-12.43,209.192,5.751,-19.815,342.584,3.113,30.639,404.534,38.407
Barani A,20191003-1152-FRANKFURT_1-01-46,17.183,17.392,-0.059,-0.179,2.557,82.55,3.318,-91.767,133.684,4.86,-153.57,143.295,248.279,161.175
Salto A,20191003-1152-FRANKFURT_1-01-47,15.799,15.766,-1.376,-0.314,3.8,-8.403,210.408,-1.086,-13.516,349.275,-8.381,19.034,349.275,22.098
3/4 Salto rw A,20191003-1152-FRANKFURT_1-01-61,13.733,13.243,2.887,-0.413,4.609,-6.827,169.116,5.317,-12.384,308.759,2.235,23.718,315.487,35.836
Cody C,20191003-1152-FRANKFURT_1-01-62,23.571,24.3,-2.122,-0.487,-1.124,-20.14,236.254,3.8,-32.502,393.876,0.415,41.159,459.562,35.983
Salto B,20191003-1152-FRANKFURT_1-01-64,20.541,20.338,-3.897,-0.5,4.058,-18.028,205.512,-2.002,-29.023,339.05,-9.286,34.593,393.369,42.625
Barani A,20191003-1152-FRANKFURT_1-01-65,16.752,17.052,-0.406,-0.873,2.659,78.409,21.301,-108.427,125.59,34.175,-179.616,154.095,231.413,182.539
Salto A,20191003-1152-FRANKFURT_1-01-66,16.445,16.667,-0.494,0.226,4.077,-4.163,212.784,0.465,-5.757,334.226,-5.325,19.878,334.48,35.132
Barani A,20191003-1152-FRANKFURT_1-01-76,17.358,17.573,-0.759,-0.878,2.507,86.286,-4.709,-93.775,139.277,-6.296,-155.214,146.674,255.839,158.447
Salto A,20191003-1152-FRANKFURT_1-01-77,15.117,15.167,-0.411,-0.444,3.693,-22.976,206.171,-7.462,-36.547,336.778,-17.158,44.235,337.032,25.751
Barani A,20191003-1152-FRANKFURT_1-01-88,17.393,17.7,-0.358,-0.973,2.308,101.576,-6.902,-94.093,163.721,-9.919,-156.054,170.192,233.174,159.469
Salto A,20191003-1152-FRANKFURT_1-01-89,15.519,15.512,-0.727,-0.336,3.806,-5.12,215.208,3.997,-7.238,352.915,2.087,20.9,352.915,23.314
Schraubensalto A,20191003-1152-FRANKFURT_1-01-90,18.212,18.022,-3.063,0.095,4.53,-15.23,104.256,-206.367,-24.665,176.377,-348.918,173.579,270.955,353.916
Barani C,20191003-1152-FRANKFURT_1-01-91,18.261,18.644,-2.489,-1.374,3.207,42.126,-26.029,-126.563,66.714,-39.028,-202.891,83.002,290.444,207.263
Barani A,20191003-1152-FRANKFURT_1-01-102,16.672,17.092,-0.395,-0.555,2.275,100.844,-2.776,-88.914,163.621,-4.129,-148.076,172.574,235.796,158.063
Salto A,20191003-1152-FRANKFURT_1-01-103,15.922,15.891,-2.143,-0.527,3.848,-9.772,216.509,0.909,-15.198,355.198,-3.721,22.906,355.198,30.192
Schraubensalto A,20191003-1152-FRANKFURT_1-01-104,18.19,17.994,-3.719,0.819,4.749,-26.79,119.5,-209.945,-44.108,202.311,-356.89,162.433,281.927,368.086
Barani C,20191003-1152-FRANKFURT_1-01-105,18.055,18.297,-2.333,-0.87,3.602,68.581,-22.831,-110.202,112.812,-37.105,-183.801,126.64,281.141,194.357
Salto C,20191003-1152-FRANKFURT_1-01-106,18.428,18.382,-2.287,-0.701,3.681,-7.78,196.74,-4.621,-12.284,329.804,-13.052,23.739,355.772,30.856
Fliffis C,20191003-1152-FRANKFURT_1-01-118,36.424,37.156,-19.208,-3.418,-3.484,67.692,-249.829,-115.547,110.917,-403.102,-192.643,123.95,631.952,203.461
Fliffis C,20191003-1152-FRANKFURT_1-01-129,36.272,36.997,-18.778,-3.204,-3.343,76.29,-228.084,-105.851,127.052,-374.018,-178.739,138.397,622.978,197.682
Fliffis C,20191003-1152-FRANKFURT_1-01-146,35.974,36.586,-17.844,-3.787,-3.41,84.478,-244.448,-106.939,141.903,-401.42,-179.923,157.837,619.634,197.352
Salto C,20191003-1152-FRANKFURT_1-01-159,18.431,18.319,-2.92,-0.504,4.826,-6.98,195.719,2.879,-9.069,344.22,0.741,19.853,367.528,33.014
Fliffis C,20191003-1152-FRANKFURT_1-01-160,36.499,37.196,-18.273,-4.429,-4.023,91.483,-231.386,-109.653,151.706,-375.492,-182.555,171.363,614.219,192.95
Barani A,20191007-1524-FRANKFURT_1-01-33,17.441,17.829,-1.591,0.167,3.288,-94.039,6.5,99.37,-159.017,10.423,166.004,165.206,259.725,196.076
Barani A,20191007-1524-FRANKFURT_1-01-35,16.999,17.322,-1.971,0.333,3.892,-94.437,38.006,88.432,-159.693,63.745,147.518,164.753,265.185,176.019
Barani A,20191007-1524-FRANKFURT_1-01-37,17.143,17.349,-1.238,0.76,3.946,-89.49,60.05,86.314,-151.57,102.151,143.893,165.566,245.926,188.144
Barani A,20191007-1524-FRANKFURT_1-01-39,17.408,17.83,-2.209,0.372,3.24,-65.182,14.698,123.633,-109.512,23.696,202.833,129.071,285.186,241.823
Barani A,20191007-1524-FRANKFURT_1-01-41,17.603,17.951,-1.742,0.481,3.462,-86.976,17.425,110.426,-143.608,28.266,180.208,151.168,269.04,207.907
Barani A,20191007-1524-FRANKFURT_1-01-51,17.872,18.073,-1.766,0.143,3.536,-57.338,19.059,110.571,-95.752,32.008,180.991,99.024,286.781,224.778
Barani A,20191007-1524-FRANKFURT_1-01-53,18.273,18.137,-1.216,0.245,4.49,-83.257,14.069,110.586,-142.298,23.492,186.648,145.503,259.286,216.245
Barani A,20191007-1524-FRANKFURT_1-01-55,16.935,17.217,-2.064,0.012,3.663,-69.585,31.843,102.22,-118.388,53.174,169.525,134.828,276.978,213.893
Barani A,20191007-1524-FRANKFURT_1-01-57,16.933,17.295,-1.316,0.438,3.477,-84.445,21.389,109.414,-142.18,35.363,180.229,146.377,262.929,209.516
Barani A,20191007-1524-FRANKFURT_1-01-59,17.247,17.677,-2.381,-0.067,3.45,-68.393,9.597,117.903,-115.17,15.056,194.448,133.235,290.477,232.906
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-75,37.938,38.682,-23.329,1.003,0.188,125.39,-198.097,336.258,208.204,-331.533,552.468,300.26,708.492,617.898
Doppelsalto C,20191007-1524-FRANKFURT_1-01-76,34.178,33.674,-15.165,1.51,-3.536,43.373,398.525,-43.828,71.618,674.45,-72.533,83.705,704.945,87.828
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-77,46.005,47.048,-25.947,-1.81,-1.194,133.522,-199.018,361.034,210.705,-314.694,568.671,298.428,675.452,657.808
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-91,39.294,39.779,-23.889,0.303,0.414,103.816,-197.108,354.213,170.676,-324.763,579.513,255.718,722.005,618.597
Doppelsalto C,20191007-1524-FRANKFURT_1-01-92,34.068,33.814,-15.782,1.081,-5.45,36.893,411.491,-45.094,59.877,682.454,-75.427,71.19,697.297,91.295
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-93,45.518,45.835,-28.424,-1.248,-0.628,127.222,-167.612,356.088,199.914,-263.576,560.541,264.014,716.923,649.926
Salto B,20191007-1524-FRANKFURT_1-01-94,19.118,19.318,-3.541,-0.248,4.016,8.998,215.733,-21.19,12.86,345.866,-35.452,38.976,385.349,121.505
Fliffis B,20191007-1524-FRANKFURT_1-01-95,37.891,37.482,-20.764,2.738,-0.751,-1.078,-260.527,159.058,0.111,-392.535,240.971,110.353,689.994,309.578
Doppelsalto B,20191007-1524-FRANKFURT_1-01-96,16.613,16.962,-0.846,0.435,4.402,2.091,209.496,-13.068,2.359,336.457,-23.701,38.145,357.583,69.722
Fliffis C,20191007-1524-FRANKFURT_1-01-97,38.67,39.095,-19.193,1.345,-6.326,-51.87,-257.154,170.555,-80.497,-399.372,264.888,108.247,638.91,325.446
Salto A,20191007-1524-FRANKFURT_1-01-98,15.452,15.412,-0.193,0.466,5.016,1.246,216.709,-25.923,2.535,350.836,-41.349,26.149,360.99,67.495
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-109,37.539,37.903,-23.098,1.232,0.681,100.441,-209.08,337.21,164.648,-345.486,552.843,262.769,716.533,594.141
Doppelsalto C,20191007-1524-FRANKFURT_1-01-110,33.257,33.07,-14.786,0.816,-4.347,44.279,396.25,-25.109,75.987,679.039,-42.299,89.011,706.117,88.616
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-111,44.485,44.916,-25.935,-0.725,-2.948,92.71,-196.015,363.109,147.961,-313.717,580.895,281.448,680.128,665.574
Salto B,20191007-1524-FRANKFURT_1-01-112,19.566,19.305,-2.496,0.795,3.972,23.213,194.241,-26.006,38.171,325.192,-45.703,53.253,388.312,108.056
Fliffis B,20191007-1524-FRANKFURT_1-01-113,34.505,34.95,-18.901,3.151,-1.456,5.152,-228.562,148.138,9.72,-358.008,229.641,144.972,710.351,301.481
Doppelsalto B,20191007-1524-FRANKFURT_1-01-114,17.429,17.804,-0.998,0.898,4.232,19.706,202.623,-19.343,30.341,330.816,-30.893,49.169,344.957,59.562
Fliffis C,20191007-1524-FRANKFURT_1-01-115,37.576,37.324,-17.403,1.045,-6.274,-60.834,-223.476,161.678,-97.265,-352.521,259.29,126.968,631.736,321.477
Salto A,20191007-1524-FRANKFURT_1-01-116,17.065,16.894,0.319,0.815,4.784,18.377,211.162,-26.627,30.906,346.448,-45.728,40.322,369.641,84.837
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-140,38.072,38.766,-23.614,1.319,0.53,112.667,-216.115,347.067,188.527,-363.249,577.132,278.92,721.085,615.87
Doppelsalto B,20191007-1524-FRANKFURT_1-01-141,32.532,32.332,-15.692,1.541,-3.576,49.001,402.784,-36.462,81.172,677.929,-63.548,83.798,702.567,77.866
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-142,45.951,46.053,-26.247,-0.991,-1.865,100.834,-202.43,359.878,165.613,-329.57,587.792,273.836,680.059,688.156
Salto B,20191007-1524-FRANKFURT_1-01-143,19.768,19.993,-4.04,0.363,3.42,16.048,209.157,-27.452,24.867,344.152,-41.476,43.175,403.907,82.665
Fliffis B,20191007-1524-FRANKFURT_1-01-144,35.716,36.034,-20.089,1.989,-0.687,18.205,-243.333,147.542,28.111,-375.201,226.271,113.03,709.845,288.073
Salto C,20191007-1524-FRANKFURT_1-01-145,34.11,33.927,-18.307,1.965,-1.79,59.758,425.814,-43.414,93.43,670.713,-68.125,112.4,712.774,108.357
Fliffis C,20191007-1524-FRANKFURT_1-01-146,40.886,40.963,-21.074,-0.863,-6.511,2.636,-233.728,145.293,4.764,-357.748,224.792,111.961,670.118,295.602
Salto A,20191007-1524-FRANKFURT_1-01-147,16.891,16.792,0.506,0.362,4.408,16.23,205.355,-27.566,24.315,332.526,-50.599,43.644,352.329,69.817
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-163,38.173,38.456,-23.167,-0.099,0.079,69.845,-226.998,341.415,116.715,-380.569,568.145,193.473,693.226,609.099
Doppelsalto B,20191007-1524-FRANKFURT_1-01-164,32.826,32.705,-16.079,1.713,-4.419,56.853,408.545,-20.284,94.816,685.831,-34.503,99.807,691.934,69.468
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-165,45.183,45.27,-27.448,0.761,-3.259,52.498,-205.559,364.729,82.699,-325.825,575.869,248.889,691.448,642.567
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-177,39.686,40.007,-25.074,-0.124,2.069,131.073,-219.462,336.227,217.575,-364.704,556.018,248.825,745.251,583.387
Doppelsalto B,20191007-1524-FRANKFURT_1-01-178,34.099,34.051,-16.951,1.208,-4.74,43.72,411.589,-27.689,71.644,687.675,-46.233,75.414,693.739,71.338
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-179,45.052,44.959,-26.166,-1.011,-4.046,56.7,-218.75,363.688,90.845,-352.03,580.212,204.562,669.892,663.702
Salto B,20191007-1524-FRANKFURT_1-01-180,18.889,19.138,-3.693,0.544,4.673,19.317,209.92,-2.78,31.736,347.61,-5.065,54.682,398.725,63.314
Fliffis B,20191007-1524-FRANKFURT_1-01-181,34.688,34.822,-18.383,4.558,-2.871,-68.428,-244.652,146.536,-106.962,-380.156,225.872,167.383,668.873,279.762
Doppelsalto C,20191007-1524-FRANKFURT_1-01-182,32.702,33.545,-14.489,1.161,-5.44,29.121,421.139,-26.41,47.792,690.089,-42.232,65.388,692.824,79.511
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-194,38.335,38.715,-23.849,1.632,0.714,103.526,-213.568,353.378,171.558,-353.957,585.006,287.611,711.17,620.734
Doppelsalto B,20191007-1524-FRANKFURT_1-01-195,33.361,33.244,-15.795,0.756,-4.589,39.97,404.658,-27.343,67.666,679.579,-45.896,76.29,687.636,67.684
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-196,44.008,44.168,-25.868,-0.843,-3.34,77.389,-216.224,359.332,123.165,-348.483,575.445,237.958,679.335,657.081
Salto B,20191007-1524-FRANKFURT_1-01-197,19.394,19.562,-2.961,0.693,3.674,8.137,208.24,-19.349,13.482,339.708,-30.775,56.43,385.443,64.392
Fliffis B,20191007-1524-FRANKFURT_1-01-198,35.17,35.779,-19.853,3.262,-1.927,-38.063,-206.173,150.013,-58.358,-317.502,227.584,131.309,691.909,289.264
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-211,38.678,39.195,-22.91,1.799,-0.832,53.092,-177.333,350.749,89.018,-298.108,585.755,273.85,664.055,608.493
Doppelsalto B,20191007-1524-FRANKFURT_1-01-212,33.392,33.199,-16.698,1.097,-3.456,39.996,403.43,-26.931,67.673,686.705,-45.971,71.072,694.91,69.949
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-213,44.791,44.938,-26.299,-0.041,-3.516,51.886,-225.15,364.566,82.632,-362.045,580.722,230.24,681.596,650.483
Salto B,20191007-1524-FRANKFURT_1-01-214,20.187,20.293,-3.343,0.67,3.648,23.226,201.53,-5.267,38.843,338.852,-9.344,55.148,392.818,92.339
Fliffis B,20191007-1524-FRANKFURT_1-01-215,35.459,35.567,-20.388,3.698,-2.322,-55.167,-201.614,157.163,-86.75,-316.327,247.261,166.264,682.128,278.062
Salto C,20191007-1524-FRANKFURT_1-01-216,32.476,32.769,-17.445,2.077,-1.038,75.531,408.133,-41.499,119.437,646.237,-66.309,123.515,693.797,98.324
Fliffis C,20191007-1524-FRANKFURT_1-01-217,41.548,41.727,-19.093,1.796,-8.487,-45.018,-232.572,144.591,-66.565,-346.046,215.904,134.847,631.111,284.807
Salto A,20191007-1524-FRANKFURT_1-01-218,16.466,16.259,0.832,0.187,3.961,25.279,210.362,-16.139,40.573,337.146,-27.642,47.291,342.636,53.475
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-232,40.398,40.55,-24.494,0.319,1.296,109.621,-215.258,330.572,180.718,-357.469,547.031,287.891,720.587,594.978
Doppelsalto B,20191007-1524-FRANKFURT_1-01-233,33.478,33.687,-16.292,1.577,-5.652,44.89,408.898,-30.548,74.595,679.078,-51.803,92.79,684.358,94.962
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-251,38.946,39.518,-23.828,-0.49,1.222,128.236,-218.286,339.561,211.692,-363.615,558.004,238.245,712.396,607.202
