Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Voll- ein- voll- aus B,0115-MORITZ-03-164,35.016,34.881,-15.763,2.675,-1.708,-137.515,68.715,-349.687,-270.731,137.567,-688.985,449.145,570.497,700.282
Fliffis- Rudi B,0115-MORITZ-03-165,34.638,34.913,-17.986,0.158,1.224,-211.762,-118.278,-202.721,-397.356,-223.971,-380.15,419.657,660.912,476.92
Doppelsalto B,0115-MORITZ-03-166,31.438,31.569,-17.972,-1.449,1.602,-0.059,374.865,4.659,-0.242,691.534,8.021,41.671,720.852,36.073
Salto C,0115-MORITZ-03-177,16.711,16.618,0.217,-1.013,5.065,1.062,164.234,0.324,1.834,340.107,0.717,23.863,378.818,37.341
Fliffis aus B,0115-MORITZ-03-178,29.856,30.191,-10.315,0.684,-1.728,52.598,-97.918,-71.253,105.293,-196.56,-141.862,193.027,588.522,225.335
1/2 ein 1/2 aus C,0115-MORITZ-03-179,31.482,31.897,-13.275,4.084,-2.723,-158.384,-39.673,-167.427,-304.68,-74.536,-322.527,328.21,577.517,363.933
Salto C,0115-MORITZ-03-188,17.195,17.209,-0.552,-1.058,5.153,10.759,163.649,6.932,22.624,342.062,15.153,35.622,383.437,38.962
Fliffis- Rudi C,0115-MORITZ-03-189,36.535,36.745,-17.565,-0.793,-0.795,-57.691,-133.935,-258.652,-116.14,-271.099,-521.295,258.605,617.036,568.562
Doppelsalto C,0115-MORITZ-03-190,30.764,30.787,-14.817,-1.114,1.332,3.312,348.867,15.509,6.584,700.245,31.362,48.412,710.554,55.179
Fliffis aus C,0115-MORITZ-03-191,33.019,33.286,-13.707,-0.791,-3.737,24.192,-163.112,-91.319,46.81,-318.212,-177.427,105.511,633.873,226.906
Halb- ein- Rudy- aus B,0115-MORITZ-03-192,39.131,39.188,-19.987,2.927,-1.328,-195.663,-3.235,-361.304,-368.043,-4.551,-680.709,477.243,571.381,696.701
Salto C,0609-4-01-4,15.71,15.422,1.491,-0.246,4.489,2.797,179.877,-3.072,5.771,367.996,-5.855,24.782,381.587,24.121
Fliffis B,0609-4-01-5,30.22,30.402,-11.863,-0.338,1.116,-43.45,-141.974,113.508,-86.218,-282.807,225.89,133.666,620.56,244.799
Salto C,0609-4-01-10,16.2,15.881,1.479,0.021,4.912,2.215,178.098,8.299,4.663,369.584,17.413,28.639,381.832,35.706
Fliffis B,0609-4-01-11,29.712,29.991,-11.722,-0.1,1.008,-48.132,-129.403,117.261,-96.271,-260.089,234.114,120.051,621.402,254.007
Salto C,0609-4-01-15,16.452,16.189,1.608,-0.369,4.539,-2.362,177.514,0.585,-4.957,373.398,1.255,21.847,391.305,30.194
Fliffis B,0609-4-01-16,29.878,30.266,-12.616,-0.462,0.342,-41.889,-95.91,123.812,-83.95,-193.94,248.787,144.611,619.001,269.08
Salto C,0609-4-01-21,16.17,15.826,1.805,-0.013,4.805,3.187,175.686,2.761,6.588,368.304,6.175,26.716,389.7,34.671
Fliffis B,0609-4-01-22,29.016,29.315,-10.894,-0.205,-0.019,-59.826,-84.834,118.722,-120.978,-172.568,240.099,153.744,607.173,252.963
Salto C,0609-4-01-31,16.458,16.095,1.515,-0.48,4.632,0.422,180.19,5.493,0.871,371.173,11.154,25.41,392.676,40.129
Fliffis B,0609-4-01-32,29.774,29.929,-10.933,-0.446,0.142,-61.429,-88.201,115.656,-122.403,-177.232,231.503,168.704,609.215,253.41
Salto C,0609-4-01-36,16.603,16.377,1.245,-0.287,4.606,-0.146,177.964,3.969,-0.513,368.647,8.202,27.469,395.546,40.433
Fliffis B,0609-4-01-37,30.157,30.348,-10.826,-0.47,0.26,-60.711,-113.004,115.225,-121.379,-226.183,230.843,157.309,607.782,256.762
Salto C,0609-4-01-41,16.927,16.575,1.203,-0.505,5.176,0.489,177.355,-1.908,1.037,374.46,-4.095,31.248,400.563,34.229
Fliffis B,0609-4-01-42,29.759,30.076,-11.679,-0.622,-0.569,-54.697,-76.477,124.157,-109.446,-154.858,248.746,145.459,606.335,264.17
Salto C,0609-4-01-46,16.252,16.096,1.686,0.214,4.36,6.367,176.862,6.496,13.065,366.987,13.197,40.482,384.045,36.774
Fliffis B,0609-4-01-47,31.176,31.614,-14.889,0.843,1.912,-2.881,-192.074,139.071,-5.254,-368.056,266.593,63.222,655.092,284.534
Salto C,0609-4-01-48,15.186,15.465,0.509,-0.238,4.967,14.562,201.687,-2.431,26.375,365.211,-4.64,30.97,365.211,34.343
Salto C,0609-4-01-49,15.762,15.993,-0.182,-0.488,3.418,-7.274,222.946,1.467,-12.08,371.529,2.418,20.545,371.529,26.785
Salto C,0609-4-01-57,16.808,16.465,0.998,-0.319,5.109,1.684,177.524,5.227,3.487,371.414,11.469,28.933,402.279,40.144
Fliffis B,0609-4-01-58,29.309,29.433,-9.861,-0.433,-0.792,-67.35,-55.942,117.149,-134.304,-112.498,233.58,164.369,591.153,258.118
Salto C,0609-4-01-62,16.294,15.931,1.991,-0.487,4.855,-1.346,177.541,4.343,-2.978,369.188,9.068,30.468,380.459,37.52
Fliffis B,0609-4-01-63,29.786,30.154,-11.854,-0.53,-0.59,-54.584,-80.773,123.691,-108.126,-161.002,246.062,141.756,609.789,262.297
Salto C,0609-4-01-69,16.379,16.005,2.048,-0.247,4.911,4.857,176.427,3.047,10.27,370.231,6.953,36.064,381.336,36.227
Fliffis B,0609-4-01-70,29.022,29.343,-10.649,-0.772,-1.231,-50.204,-43.721,122.869,-100.126,-88.572,243.94,147.553,602.507,279.229
Salto C,0609-4-01-75,16.118,15.788,2.059,-0.449,4.532,-1.127,176.372,3.276,-2.461,368.452,6.742,31.619,379.167,31.405
Fliffis B,0609-4-01-76,30.245,30.476,-10.294,-0.349,-1.509,-53.028,-25.198,119.255,-105.968,-51.503,239.405,164.903,597.248,262.351
Salto C,0609-4-01-78,14.843,15.077,0.722,-0.295,4.032,-0.832,207.333,3.616,-1.316,362.973,6.399,16.302,362.973,29.437
Schraubensalto C,0609-4-01-84,17.283,17.2,-2.532,-0.692,5.196,57.936,98.354,213.903,108.478,183.769,398.05,167.616,281.548,408.88
Schraubensalto C,0609-4-01-88,17.395,17.322,-2.717,-0.538,5.736,46.655,97.94,209.681,89.111,186.83,399.119,156.433,286.319,401.434
Schraubensalto C,0609-4-01-91,17.298,17.174,-2.307,-0.629,5.937,56.267,92.105,209.135,109.469,179.375,406.209,157.503,283.611,410.31
Schraubensalto C,0609-4-01-94,17.154,17.122,-2.68,-0.801,5.687,51.82,92.532,205.242,99.526,178.582,393.828,152.409,292.879,399.432
Schraubensalto C,0609-4-01-97,17.121,17.001,-1.949,-0.747,5.328,22.561,80.779,204.333,43.405,154.834,390.429,187.041,269.867,391.942
Schraubensalto C,0609-4-01-104,17.283,17.112,-2.495,-0.788,5.712,41.809,86.699,210.647,80.368,166.865,403.473,167.839,280.207,405.807
Schraubensalto C,0609-4-01-107,17.563,17.457,-2.638,-0.867,6.257,53.511,92.534,213.044,103.144,178.24,409.485,149.11,287.155,410.128
Schraubensalto C,0609-4-01-110,16.676,16.653,-1.206,-0.829,5.058,34.539,80.097,197.991,66.967,154.213,380.384,185.563,267.375,402.435
Schraubensalto C,0609-4-01-114,16.738,16.606,-1.86,-0.84,5.633,26.15,75.53,209.463,50.743,147.355,406.743,162.318,281.728,408.028
Schraubensalto C,0609-4-01-117,16.684,16.605,-1.995,-0.818,5.532,38.337,86.088,202.68,74.825,168.461,394.417,169.144,283.727,397.244
Schraubensalto C,0609-4-01-126,17.622,17.461,-2.712,-0.984,5.848,38.319,99.925,212.308,72.199,188.564,399.4,160.862,279.484,401.312
Schraubensalto C,0609-4-01-129,17.041,16.952,-2.385,-0.723,5.746,49.006,95.906,212.286,94.315,184.704,407.597,160.772,291.723,408.797
Schraubensalto C,0609-4-01-132,16.131,16.077,-1.542,-0.883,5.007,34.375,76.434,208.164,65.872,147.063,397.569,179.136,257.92,425.838
Schraubensalto C,0609-4-01-135,17.532,17.493,-3.012,-1.028,6.043,49.172,100.682,216.619,94.112,192.361,413.118,160.01,287.877,420.54
Schraubensalto C,0609-4-01-138,17.57,17.535,-3.434,-0.567,5.639,38.286,93.476,214.626,72.539,177.221,406.504,164.788,288.499,412.028
Schraubensalto C,0609-4-01-146,17.592,17.424,-2.85,-0.687,5.417,40.638,97.256,212.668,75.482,177.656,388.911,162.092,282.76,392.562
Schraubensalto C,0609-4-01-149,17.591,17.489,-3.206,-0.721,5.806,53.898,103.845,214.956,100.801,191.46,396.76,142.68,292.165,399.832
