SprungID,Sprungtyp,avg_Acc_N_Fil,std_Acc_N_Fil,avg_Gyro_x_R,std_Gyro_x_R,avg_Gyro_y_R,std_Gyro_y_R,avg_Gyro_z_R,std_Gyro_z_R,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,avg_DJump_SIG_I_x LapEnd,avg_DJump_SIG_I_y LapEnd,avg_DJump_SIG_I_z LapEnd,avg_DJump_I_ABS_x LapEnd,avg_DJump_I_ABS_y LapEnd,avg_DJump_I_ABS_z LapEnd,avg_DJump_ABS_I_x LapEnd,avg_DJump_ABS_I_y LapEnd,avg_DJump_ABS_I_z LapEnd,avg_DJump_SIG_I_S1_x LapEnd,avg_DJump_SIG_I_S1_y LapEnd,avg_DJump_SIG_I_S1_z LapEnd,avg_DJump_SIG_I_S2_x LapEnd,avg_DJump_SIG_I_S2_y LapEnd,avg_DJump_SIG_I_S2_z LapEnd,avg_DJump_SIG_I_S3_x LapEnd,avg_DJump_SIG_I_S3_y LapEnd,avg_DJump_SIG_I_S3_z LapEnd,avg_DJump_SIG_I_S4_x LapEnd,avg_DJump_SIG_I_S4_y LapEnd,avg_DJump_SIG_I_S4_z LapEnd,avg_DJump_I_ABS_S1_x LapEnd,avg_DJump_I_ABS_S1_y LapEnd,avg_DJump_I_ABS_S1_z LapEnd,avg_DJump_I_ABS_S2_x LapEnd,avg_DJump_I_ABS_S2_y LapEnd,avg_DJump_I_ABS_S2_z LapEnd,avg_DJump_I_ABS_S3_x LapEnd,avg_DJump_I_ABS_S3_y LapEnd,avg_DJump_I_ABS_S3_z LapEnd,avg_DJump_I_ABS_S4_x LapEnd,avg_DJump_I_ABS_S4_y LapEnd,avg_DJump_I_ABS_S4_z LapEnd,avg_DJump_ABS_I_S1_x LapEnd,avg_DJump_ABS_I_S1_y LapEnd,avg_DJump_ABS_I_S1_z LapEnd,avg_DJump_ABS_I_S2_x LapEnd,avg_DJump_ABS_I_S2_y LapEnd,avg_DJump_ABS_I_S2_z LapEnd,avg_DJump_ABS_I_S3_x LapEnd,avg_DJump_ABS_I_S3_y LapEnd,avg_DJump_ABS_I_S3_z LapEnd,avg_DJump_ABS_I_S4_x LapEnd,avg_DJump_ABS_I_S4_y LapEnd,avg_DJump_ABS_I_S4_z LapEnd
0827-BK1-01-44,Salto C,16.388,22.849,-2.14,14.611,183.318,163.838,3.398,20.214,-2.175,11.557,183.138,157.624,3.423,15.608,-4.191,358.317,6.724,4.191,358.317,6.724,22.123,378.772,29.929,1.889,44.868,2.548,-3.783,185.282,2.41,0.379,80.746,-0.879,-2.676,47.422,2.646,1.889,44.868,2.548,0.006,185.282,2.41,-0.379,80.746,-0.879,2.676,47.422,2.646,7.058,65.323,11.377,5.803,185.282,7.152,3.071,80.746,2.265,6.191,47.422,9.135
0827-BK1-01-46,Salto C,13.672,17.848,-6.155,19.47,221.193,101.449,-1.51,25.983,-6.072,17.805,221.18,98.577,-1.427,23.839,-10.105,362.61,-2.586,10.105,362.61,2.586,28.092,367.667,26.622,4.266,45.819,-7.207,-6.019,120.725,-3.695,-3.753,106.296,-1.845,-4.599,89.769,10.161,4.266,45.819,7.207,-2.513,120.725,3.695,3.753,106.296,1.845,4.599,89.769,-10.161,11.043,50.877,7.6,6.019,120.725,4.285,3.753,106.296,2.572,7.278,89.769,12.165
0827-BK1-01-53,Salto B,17.451,24.251,4.899,24.897,175.445,191.998,14.38,30.38,4.843,22.272,175.411,185.478,14.106,24.926,10.036,355.79,29.153,10.036,355.79,29.153,41.149,405.599,53.136,1.37,5.649,-2.36,-7.292,216.205,22.971,7.533,82.359,8.252,8.424,51.577,0.29,1.37,5.649,2.36,4.552,216.205,18.251,-4.311,82.359,8.252,8.424,51.577,0.29,9.33,55.458,12.632,15.093,216.205,23.507,7.537,82.359,8.252,9.189,51.577,8.744
0827-BK1-01-56,Salto B,18.621,26.081,9.105,23.672,175.224,175.605,11.778,28.524,8.995,19.891,175.19,168.628,11.602,23.032,18.63,359.386,24.312,18.63,359.386,24.312,43.988,401.703,48.468,-0.311,11.957,-3.343,-2.382,201.095,19.316,11.735,77.876,9.083,9.587,68.459,-0.745,0.311,11.957,3.343,2.382,201.095,12.63,6.35,77.876,9.083,9.587,68.459,-0.745,10.088,54.273,11.758,12.22,201.095,19.882,11.735,77.876,9.091,9.944,68.459,7.737
0827-BK1-01-59,Salto B,16.898,23.644,-0.139,20.718,175.852,166.68,11.993,28.433,-0.278,18.559,175.609,160.297,11.944,22.08,-0.223,353.149,24.087,0.223,353.149,24.087,31.968,393.555,46.126,-0.608,19.03,2.592,-5.988,193.6,16.046,3.607,85.554,3.612,2.766,54.964,1.838,0.608,19.03,2.592,5.988,193.6,16.046,-3.607,85.554,3.612,-2.766,54.964,1.838,11.102,59.436,17.881,11.781,193.6,16.247,3.655,85.554,3.68,5.43,54.964,8.318
0827-BK1-01-62,Salto B,16.844,23.908,-1.338,19.35,179.863,163.736,5.726,27.49,-1.495,16.973,179.592,157.936,5.698,22.149,-2.655,357.021,11.374,2.655,357.021,11.374,25.461,388.575,40.96,1.377,16.558,2.245,-3.942,196.978,7.781,0.614,83.479,-1.452,-0.704,60.005,2.8,1.377,16.558,2.245,1.188,196.978,7.781,-0.614,83.479,-1.452,0.704,60.005,2.8,8.696,48.113,16.664,10.9,196.978,11.952,1.909,83.479,3.529,3.956,60.005,8.814
0827-BK1-01-65,Salto B,17.496,24.465,-2.862,26.644,176.313,172.578,8.826,33.263,-2.986,23.804,176.233,165.792,8.632,26.785,-5.764,358.382,18.004,5.764,358.382,18.004,37.987,402.643,50.028,2.341,11.072,0.47,-12.719,198.83,17.418,3.532,81.278,4.515,1.081,67.201,-4.399,2.341,11.072,0.47,8.037,198.83,17.418,-3.532,81.278,4.515,-1.081,67.201,-4.399,11.479,55.333,15.138,18.348,198.83,21.064,3.675,81.278,4.515,4.485,67.201,9.311
0827-BK1-01-68,Salto B,17.429,24.321,4.804,24.364,174.478,169.581,9.24,26.438,4.796,21.572,174.131,162.795,9.111,20.404,9.803,354.732,18.899,9.803,354.732,18.899,40.407,401.328,41.894,0.713,21.027,3.739,-3.453,197.23,12.278,7.89,79.52,5.565,4.652,56.954,-2.683,0.713,21.027,3.739,2.026,197.23,12.278,2.411,79.52,5.565,4.652,56.954,-2.683,9.368,67.623,14.251,15.299,197.23,13.062,8.052,79.52,5.565,7.688,56.954,9.017
0827-BK1-01-71,Salto B,16.725,24.151,-3.293,19.618,177.489,174.524,4.965,25.296,-3.289,16.696,177.302,168.579,4.932,19.796,-6.569,356.483,9.996,6.569,356.483,9.996,27.961,407.854,35.796,0.698,7.583,-1.687,-9.629,200.011,10.134,1.171,66.881,-0.105,1.192,82.008,1.654,0.698,7.583,1.687,8.233,200.011,6.759,-1.171,66.881,-0.105,-1.192,82.008,1.654,9.779,58.955,9.834,11.591,200.011,13.898,2.134,66.881,1.789,4.458,82.008,10.275
0827-BK1-01-74,Salto B,18.81,26.563,-4.742,25.697,171.023,167.058,14.735,25.476,-4.748,23.094,171.036,160.603,14.58,20.85,-9.8,353.856,30.55,9.8,353.856,30.55,38.056,398.499,47.927,-1.049,17.001,2.028,-15.787,198.603,19.205,2.198,80.736,9.625,4.839,57.516,-0.308,1.049,17.001,2.028,15.787,198.603,19.205,-2.198,80.736,9.625,-4.839,57.516,-0.308,9.768,61.644,11.759,17.953,198.603,20.556,3.009,80.736,9.625,7.327,57.516,5.987
0827-BK1-01-76,Salto B,16.584,23.735,1.82,20.101,176.338,179.106,7.837,23.423,1.702,18.2,176.048,172.93,7.9,14.73,3.764,354.634,15.72,3.764,354.634,15.72,31.18,402.633,34.182,2.541,10.691,2.498,-8.708,207.219,11.257,3.063,67.399,4.365,6.868,69.325,-2.4,2.541,10.691,2.498,3.626,207.219,11.257,-3.063,67.399,4.365,0.66,69.325,-2.4,8.827,58.69,9.108,11.396,207.219,12.875,3.579,67.399,4.365,7.378,69.325,7.834
0827-BK1-01-78,Salto B,16.441,23.504,4.692,20.647,175.698,160.122,3.684,26.369,4.589,18.47,175.476,153.824,3.538,21.554,9.445,347.712,7.296,9.445,347.712,7.296,32.161,385.419,35.135,4.795,17.511,6.604,-2.095,192.631,3.043,4.543,77.64,-1.365,2.202,59.93,-0.985,4.795,17.511,6.604,-2.095,192.631,3.043,4.543,77.64,-1.365,2.202,59.93,-0.985,10.01,55.219,16.617,12.2,192.631,8.203,5.379,77.64,2.549,4.572,59.93,7.766
0827-BK1-01-81,Salto B,18.281,25.731,11.75,25.543,173.462,190.411,20.608,31.734,11.678,23.933,173.42,184.395,20.183,28.019,23.73,351.116,41.901,23.73,351.116,41.901,47.595,393.589,59.999,2.709,4.218,0.108,-8.88,222.135,26.917,15.386,67.398,15.772,14.514,57.364,-0.896,2.709,4.218,0.108,3.461,222.135,26.917,3.045,67.398,15.772,14.514,57.364,-0.896,8.247,46.691,8.399,9.306,222.135,27.339,15.468,67.398,15.772,14.574,57.364,8.489
0827-BK1-01-82,Strecksprung,9.926,23.832,-0.832,13.081,1.057,52.614,-3.89,25.411,-0.761,11.365,1.162,46.682,-3.656,22.02,-1.62,2.042,-7.782,1.62,2.042,7.782,19.054,65.305,39.638,1.028,8.38,-14.645,3.175,-6.512,10.283,-1.461,-6.154,-3.979,-4.363,6.328,0.559,1.028,8.38,14.645,3.175,-6.512,-10.283,-1.461,2.418,3.979,-1.123,-2.244,-0.559,7.585,20.948,15.889,4.763,7.305,12.188,1.755,6.801,3.98,4.95,30.251,7.58
0827-BK1-01-83,Salto B,17.337,24.927,-7.444,21.362,177.207,186.456,6.298,21.36,-7.484,19.517,177.037,181.093,6.255,15.752,-14.948,358.501,12.716,14.948,358.501,12.716,33.861,398.454,32.352,4.167,3.627,0.69,-15.255,218.994,10.024,-1.462,73.42,2.414,-2.397,62.46,-0.413,4.167,3.627,0.69,6.922,218.994,10.024,1.462,73.42,2.414,2.397,62.46,-0.413,9.072,43.58,9.045,15.456,218.994,11.191,4.818,73.42,2.866,4.514,62.46,9.251
0827-BK1-01-84,Strecksprung,10.306,24.576,-2.587,14.243,-2.49,55.996,0.164,14.731,-2.515,13.053,-2.456,53.029,0.109,11.869,-5.144,-5.058,0.357,5.144,5.058,0.357,18.796,84.101,22.337,4.904,8.549,1.167,-0.229,-18.086,5.404,-1.709,-8.357,-2.833,-8.111,12.835,-3.381,4.904,8.549,1.167,-0.229,0.988,5.404,-1.709,8.357,-2.833,2.178,-12.835,-3.381,7.188,35.555,6.971,1.444,18.086,5.908,2.053,8.675,3.058,8.111,21.784,6.401
0827-BK1-01-87,Salto B,17.948,24.978,-2.191,17.001,175.71,191.562,9.606,26.622,-2.247,15.158,175.543,185.353,9.51,20.533,-4.403,354.386,19.371,4.403,354.386,19.371,25.102,400.724,43.13,2.303,-0.018,-1.258,-11.476,218.503,12.997,2.6,74.491,4.968,2.171,61.41,2.664,2.303,0.018,1.258,6.871,218.466,10.48,-2.6,74.491,4.968,-2.171,61.41,2.664,5.621,46.32,12.131,11.966,218.503,16.282,2.733,74.491,4.983,4.782,61.41,9.735
0827-BK1-01-92,Salto B,17.565,24.301,-14.187,25.683,175.682,178.577,17.794,34.866,-14.216,23.566,175.574,172.528,17.642,28.03,-28.162,350.299,35.679,28.162,350.299,35.679,42.07,400.79,61.979,1.035,5.106,-0.243,-23.156,205.369,24.706,-4.408,74.986,9.21,-1.633,64.838,2.006,1.035,5.106,0.243,21.086,205.369,24.219,4.408,74.986,9.21,1.633,64.838,2.006,8.394,55.597,16.127,23.163,205.369,25.249,4.474,74.986,9.21,6.039,64.838,11.394
0827-BK1-01-94,Salto B,17.038,23.659,-4.203,15.466,178.718,171.376,1.553,27.658,-4.176,13.264,178.491,165.256,1.604,20.849,-8.494,354.046,3.08,8.494,354.046,3.08,23.035,396.088,40.012,1.809,11.635,-5.743,-5.305,202.151,4.372,-2.436,74.24,-2.097,-2.562,66.019,6.547,1.809,11.635,5.743,1.688,202.151,-4.372,2.436,74.24,2.097,2.562,66.019,-0.387,6.212,53.677,9.909,9.595,202.151,11.104,2.7,74.24,3.703,4.529,66.019,15.296
0827-BK1-01-102,Strecksprung,9.507,22.636,0.617,14.751,5.355,68.804,1.147,20.056,0.605,12.563,5.328,63.508,1.377,16.839,1.278,10.544,2.298,1.278,10.544,2.298,21.186,89.852,29.95,3.419,24.135,-5.255,2.334,-16.325,9.083,0.238,-7.053,0.09,-4.714,9.787,-1.62,3.419,24.135,5.255,2.334,-16.325,-1.427,0.238,-7.053,0.09,-4.714,9.787,-1.62,8.903,29.836,6.13,5.005,16.325,12.105,1.736,7.068,4.589,5.542,36.623,7.126
0827-BK1-01-103,Salto A,15.164,24.514,3.216,10.793,175.202,66.079,-5.008,21.889,3.128,7.872,174.958,59.563,-5.244,14.583,6.581,356.178,-10.239,6.581,356.178,10.239,16.979,356.178,29.151,2.87,68.428,-1.517,-1.131,112.942,-5.154,1.886,99.017,-1.873,2.956,75.791,-1.694,2.87,68.428,1.517,-1.131,112.942,5.154,1.886,99.017,1.873,2.956,75.791,1.694,4.673,68.428,10.058,4.583,112.942,5.751,1.978,99.017,2.301,5.745,75.791,11.04
0827-BK1-01-105,Salto A,14.598,23.178,0.865,14.196,178.419,63.104,-1.78,22.765,0.962,10.578,178.101,55.694,-2.076,14.68,1.777,358.448,-3.598,1.777,358.448,3.598,19.549,358.448,32.908,2.057,79.542,1.084,-0.186,106.269,-5.188,0.909,104.538,-1.395,-1.002,68.1,1.9,2.057,79.542,1.084,-0.186,106.269,3.02,0.909,104.538,1.395,-1.002,68.1,-1.9,7.772,79.542,13.858,5.37,106.269,8.176,1.587,104.538,2.595,4.82,68.1,8.279
0827-BK1-01-107,Salto A,14.948,23.913,-2.032,16.8,177.924,64.228,-4.433,20.546,-2.076,12.752,177.625,56.413,-4.54,13.234,-4.175,360.788,-8.997,4.175,360.788,8.997,25.683,361.52,28.378,4.243,73.76,-0.612,-5.791,106.178,-7.565,-3.018,100.322,-1.739,0.391,80.528,0.918,4.243,73.76,0.612,-2.695,106.178,7.565,3.018,100.322,1.739,-0.391,80.528,-0.918,8.652,74.491,9.701,9.118,106.178,7.601,3.034,100.322,1.748,4.88,80.528,9.329
0827-BK1-01-109,Salto A,14.297,23.079,1.954,13.567,175.612,65.847,0.073,17.306,1.981,11.362,175.226,59.469,0.035,12.602,4.007,357.361,0.176,4.007,357.361,0.176,20.421,358.613,24.7,-0.6,74.57,4.595,0.835,108.008,-2.718,2.717,105.228,-1.968,1.054,69.555,0.267,0.6,74.57,4.595,-0.364,108.008,-2.718,2.717,105.228,-1.787,1.054,69.555,0.086,9.462,75.822,11.121,4.254,108.008,4.292,2.722,105.228,2.176,3.984,69.555,7.113
0827-BK1-01-111,Salto A,14.285,22.722,6.88,15.071,176.78,59.125,0.928,22.185,6.901,12.756,176.346,52.556,1.066,16.009,14.068,359.057,1.895,14.068,359.057,1.895,27.154,359.209,28.899,-0.079,75.322,3.296,5.171,105.701,-2.365,5.067,104.577,0.786,3.909,73.456,0.178,0.079,75.322,3.296,5.013,105.701,-2.365,5.067,104.577,0.786,3.909,73.456,0.178,10.662,75.474,14.332,6.447,105.701,3.577,5.067,104.577,2.34,4.979,73.456,8.65
0827-BK1-01-113,Salto A,14.804,23.609,5.604,12.766,175.429,62.106,-0.771,22.968,5.525,9.359,175.027,55.378,-0.636,15.475,11.414,357.685,-1.573,11.414,357.685,1.573,23.216,358.198,29.177,2.707,72.136,-1.887,0.485,103.977,-2.534,5.296,105.351,1.252,2.926,76.221,1.596,2.707,72.136,1.887,0.485,103.977,2.534,5.296,105.351,-1.252,2.926,76.221,-1.596,6.707,72.649,13.761,5.02,103.977,5.062,5.313,105.351,1.584,6.176,76.221,8.77
