0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil,Sprungtyp,SprungID
92.021,21.533,-176.533,58.8,-22.13,122.197,-20.23,8.238,22.027,80.707,13.147,10.283,81.213,35.08,10.049,-9.573,-350.48,141.053,-2.34,-221.66,60.457,14.462,12.533,509.027,0.587,16.337,546.92,-15.937,18.002,7.16,633.067,-43.827,9.523,613.303,-32.593,6.971,19.693,348.027,0.667,10.897,247.107,-9.253,3.676,6.4,48.133,-17.0,6.223,59.223,-14.267,4.828,-13.64,97.64,1.507,-10.407,95.663,-1.823,3.325,-2.773,193.827,6.307,-1.91,183.317,3.16,5.796,-24.08,297.147,-38.787,-23.427,270.813,-44.557,Salto rw C,generated_Mean_Salto rw C
98.314,-13.893,-6.04,26.198,0.396,-1.54,2.081,6.462,17.136,-90.204,-15.251,13.822,-85.653,-1.143,3.084,6.987,36.622,15.724,7.265,28.952,13.549,1.903,3.673,-37.918,15.604,3.096,-37.484,15.619,1.186,1.558,-114.236,7.971,1.935,-112.898,7.623,1.408,6.747,-125.024,8.716,6.687,-125.373,9.606,3.181,3.836,-157.429,21.364,4.837,-155.888,19.643,7.597,5.049,-190.951,18.024,4.847,-194.174,17.651,7.805,-5.896,-211.764,19.14,-5.199,-210.866,15.088,8.883,9.929,-113.807,21.224,10.37,-156.507,-3.074,3/4 Salto vw A,generated_Mean_3/4 Salto vw A
107.926,-2.857,9.562,-4.718,0.895,4.659,2.712,20.081,-13.643,-130.32,-27.812,-12.323,-143.321,7.962,24.204,6.282,-369.235,15.817,5.803,-366.861,17.67,28.509,-1.012,-381.496,111.95,-1.874,-376.513,108.678,18.425,-34.61,-148.628,225.317,-35.375,-158.723,221.83,13.251,-42.03,-15.303,341.583,-43.487,-18.798,331.275,11.315,-23.682,53.873,338.52,-22.024,51.84,335.057,8.949,-11.464,112.812,159.038,-10.842,112.294,160.63,8.64,-2.515,178.245,69.677,-2.142,181.071,69.81,9.835,28.948,325.144,-4.197,25.592,311.794,-6.84,Baby- Fliffis C,generated_Mean_Baby- Fliffis C
107.671,-6.796,-46.072,-8.584,-2.049,-10.806,-25.932,33.455,28.048,-524.0,38.48,33.037,-519.845,26.505,39.878,-7.124,-759.864,19.94,-8.314,-753.52,17.144,42.002,-14.472,-667.888,-32.068,-12.985,-663.041,-30.742,26.074,65.644,-323.432,-88.988,62.324,-331.081,-92.537,19.204,108.176,-212.024,-130.86,110.131,-213.995,-133.749,20.779,249.56,-62.004,60.556,248.469,-53.544,57.97,16.698,222.324,190.496,93.344,219.304,181.46,88.653,13.888,27.332,318.804,-68.624,26.72,294.71,-58.638,15.028,4.464,368.072,21.76,6.44,362.493,27.629,Fliffis aus B,generated_Mean_Fliffis aus B
77.97,-88.52,11.707,35.813,-17.5,-145.517,-65.867,27.039,20.64,-128.813,32.147,11.16,-99.96,34.427,11.821,9.307,235.627,24.84,16.347,238.753,33.197,7.608,2.56,310.8,-27.013,13.407,285.37,-15.887,13.218,9.013,-175.533,-11.293,14.58,-144.6,-7.653,11.772,15.32,-235.373,3.44,10.467,-221.373,3.993,3.753,8.08,-71.387,4.267,5.54,-73.813,5.433,0.68,-14.147,-16.493,7.0,-12.787,-17.13,5.913,1.823,14.893,5.52,-3.973,13.683,7.103,-2.4,2.417,8.173,1.427,18.253,7.83,3.513,14.28,Bücksprung,generated_Mean_Bücksprung
92.203,17.093,-115.053,596.307,18.103,-123.397,-60.47,16.855,12.627,-58.88,58.133,9.183,-47.19,48.883,8.695,-3.267,253.173,-47.653,-1.293,238.223,-14.08,7.166,3.36,125.093,-36.52,2.493,119.407,-24.017,5.485,8.427,-142.547,-8.347,9.153,-139.483,-7.773,8.582,4.52,-172.173,23.133,8.653,-161.253,22.21,1.315,1.373,-24.2,12.627,2.48,-27.957,10.853,1.776,8.307,11.573,40.973,5.79,9.287,34.513,1.622,-17.24,10.893,-27.227,-13.1,9.507,-16.283,2.342,4.093,-23.08,8.467,2.473,-16.31,-6.207,Hocksprung,generated_Mean_Hocksprung
93.872,16.658,159.774,-84.075,31.565,171.967,-4.826,9.538,70.369,139.853,72.644,67.952,142.055,74.989,6.326,110.886,69.016,239.012,111.949,68.811,237.761,9.39,191.241,-5.088,325.732,188.521,-6.417,325.444,11.248,188.876,-142.372,367.363,183.848,-141.005,367.449,13.822,9.187,-153.486,428.31,12.943,-145.994,428.079,12.463,-55.547,85.725,345.002,-54.343,85.012,344.34,9.534,-21.152,164.188,172.122,-21.274,164.571,175.539,9.396,16.08,223.126,77.545,15.276,224.113,78.173,6.756,48.876,321.563,11.701,47.567,326.407,10.641,Schraubensalto A,generated_Mean_Schraubensalto A
95.413,13.568,66.893,-22.049,10.842,77.414,-9.75,24.941,-44.178,-485.808,19.95,-50.237,-509.947,47.376,40.01,-51.435,-720.467,18.343,-50.932,-712.78,19.429,39.994,-7.763,-598.783,37.946,-9.818,-595.738,39.634,27.064,-21.576,-339.078,105.493,-23.544,-344.588,106.171,20.703,-98.061,-215.986,189.483,-97.163,-211.316,190.816,21.599,-96.194,26.666,276.824,-95.73,28.139,269.246,16.73,-55.129,213.065,213.825,-54.054,211.108,211.551,15.755,-6.141,204.451,85.467,-6.04,208.23,87.03,15.505,34.413,348.387,41.148,34.132,345.861,37.901,Fliffis B,generated_Mean_Fliffis B
90.813,-14.834,-62.208,-29.9,-14.555,-61.045,-27.42,20.155,56.448,-454.77,21.884,51.637,-445.417,14.239,16.438,12.334,-423.814,78.314,14.156,-432.34,73.823,5.712,-15.074,-141.506,49.058,-13.615,-147.253,58.964,14.015,78.1,-47.226,371.77,71.087,-47.726,362.944,10.356,-3.428,72.98,381.29,-0.652,71.198,380.807,8.98,-0.004,140.242,204.784,-0.417,139.876,207.085,7.049,0.61,189.282,54.396,0.98,191.07,57.813,6.85,3.74,230.714,31.93,2.542,230.456,27.512,7.609,24.69,265.22,-7.666,21.277,266.84,-10.155,Barani B,generated_Mean_Barani B
101.917,15.356,25.691,-14.63,16.964,31.7,-7.011,29.367,-28.056,-629.064,28.37,-23.433,-603.289,48.325,44.684,-70.899,-777.56,53.017,-69.506,-770.679,47.481,38.156,-84.661,-638.195,34.638,-86.147,-624.979,29.764,29.664,-176.514,-226.342,-156.99,-160.871,-222.882,-144.55,35.128,0.722,11.736,150.938,-2.537,15.255,149.522,31.8,95.321,-358.145,129.242,91.712,-344.116,138.989,28.68,30.984,21.625,123.321,38.435,11.577,119.271,17.884,24.636,223.035,50.851,24.389,228.615,46.422,18.319,40.152,395.394,43.549,43.972,396.273,31.119,Fliffis- Rudi B,generated_Mean_Fliffis- Rudi B
