SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil
20191008-1157-FRANKFURT_1-01-36,Salto A,95.782,13.6,170.76,33.4,1.44,170.52,43.44,6.004,32.08,530.76,10.12,12.02,387.93,-6.79,7.589,23.4,211.44,18.2,19.04,198.64,-1.07,8.022,-32.24,179.76,3.12,-31.22,186.9,6.19,6.686,7.2,195.0,23.28,1.27,192.67,20.94,6.814,18.88,197.6,8.0,13.6,195.44,8.56,7.24,-16.2,159.92,-24.68,-17.24,160.23,-23.73,6.155,-12.16,151.72,6.76,-13.15,150.35,7.91,6.229,-5.36,205.4,28.16,-6.19,197.38,32.78,2.316,-7.88,333.88,-11.4,-2.35,328.14,-15.02
20191008-1157-FRANKFURT_1-01-39,Salto A,86.926,0.4,89.36,-8.88,11.66,102.21,-9.4,2.411,-26.84,266.68,-44.84,-15.57,259.13,-43.72,6.865,-19.32,155.8,-14.32,-22.12,157.79,-18.67,9.208,-25.72,225.44,-25.76,-25.22,225.84,-21.59,9.488,-12.76,274.48,-4.16,-15.29,274.0,-8.08,9.322,-20.52,267.72,-13.52,-20.46,266.22,-14.11,7.314,-23.24,248.48,-2.76,-20.82,248.58,-3.26,7.493,-20.48,240.04,-4.56,-16.98,232.78,-4.57,6.498,-1.92,300.8,-14.92,-6.47,290.52,-8.81,4.706,-18.76,240.04,84.12,-12.83,228.86,51.81
20191008-1157-FRANKFURT_1-01-49,Strecksprung,93.371,-2.36,117.92,9.36,-0.36,139.75,-6.66,5.895,2.8,81.04,-1.36,3.38,90.15,-2.39,1.046,12.52,32.96,-22.8,10.71,26.73,-25.42,0.681,12.52,-15.56,-5.68,12.36,-12.79,-5.27,0.461,29.84,-42.64,41.16,27.32,-36.78,44.76,1.495,18.16,-61.68,58.76,14.91,-68.02,57.11,2.633,-44.16,-104.04,-35.08,-43.66,-99.36,-30.19,1.605,-12.32,-68.08,4.88,-13.76,-64.41,5.55,2.257,-2.04,-76.52,34.32,-2.86,-70.34,34.9,6.075,-18.24,11.12,-6.08,-9.36,41.13,-14.63
20191008-1157-FRANKFURT_1-01-54,Salto A,101.647,35.12,167.72,10.56,44.39,175.19,20.0,7.171,-21.96,358.48,-3.52,-14.94,275.83,-40.38,10.903,-62.12,191.52,52.4,-37.09,179.17,10.6,7.101,-28.88,186.44,-10.72,-33.05,193.53,-2.06,5.456,-32.36,244.8,24.6,-24.77,233.7,8.92,5.471,-9.28,197.8,-5.88,-12.29,196.93,-5.87,4.96,-1.64,144.0,-4.56,-1.9,149.92,-6.79,7.712,-8.0,113.92,-21.8,-8.15,109.41,-20.48,6.244,-28.68,150.52,11.0,-28.91,154.7,-2.44,7.778,-14.88,327.44,37.32,-18.08,323.68,5.95
20191008-1157-FRANKFURT_1-01-55,Strecksprung,104.739,20.0,84.52,54.48,8.95,105.49,37.98,2.706,-33.76,-8.2,92.96,-12.91,-6.52,58.39,2.596,-31.8,-26.52,69.36,-23.8,-11.37,67.25,0.775,-10.52,-33.64,-63.76,-12.11,-32.7,-56.74,1.084,6.2,-20.2,-21.24,4.09,-30.29,-26.12,0.905,10.36,-47.76,-7.92,7.27,-46.11,-7.58,1.203,9.28,-17.84,-8.36,15.18,-20.68,-5.89,1.861,24.44,-13.24,-33.76,22.14,-15.43,-25.3,1.263,-33.04,27.16,31.44,-27.38,24.09,31.68,2.73,-9.88,73.6,-11.16,-11.98,84.26,7.56
20191008-1157-FRANKFURT_1-01-56,Salto B,102.466,41.24,66.08,5.92,41.8,95.11,10.44,2.887,-7.68,51.48,-191.76,-3.25,106.14,-93.55,12.541,-23.24,-157.64,-2.12,-17.82,-128.47,22.42,5.825,21.76,151.88,-55.96,10.44,157.93,-47.93,16.009,2.52,495.48,-9.12,-0.81,491.94,-27.93,20.21,23.8,373.0,-35.68,8.47,385.98,-38.1,4.505,-5.36,158.96,-9.08,-2.78,166.38,-9.52,5.189,-3.48,111.12,5.8,-6.38,107.84,3.83,3.929,17.16,211.88,-22.16,18.91,200.49,-23.3,6.476,-77.48,270.24,-5.88,-66.4,258.25,-20.39
20191008-1157-FRANKFURT_1-01-68,Salto A,96.412,-14.92,134.32,12.56,-8.53,146.75,20.98,2.833,-16.64,358.88,-69.84,0.08,308.5,-63.36,6.652,-45.56,149.12,10.32,-34.0,166.74,21.33,8.076,11.0,199.8,-23.16,14.27,205.47,-16.25,6.506,8.04,224.4,-5.08,4.74,224.9,-3.56,6.576,12.76,214.48,-15.84,6.66,212.61,-14.91,5.975,9.08,176.08,-9.16,9.98,174.43,-9.5,7.296,-10.0,126.12,-27.12,-12.06,123.98,-25.77,6.727,-45.0,153.0,-31.36,-42.17,158.21,-16.2,5.352,12.08,286.72,-47.72,-0.73,288.95,-29.35
20191008-1157-FRANKFURT_1-01-70,Salto B,96.048,-41.52,107.12,-6.32,-35.13,116.31,3.88,3.913,60.12,52.48,-25.64,16.82,56.7,25.47,14.371,81.6,-291.24,-88.0,57.6,-183.83,-46.05,5.846,26.84,117.4,49.52,22.52,121.78,32.36,16.999,11.56,531.76,-17.52,-1.3,513.0,1.08,18.78,37.24,380.76,-2.72,21.65,411.46,-7.45,10.065,-13.2,264.2,-25.04,-8.66,259.3,-23.08,5.021,-6.56,144.12,-17.4,-7.45,144.16,-17.87,6.504,-11.64,222.52,-16.8,-16.84,214.06,-17.86,6.856,-6.96,288.0,-26.28,-19.78,283.03,-16.02
20191008-1157-FRANKFURT_1-01-71,Strecksprung,98.023,-18.32,55.16,-42.32,8.15,77.87,-13.58,3.302,1.72,25.24,4.44,2.46,19.06,7.3,1.119,8.44,-29.76,6.32,8.46,-24.0,4.64,0.281,17.48,-41.68,36.36,17.71,-36.07,34.67,0.717,14.08,-64.12,80.96,5.77,-65.67,74.54,0.917,-23.2,-33.2,4.16,-21.37,-25.32,2.92,0.698,-0.84,-9.56,10.16,-3.52,-10.32,4.71,1.283,-27.84,-23.76,-36.04,-20.76,-29.13,-35.09,1.088,-4.2,6.8,-47.04,-5.38,1.15,-42.6,5.445,-4.52,123.84,-29.44,-8.13,128.88,-14.35
20191008-1157-FRANKFURT_1-01-72,Salto A,93.738,-39.52,148.12,-26.88,-26.73,150.7,-18.87,2.503,1.72,265.52,-54.8,-2.05,255.74,-20.13,7.51,-20.56,94.4,22.72,-17.63,110.49,24.24,10.455,-15.52,236.36,14.56,-17.39,221.82,16.28,6.958,-2.44,227.56,25.08,-2.86,226.92,25.89,6.072,40.52,235.36,13.4,35.39,231.53,19.6,6.399,9.68,183.8,3.08,10.7,187.04,1.15,7.764,-1.4,137.92,-26.68,0.43,142.92,-23.42,8.02,-1.48,189.44,0.96,-4.14,200.52,-5.97,3.022,7.32,246.28,-29.88,-5.6,266.92,-1.22
