SprungID,Sprungtyp,mean_Acc_N_Fil,std_Acc_N_Fil,mean_Gyro_x_R,std_Gyro_x_R,mean_Gyro_y_R,std_Gyro_y_R,mean_Gyro_z_R,std_Gyro_z_R,mean_Gyro_x_Fil,std_Gyro_x_Fil,mean_Gyro_y_Fil,std_Gyro_y_Fil,mean_Gyro_z_Fil,std_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,74.055,23.191,16.477,7.036,207.466,28.391,27.713,42.009,18.334,1.989,216.134,19.45,30.061,39.682
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,5.853,4.003,63.563,32.388,159.956,57.271,167.391,32.148,63.77,27.103,160.508,48.092,165.213,27.498
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,3.903,0.483,133.687,33.595,104.859,19.07,235.138,14.422,133.848,30.249,101.753,19.339,233.938,10.832
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,4.981,1.294,164.51,10.053,-50.911,61.78,273.606,34.233,163.249,8.951,-50.828,61.064,274.854,30.562
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,8.961,1.069,75.716,49.016,-212.913,18.364,320.496,7.57,74.661,47.922,-210.103,18.464,320.496,4.235
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,11.563,0.585,-96.12,48.233,-141.431,53.099,366.478,26.39,-94.805,46.803,-140.176,50.607,364.527,22.531
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,10.678,0.822,-171.993,12.575,28.705,47.378,306.897,36.965,-169.46,12.394,27.503,45.301,306.745,36.319
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,6.942,0.544,-74.532,26.958,107.611,4.814,208.995,26.755,-75.13,27.078,107.151,3.666,209.907,25.208
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,7.88,1.108,9.885,22.391,129.115,24.946,122.467,33.72,8.942,20.742,130.596,23.502,122.224,30.905
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,33.346,29.54,37.819,15.862,230.171,33.931,16.932,44.826,37.518,8.589,223.511,27.355,17.74,36.123
20190930-1153-FRANKFURT_1-01-140,Cody C,69.286,40.836,-3.51,58.2,-191.957,81.618,38.181,48.484,-5.137,38.727,-181.969,58.99,33.38,21.121
20190930-1153-FRANKFURT_1-01-140,Cody C,13.615,1.852,-11.667,34.059,-37.565,139.108,17.458,53.503,-5.765,24.791,-21.775,139.176,16.435,32.273
20190930-1153-FRANKFURT_1-01-140,Cody C,30.26,4.404,72.887,22.794,648.851,116.184,51.241,19.446,68.739,22.107,633.333,117.297,49.567,10.543
20190930-1153-FRANKFURT_1-01-140,Cody C,25.565,2.273,67.516,27.325,583.764,85.316,-7.731,24.807,67.174,19.527,580.584,85.1,-7.053,13.649
20190930-1153-FRANKFURT_1-01-140,Cody C,7.665,4.002,28.375,23.574,282.0,63.013,-18.661,21.665,28.702,20.758,286.178,62.068,-17.828,7.108
20190930-1153-FRANKFURT_1-01-140,Cody C,5.861,0.579,10.387,6.861,190.33,6.256,-13.141,3.555,10.921,5.756,191.093,6.019,-12.892,1.252
20190930-1153-FRANKFURT_1-01-140,Cody C,5.056,0.459,10.161,10.879,151.548,20.426,-9.709,11.264,9.89,8.722,150.848,18.926,-9.0,8.855
20190930-1153-FRANKFURT_1-01-140,Cody C,6.653,0.535,-1.93,6.834,105.307,4.62,7.195,6.495,-1.775,3.914,105.852,3.503,7.118,3.504
