SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
generated_Mean_Cody C,Cody C,4.857,-8.647,151.136,-12.487,-9.899,156.165,-9.267
generated_Mean_Schraubensalto,Schraubensalto,98.546,7.425,145.631,0.678,11.463,180.398,15.664
generated_Mean_Schraubensalto,Schraubensalto,6.451,8.476,221.88,35.855,9.015,222.976,41.587
generated_Mean_Schraubensalto,Schraubensalto,4.203,53.444,106.169,74.338,55.438,111.725,79.125
generated_Mean_Schraubensalto,Schraubensalto,4.228,112.535,56.655,101.947,112.1,53.858,101.939
generated_Mean_Schraubensalto,Schraubensalto,6.981,107.131,-106.515,133.244,105.883,-104.969,133.861
generated_Mean_Schraubensalto,Schraubensalto,11.178,38.824,-186.947,167.782,39.32,-185.436,168.958
generated_Mean_Schraubensalto,Schraubensalto,11.982,-9.596,-66.398,224.822,-9.413,-64.726,221.452
generated_Mean_Schraubensalto,Schraubensalto,9.278,-39.458,119.845,152.153,-38.987,116.655,151.613
generated_Mean_Schraubensalto,Schraubensalto,7.992,-28.073,177.765,61.815,-28.186,177.043,63.246
generated_Mean_Schraubensalto,Schraubensalto,6.103,-13.945,217.618,43.173,-13.175,219.08,41.926
generated_Mean_Rudi,Rudi,97.529,13.012,-45.396,23.33,15.775,9.353,14.297
generated_Mean_Rudi,Rudi,11.641,-41.183,-376.353,117.337,-36.482,-357.806,114.421
generated_Mean_Rudi,Rudi,13.616,-23.93,-196.396,389.079,-23.222,-194.226,389.042
generated_Mean_Rudi,Rudi,17.69,99.952,-35.629,617.647,97.543,-37.92,612.405
generated_Mean_Rudi,Rudi,18.283,260.932,-21.323,626.945,255.986,-23.382,633.891
generated_Mean_Rudi,Rudi,17.422,218.596,-140.874,608.737,218.185,-137.583,607.219
generated_Mean_Rudi,Rudi,14.462,54.432,64.12,500.389,56.879,60.184,497.961
generated_Mean_Rudi,Rudi,9.808,13.313,185.246,200.004,11.987,185.466,203.154
generated_Mean_Rudi,Rudi,9.089,-4.508,254.586,76.306,-2.954,253.721,77.767
generated_Mean_Rudi,Rudi,6.83,46.081,334.003,42.4,42.004,329.796,43.183
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,101.414,26.954,-184.938,50.652,39.218,-48.866,-11.917
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,32.387,-104.916,-573.102,15.574,-94.64,-609.393,32.365
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,45.206,-6.356,-628.472,20.706,-11.442,-635.411,47.951
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,55.375,-51.35,-681.808,98.632,-46.564,-668.44,86.229
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,44.39,-156.752,-526.07,204.184,-152.41,-515.743,217.897
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,32.923,-26.654,-95.732,762.544,-1.105,-98.351,746.408
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,37.811,420.018,-59.656,890.832,414.48,-53.104,882.46
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,39.95,153.726,-120.898,852.724,156.688,-107.384,841.019
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,20.027,20.844,246.692,373.036,22.737,244.897,378.648
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,14.539,134.212,401.98,100.236,133.566,402.467,90.196
generated_Mean_Barani C,Barani C,95.123,5.971,43.783,2.158,8.269,48.219,2.925
generated_Mean_Barani C,Barani C,11.164,-2.508,-298.558,57.756,-3.132,-279.828,55.224
