SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2
20191008-1157-FRANKFURT_1-01-218,Salto A,1.262,-0.677,4.441,-8.578,234.67,-3.69,-0.966,-0.438,5.466,-6.395,174.949,-9.254
0110-MORITZ-01-80,Fliffis B,-22.335,-1.943,3.972,-1.754,-471.075,-29.316,-4.482,-0.831,-1.011,33.316,173.076,-154.795
20191008-1157-FRANKFURT_1-01-369,Salto A,-0.486,0.032,3.947,-15.09,227.973,-10.602,0.976,-0.279,5.684,-3.146,170.165,-9.75
20191007-1534-FRANKFURT_2-01-50,Barani A,-2.302,1.367,4.55,-85.275,-120.082,141.78,-1.923,-1.005,2.559,-79.746,178.04,78.289
0115-MORITZ-03-179,1/2 ein 1/2 aus C,-21.453,9.302,-3.617,-317.416,-234.372,-138.658,-5.115,-1.141,-1.852,0.841,154.685,-196.727
0609-4-01-37,Fliffis B,-17.503,0.769,3.959,-9.357,-388.97,74.917,-4.132,-1.709,-3.477,-112.423,163.371,155.909
20190930-1616-FRANKFURT_1-01-12,Salto B,-5.825,-0.275,2.502,6.146,228.245,12.054,0.163,-0.701,6.385,-4.704,161.684,2.574
0609-4-01-590,Barani C,-4.404,0.37,6.376,19.099,-207.026,131.555,0.385,-1.315,4.815,-6.163,136.189,128.477
20191007-1159-FRANKFURT_1-01-36,Salto C,-4.028,-0.519,4.8,13.411,176.972,10.644,-3.729,0.013,6.008,9.236,230.899,-14.846
20191007-1524-FRANKFURT_1-01-265,Doppelsalto B,-21.679,2.693,-8.292,44.928,440.035,-17.401,-11.814,1.81,-2.632,79.78,371.61,-18.575
0609-4-01-285,Salto C,-0.084,-0.162,3.575,-1.997,228.909,8.849,3.632,-0.236,5.527,2.375,129.34,2.521
20191008-1207-FRANKFURT_2-01-336,Fliffis Rudi C,-30.405,6.446,-8.276,-88.752,-474.498,294.985,-17.193,-4.451,0.9,128.275,152.891,458.115
0609-1-01-793,Doppelsalto C,-24.467,-0.386,-6.204,0.488,458.621,-14.408,-9.75,0.363,-5.769,26.127,379.498,-20.686
20190930-1247-FRANKFURT_2-01-198,Rudi,-6.219,1.587,8.5,95.865,-133.571,322.965,-5.381,-3.15,4.059,83.235,129.682,272.414
20190930-1616-FRANKFURT_1-01-216,Salto C,-1.535,0.251,6.175,-5.561,151.142,3.625,-0.791,-0.404,5.373,-10.843,211.406,-5.803
0609-1-01-572,Salto C,-4.211,0.027,3.508,14.05,260.193,-11.569,1.765,-0.044,6.376,10.056,121.623,-8.49
20190930-1247-FRANKFURT_2-01-196,Schraubensalto,-2.771,0.448,8.062,118.416,65.317,204.057,-3.098,-2.31,2.524,-8.258,154.292,194.059
20191001-1202-FRANKFURT_2-01-97,Baby- Fliffis C,21.913,-4.6,-0.768,74.571,265.508,137.362,-0.178,1.003,1.737,33.48,-144.833,143.137
0609-4-01-345,Salto C,-0.76,-0.373,3.715,-8.699,225.197,10.267,2.726,-0.478,6.131,-4.512,131.136,1.035
0115-MORITZ-03-147,Doppelsalto B,-20.678,-1.561,5.504,-13.662,383.862,9.703,-10.208,-0.809,-1.114,6.0,348.157,23.933
0110-MORITZ-01-34,Voll- ein- voll- aus B,-21.401,3.83,1.809,-368.041,26.854,-478.323,-14.575,0.085,-3.605,-82.826,56.828,-218.417
0609-4-01-480,Fliffis B,-18.808,2.375,4.044,-23.133,-403.938,83.867,-7.271,-1.965,-3.411,-77.707,206.342,176.704
20191008-1157-FRANKFURT_1-01-282,Baby- Fliffis C,-20.953,0.781,-4.625,-19.126,-289.079,80.398,-3.402,-1.496,3.513,-47.592,173.785,147.673
