SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2,Acc_x_Fil_avg_3,Acc_y_Fil_avg_3,Acc_z_Fil_avg_3,Gyro_x_Fil_avg_3,Gyro_y_Fil_avg_3,Gyro_z_Fil_avg_3,Acc_x_Fil_avg_4,Acc_y_Fil_avg_4,Acc_z_Fil_avg_4,Gyro_x_Fil_avg_4,Gyro_y_Fil_avg_4,Gyro_z_Fil_avg_4
0609-4-01-277,Salto C,6.032,0.485,12.04,-8.464,154.08,8.719,-8.039,-0.598,-4.473,5.105,309.233,17.539,-1.506,-0.563,-2.836,0.984,131.879,-1.817,7.032,-0.436,14.752,-3.99,128.076,-5.173
20191008-1207-FRANKFURT_2-01-144,Schraubensalto A,0.481,3.423,18.197,82.478,204.128,141.825,-5.439,-2.36,-4.088,141.839,-101.253,295.846,-5.62,-4.382,-8.219,-64.02,41.25,358.22,-1.343,0.126,13.554,37.429,271.759,48.448
0609-1-01-878,Bauchsprung,2.679,-0.58,19.497,1.183,-14.293,-6.087,-0.945,-0.148,-0.367,3.887,-98.232,-15.248,0.289,-0.228,-0.819,-1.07,-39.209,19.559,17.043,-0.223,10.544,2.313,52.283,-10.38
20191007-1534-FRANKFURT_2-01-140,1 3/4 Salto vw B,-14.85,1.261,7.967,-3.787,-548.282,82.157,-17.924,1.356,-2.55,-51.612,-434.719,88.136,-9.33,-0.433,-5.313,-6.169,-149.729,-16.448,-31.215,-0.766,-4.718,-38.007,-414.542,37.723
0827-BK2-01-61,Salto B,2.974,0.236,18.353,9.868,-15.948,3.022,-10.546,1.099,-9.368,15.318,441.755,-18.08,-1.403,0.839,-3.126,-0.699,128.559,-4.261,4.125,0.68,16.424,1.938,106.618,-5.096
0115-MORITZ-03-128,Salto C,3.85,-0.464,14.112,-8.951,122.529,7.87,-8.422,-0.954,-5.798,-3.588,300.239,10.115,-1.59,-0.731,-2.318,-0.613,116.101,2.155,6.641,-1.473,14.224,-0.616,126.829,3.049
20191001-1148-FRANKFURT_1-01-140,43/,-3.724,4.035,15.512,-14.047,-248.084,290.426,-13.894,0.921,-1.4,174.324,-49.294,641.906,-10.005,-4.131,-6.914,-9.566,100.161,400.178,1.226,-0.348,17.724,4.107,250.951,19.684
0115-CHARI-05-182,1 3/4 Salto vw C,-14.454,0.185,15.245,26.852,-441.669,-0.296,-20.59,-1.777,-16.88,18.771,-347.988,4.187,-2.358,0.358,-3.699,12.39,-280.6,-2.421,-19.593,1.277,5.592,-0.795,-299.214,9.896
20190930-1247-FRANKFURT_2-01-111,Schraubensalto,3.899,1.544,15.776,54.121,183.545,110.741,-5.874,-0.42,-1.97,209.545,-10.21,296.003,-6.193,-4.114,-7.655,-38.856,53.076,346.957,-0.684,-0.479,12.923,-20.429,241.443,76.887
0115-MORITZ-03-11,Salto C,1.958,-0.884,14.079,-7.256,109.697,10.339,-8.712,-0.544,-5.96,-3.326,322.888,25.402,-1.206,-0.489,-2.73,10.411,136.204,3.874,7.805,-1.986,14.922,1.238,79.337,-0.333
20191007-1524-FRANKFURT_1-01-59,Barani A,-1.004,3.471,15.93,-84.064,-178.328,74.865,-3.111,0.069,-8.082,-113.762,-146.256,149.646,-4.02,-3.122,-7.026,-83.535,107.364,225.047,-1.413,-0.715,12.871,8.156,256.854,22.055
20190930-1153-FRANKFURT_1-01-239,Barani A,2.687,0.382,17.738,-10.469,-118.605,64.863,-2.509,0.768,-8.118,-157.189,-117.683,147.296,-1.974,-1.974,-6.793,-124.405,88.913,174.519,2.303,-1.733,13.337,24.048,188.518,36.216
0609-4-01-494,Fliffis B,-13.699,0.735,15.065,-29.832,-501.069,22.947,-21.803,2.275,-8.885,3.786,-283.74,152.333,-7.916,-3.098,-16.019,-177.058,147.493,266.806,-2.834,-0.508,8.884,-4.866,274.899,35.378
