DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,Sprungtyp,SprungID
-1.423,345.503,-9.436,10.049,345.503,9.436,36.164,415.434,59.007,1.233,20.717,10.02,4.92,218.205,-8.926,-0.02,39.094,-4.879,-7.556,67.487,-5.652,1.402,20.717,10.02,7.055,218.205,-7.39,0.41,39.094,1.215,1.182,67.487,5.591,9.609,82.833,18.799,11.553,218.703,18.519,4.587,39.094,7.509,10.414,74.804,14.181,22.434,3.634,49.525,27.002,2.421,51.502,24.007,14.501,12.718,534.076,-19.361,12.837,520.904,-19.33,4.762,0.568,95.287,-9.302,0.523,98.292,-8.816,23.769,-17.92,163.294,-10.808,-17.79,165.632,-10.941,Salto rw C,generated_Mean_Salto rw C
8.315,-182.851,18.134,16.003,278.464,18.134,27.45,303.388,46.041,3.714,-7.049,3.407,1.389,-36.653,3.54,2.487,-73.855,6.831,0.725,-65.294,4.356,3.768,14.98,3.919,3.482,47.203,3.259,6.382,117.68,6.632,2.371,98.601,4.324,7.398,26.943,12.969,4.678,47.833,5.874,7.706,117.68,10.123,7.668,110.932,17.075,22.131,8.493,-15.822,9.441,8.361,-16.436,8.484,1.546,3.229,-82.882,9.629,3.302,-82.792,9.715,4.587,5.948,-166.61,16.934,5.829,-166.866,16.804,24.089,1.752,-146.793,11.356,1.994,-147.02,11.298,3/4 Salto vw A,generated_Mean_3/4 Salto vw A
-14.312,-64.974,192.416,41.502,86.014,192.416,80.532,405.237,232.644,0.496,-84.864,5.181,-11.322,-90.755,74.086,-7.168,25.106,105.762,3.682,85.54,7.388,7.02,113.533,11.75,18.93,115.726,67.516,18.504,-31.942,105.762,-2.953,-111.304,7.388,14.982,133.527,24.913,26.188,117.644,74.945,23.593,40.493,105.921,15.769,113.574,26.865,36.547,1.239,-212.908,14.455,1.035,-211.827,15.704,21.005,-28.476,-226.7,188.037,-28.087,-226.267,187.911,10.58,-18.023,63.568,267.175,-18.378,63.467,265.856,23.58,9.09,214.249,19.495,8.89,214.917,21.07,Baby- Fliffis C,generated_Mean_Baby- Fliffis C
123.098,-287.24,-46.755,123.098,287.24,147.035,177.702,666.841,224.173,5.191,-238.192,3.361,12.477,-199.928,-40.306,97.631,8.686,-1.563,7.798,142.195,-8.246,14.381,238.192,11.706,30.019,199.928,25.24,70.9,-8.686,96.858,7.798,-142.195,13.23,22.915,239.762,20.954,38.172,205.043,46.627,100.658,79.813,125.158,15.957,142.223,31.433,48.095,14.573,-518.919,5.861,14.528,-515.637,5.618,30.764,35.031,-445.986,-83.545,35.035,-446.064,-82.866,18.595,210.458,8.421,27.492,209.126,8.512,25.807,26.51,16.982,314.44,-14.517,18.31,313.971,-13.053,Fliffis aus B,generated_Mean_Fliffis aus B
7.312,-3.921,4.169,7.312,4.755,4.169,37.269,206.88,50.412,1.849,19.96,8.29,5.798,4.448,-2.814,-1.869,-31.257,1.744,1.534,2.928,-3.05,1.849,19.96,8.29,5.798,4.448,-2.814,-0.883,-17.559,2.198,0.548,-2.094,-3.504,12.082,71.152,18.68,7.932,85.315,8.968,9.202,31.831,9.404,8.053,18.582,13.361,32.374,4.677,50.54,23.331,5.179,46.304,17.822,10.646,14.52,13.466,-4.177,14.708,14.365,-3.587,4.272,-4.358,-76.248,7.135,-4.143,-76.963,6.465,13.363,3.898,7.818,-4.879,4.157,8.37,-2.828,Bücksprung,generated_Mean_Bücksprung
1.076,-9.973,1.097,3.038,9.973,1.112,28.957,161.211,60.586,1.55,22.401,6.713,1.938,-16.485,-1.943,0.711,-15.799,7.331,-3.122,-0.091,-11.004,2.24,22.401,6.713,2.063,-16.485,-1.943,0.373,3.965,7.331,-1.638,0.091,-10.989,9.419,69.172,21.234,7.667,54.004,10.976,4.979,20.329,9.582,6.892,17.707,18.793,29.266,3.971,55.15,18.789,4.688,50.206,9.243,8.673,4.747,-37.383,-1.647,4.78,-35.823,-0.844,2.757,1.862,-36.922,20.596,1.657,-37.506,20.067,13.937,-7.412,1.592,-22.015,-6.617,2.523,-19.973,Hocksprung,generated_Mean_Hocksprung
95.447,157.595,331.932,98.993,157.595,368.136,163.725,302.214,389.543,30.876,51.75,52.128,63.469,-38.793,147.038,-13.664,32.252,121.536,14.766,112.386,11.229,35.393,82.285,57.973,67.272,-33.488,164.493,-18.56,19.964,133.005,14.888,88.833,12.666,36.709,82.434,62.667,72.285,50.462,164.493,36.114,55.477,133.154,18.617,113.841,29.229,25.454,74.429,124.02,126.883,75.49,123.272,127.768,10.795,154.871,-93.624,358.996,153.427,-92.242,358.721,11.704,-32.061,78.97,296.066,-30.924,78.41,295.126,20.541,36.196,272.866,27.545,35.094,271.746,28.887,Schraubensalto A,generated_Mean_Schraubensalto A
-61.909,-256.763,179.163,85.835,289.363,236.946,126.215,606.756,256.087,-15.97,-228.922,15.456,-12.384,-190.578,42.734,-40.369,29.212,103.327,6.813,133.526,17.646,18.304,228.922,16.108,14.175,190.578,49.87,48.395,-29.212,140.933,-4.513,-133.526,24.537,24.503,234.875,27.901,26.797,193.616,54.651,66.189,76.753,140.95,18.199,134.112,38.082,49.428,-38.072,-499.266,37.939,-37.35,-494.418,37.33,30.954,-30.963,-425.123,93.947,-31.597,-425.266,94.317,19.423,-82.057,57.726,230.783,-81.375,56.751,229.692,23.933,18.204,293.169,39.495,17.232,291.069,40.871,Fliffis B,generated_Mean_Fliffis B
20.356,-27.913,181.517,29.84,34.174,181.517,62.026,344.631,215.211,10.187,-150.173,9.594,9.543,-29.508,102.505,-1.174,61.277,71.814,1.799,90.491,-2.396,11.018,150.173,9.605,14.251,29.508,102.494,3.115,-61.277,71.814,1.457,-84.231,-2.396,14.298,150.832,20.687,22.381,40.191,103.659,14.44,61.522,72.115,10.907,92.086,18.75,34.065,25.145,-369.492,23.622,24.415,-366.567,23.712,9.937,23.558,-73.094,251.901,23.459,-74.858,251.369,8.414,-2.313,150.34,177.502,-1.993,149.935,178.224,20.558,4.307,223.713,-6.081,4.682,221.744,-5.664,Barani B,generated_Mean_Barani B
-24.889,-305.726,51.008,240.943,437.093,525.99,257.86,540.432,550.099,-14.916,-250.748,17.571,-47.0,-145.022,-20.031,19.332,-58.255,50.459,17.695,148.299,3.01,20.562,250.748,17.571,70.271,145.022,154.19,101.838,58.255,296.245,12.483,-148.299,43.092,29.088,253.588,28.779,93.131,166.721,173.16,141.7,101.771,296.245,29.73,149.72,66.806,51.451,-34.446,-551.435,39.184,-34.003,-547.692,39.031,34.203,-93.114,-327.382,-22.872,-92.776,-327.204,-21.973,30.891,55.694,-127.246,145.823,55.147,-126.615,144.041,28.498,42.34,327.173,11.465,41.318,325.691,13.059,Fliffis- Rudi B,generated_Mean_Fliffis- Rudi B
