Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd
102.338,11.12,97.92,-13.32,13.03,111.74,-9.05,20191008-1207-FRANKFURT_2-01-240,Salto B,30.745,343.599,-17.709,30.745,343.599,17.709,51.634,406.873,50.825,-0.138,-7.966,1.735,21.677,212.371,-6.072,12.688,63.417,-9.637,-3.483,75.777,-3.735,0.138,7.966,1.735,21.402,196.439,2.603,12.688,63.417,9.637,-3.483,75.777,3.735,5.823,52.482,10.603,22.969,212.41,11.642,12.688,63.417,10.485,10.155,78.564,18.095
4.1,-18.8,-8.68,-7.44,-6.57,10.9,-12.69,20191008-1207-FRANKFURT_2-01-240,Salto B,30.745,343.599,-17.709,30.745,343.599,17.709,51.634,406.873,50.825,-0.138,-7.966,1.735,21.677,212.371,-6.072,12.688,63.417,-9.637,-3.483,75.777,-3.735,0.138,7.966,1.735,21.402,196.439,2.603,12.688,63.417,9.637,-3.483,75.777,3.735,5.823,52.482,10.603,22.969,212.41,11.642,12.688,63.417,10.485,10.155,78.564,18.095
17.902,66.44,550.04,24.04,74.87,514.57,-49.44,20191008-1207-FRANKFURT_2-01-240,Salto B,30.745,343.599,-17.709,30.745,343.599,17.709,51.634,406.873,50.825,-0.138,-7.966,1.735,21.677,212.371,-6.072,12.688,63.417,-9.637,-3.483,75.777,-3.735,0.138,7.966,1.735,21.402,196.439,2.603,12.688,63.417,9.637,-3.483,75.777,3.735,5.823,52.482,10.603,22.969,212.41,11.642,12.688,63.417,10.485,10.155,78.564,18.095
5.205,4.52,42.6,-41.48,5.33,36.82,-37.76,20191008-1207-FRANKFURT_2-01-240,Salto B,30.745,343.599,-17.709,30.745,343.599,17.709,51.634,406.873,50.825,-0.138,-7.966,1.735,21.677,212.371,-6.072,12.688,63.417,-9.637,-3.483,75.777,-3.735,0.138,7.966,1.735,21.402,196.439,2.603,12.688,63.417,9.637,-3.483,75.777,3.735,5.823,52.482,10.603,22.969,212.41,11.642,12.688,63.417,10.485,10.155,78.564,18.095
93.021,-6.24,196.2,42.4,13.31,189.31,24.95,20190930-1247-FRANKFURT_2-01-47,Salto C,-7.957,342.901,3.349,7.957,342.901,3.349,30.037,344.067,30.521,-3.733,34.485,5.04,-1.782,155.317,2.856,-3.243,85.302,-3.361,0.801,67.798,-1.186,3.733,34.485,5.04,1.782,155.317,2.856,3.243,85.302,-3.361,-0.801,67.798,-1.186,12.814,35.651,11.562,5.201,155.317,4.255,4.24,85.302,4.202,7.781,67.798,10.501
10.222,-33.88,153.2,28.12,-30.84,160.45,17.72,20190930-1247-FRANKFURT_2-01-47,Salto C,-7.957,342.901,3.349,7.957,342.901,3.349,30.037,344.067,30.521,-3.733,34.485,5.04,-1.782,155.317,2.856,-3.243,85.302,-3.361,0.801,67.798,-1.186,3.733,34.485,5.04,1.782,155.317,2.856,3.243,85.302,-3.361,-0.801,67.798,-1.186,12.814,35.651,11.562,5.201,155.317,4.255,4.24,85.302,4.202,7.781,67.798,10.501
12.967,13.72,339.2,0.36,10.72,344.91,-2.59,20190930-1247-FRANKFURT_2-01-47,Salto C,-7.957,342.901,3.349,7.957,342.901,3.349,30.037,344.067,30.521,-3.733,34.485,5.04,-1.782,155.317,2.856,-3.243,85.302,-3.361,0.801,67.798,-1.186,3.733,34.485,5.04,1.782,155.317,2.856,3.243,85.302,-3.361,-0.801,67.798,-1.186,12.814,35.651,11.562,5.201,155.317,4.255,4.24,85.302,4.202,7.781,67.798,10.501
5.292,-14.12,152.16,4.0,-13.59,152.02,3.28,20190930-1247-FRANKFURT_2-01-47,Salto C,-7.957,342.901,3.349,7.957,342.901,3.349,30.037,344.067,30.521,-3.733,34.485,5.04,-1.782,155.317,2.856,-3.243,85.302,-3.361,0.801,67.798,-1.186,3.733,34.485,5.04,1.782,155.317,2.856,3.243,85.302,-3.361,-0.801,67.798,-1.186,12.814,35.651,11.562,5.201,155.317,4.255,4.24,85.302,4.202,7.781,67.798,10.501
78.033,71.88,225.28,-32.84,59.38,260.43,-18.96,20191007-1150-FRANKFURT_2-01-86,Salto A,12.558,348.728,-7.837,12.558,348.728,7.837,34.958,348.728,43.933,11.43,87.335,-8.248,0.309,76.875,-4.781,-2.441,84.554,-3.606,3.259,99.964,8.798,11.43,87.335,8.248,0.309,76.875,4.781,-2.441,84.554,3.606,3.259,99.964,-8.798,11.61,87.335,11.367,6.065,76.875,7.652,5.672,84.554,7.155,11.61,99.964,17.759
7.058,10.44,19.04,-47.88,8.39,46.98,-39.75,20191007-1150-FRANKFURT_2-01-86,Salto A,12.558,348.728,-7.837,12.558,348.728,7.837,34.958,348.728,43.933,11.43,87.335,-8.248,0.309,76.875,-4.781,-2.441,84.554,-3.606,3.259,99.964,8.798,11.43,87.335,8.248,0.309,76.875,4.781,-2.441,84.554,3.606,3.259,99.964,-8.798,11.61,87.335,11.367,6.065,76.875,7.652,5.672,84.554,7.155,11.61,99.964,17.759
