Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
3/4 Salto vw A,20191007-1159-FRANKFURT_1-01-348,28.005,23.373,17.666,0.855,19.984,9.823,119.946,13.627
Barani C,0609-4-01-610,22.154,20.445,12.394,2.209,23.272,20.638,223.837,97.107
Salto B,20191008-1157-FRANKFURT_1-01-354,24.205,20.935,8.591,1.507,27.66,29.093,187.855,30.172
Cody C,20190930-1247-FRANKFURT_2-01-290,28.369,25.894,21.799,2.67,23.871,33.358,253.406,36.601
Doppelsalto B,0609-1-01-479,21.199,19.582,18.29,2.065,25.312,37.143,265.217,28.317
Doppelsalto B,0609-1-01-283,22.286,18.975,18.251,2.147,27.712,49.92,282.256,38.206
Bauchsprung,0609-1-01-744,24.562,21.36,15.072,1.091,19.789,14.67,74.745,13.748
Salto A,20191008-1207-FRANKFURT_2-01-39,24.324,21.232,5.762,3.009,26.402,23.695,71.748,23.593
Barani C,0609-4-01-604,22.893,20.834,13.411,1.803,23.808,27.646,231.64,102.54
Salto C,0827-BK2-01-46,25.243,23.411,11.513,2.237,26.38,20.253,183.149,23.123
Fliffis B,0609-4-01-5,24.295,21.562,19.821,2.876,27.991,89.895,351.341,116.342
Salto C,0827-BK2-01-40,25.62,23.705,13.915,1.692,25.48,17.324,175.546,18.052
Voll- ein- voll- aus B,0115-MORITZ-03-102,23.006,19.541,19.563,6.679,29.555,278.791,271.57,302.183
3/4 Salto vw A,20191001-1202-FRANKFURT_2-01-96,24.751,23.185,15.422,1.947,20.253,12.48,132.287,21.795
Salto B,20191007-1159-FRANKFURT_1-01-432,23.535,20.497,6.933,2.653,25.427,22.325,56.268,34.728
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-213,23.442,17.371,18.398,10.254,30.923,180.223,417.675,388.782
Von Bauch in Stand,0609-1-01-632,23.753,23.941,15.047,3.76,18.223,13.585,73.964,16.998
Salto A,20190930-1247-FRANKFURT_2-01-222,24.763,21.919,6.772,1.636,26.006,13.824,44.955,18.264
Salto A,20190930-1247-FRANKFURT_2-01-80,22.642,20.631,5.034,1.104,25.344,15.257,34.166,21.249
3/4 Salto vw A,20191008-1157-FRANKFURT_1-01-299,26.16,23.046,16.546,1.198,19.927,12.431,114.565,25.592
Bauchsprung,0609-1-01-183,25.121,22.482,16.043,1.249,19.451,16.174,60.86,22.817
Doppelsalto B,0609-1-01-318,22.943,20.841,18.554,2.233,28.526,50.781,289.831,43.9
Salto B,0827-BK1-01-53,24.97,23.347,12.777,2.142,26.074,22.182,185.662,25.132
Rudi,20191008-1157-FRANKFURT_1-01-219,22.808,20.933,10.912,4.174,25.893,125.222,227.546,315.283
Barani C,0609-4-01-544,22.813,21.531,11.325,1.952,24.257,25.861,208.403,103.934
Salto C,20190930-1247-FRANKFURT_2-01-28,23.89,21.342,8.066,1.661,26.644,15.332,166.438,24.942
Salto C,20191008-1157-FRANKFURT_1-01-222,23.65,20.427,6.179,1.877,26.546,26.866,185.536,36.681
Fliffis aus B,20191001-1148-FRANKFURT_1-01-218,21.309,18.58,18.146,5.238,27.372,100.659,458.274,196.327
Salto B,0827-BK1-01-76,24.711,22.866,13.637,1.364,24.884,17.844,172.851,14.829
Barani C,20190930-1616-FRANKFURT_1-01-297,24.157,22.298,12.189,2.302,24.239,25.962,173.456,86.171
Salto C,0110-MORITZ-01-125,26.153,23.829,13.563,0.894,25.437,21.6,162.165,10.628
Salto B,20191007-1150-FRANKFURT_2-01-167,19.812,17.684,9.423,1.464,23.962,18.956,196.178,25.279
Von Bauch in Stand,0609-1-01-718,24.134,24.03,16.019,1.88,18.145,16.07,72.686,21.849
Bauchsprung,0609-1-01-872,24.087,20.993,13.741,1.938,20.179,14.919,86.77,31.259
Barani C,20191007-1159-FRANKFURT_1-01-398,24.823,22.465,8.497,2.474,27.111,52.268,228.173,122.462
Rudi,20191008-1157-FRANKFURT_1-01-389,22.936,20.761,13.51,4.638,25.257,109.786,233.115,315.317
Salto B,0827-BK1-01-68,24.824,22.982,13.128,1.771,25.772,21.445,163.203,20.601
Barani C,0609-4-01-568,24.036,22.023,12.482,1.919,24.732,35.665,195.485,96.04
Fliffis C,20190930-1247-FRANKFURT_2-01-247,24.722,21.883,24.994,5.39,28.756,65.952,360.105,121.182
Salto C,0609-1-01-576,23.367,21.817,9.324,1.32,24.847,20.551,148.515,15.626
Barani C,20190930-1247-FRANKFURT_2-01-77,24.234,22.269,8.421,2.611,26.544,33.599,211.317,78.452
Schraubensalto C,0609-4-01-104,23.429,20.731,10.656,2.255,24.804,106.04,132.42,156.805
Fliffis B,0609-4-01-47,24.217,22.826,23.227,4.883,25.264,45.854,360.147,127.344
Barani C,20191008-1157-FRANKFURT_1-01-297,24.449,22.59,8.309,2.391,26.665,42.087,225.116,120.481
Salto C,20191008-1207-FRANKFURT_2-01-214,24.598,21.249,10.055,2.847,27.049,19.214,224.449,30.411
Fliffis C,20191007-1159-FRANKFURT_1-01-448,24.962,22.806,22.691,4.526,29.862,61.028,422.393,168.622
