Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
Salto A,20191008-1207-FRANKFURT_2-01-364,23.538,19.854,6.862,8.353,24.309,26.927,73.845,36.783
Schraubensalto A,20191003-1152-FRANKFURT_1-01-104,20.823,18.238,7.025,3.169,24.394,112.226,137.484,177.469
Schraubensalto A,20191007-1534-FRANKFURT_2-01-104,21.999,18.651,7.397,5.004,24.628,119.341,139.573,174.293
Barani C,0609-4-01-600,22.601,20.957,11.227,2.224,24.069,28.126,203.562,101.779
Salto C,0827-BK2-01-10,26.004,23.879,11.692,2.09,26.388,21.04,159.481,20.538
Barani A,20191007-1159-FRANKFURT_1-01-229,24.541,21.186,9.768,2.69,26.531,52.429,198.64,134.312
Salto B,20191008-1207-FRANKFURT_2-01-141,24.596,21.304,10.924,3.246,27.173,26.178,241.479,26.654
Barani C,20190930-1247-FRANKFURT_2-01-88,22.725,21.022,8.501,2.511,25.548,33.27,222.107,70.645
Barani B,20191007-1159-FRANKFURT_1-01-189,22.496,20.748,9.758,2.92,25.063,48.74,268.829,164.404
Salto C,0115-MORITZ-03-57,27.072,24.339,13.582,1.353,26.415,14.688,153.833,17.39
Salto A,20191007-1159-FRANKFURT_1-01-306,23.44,20.492,5.961,1.293,25.039,13.263,60.568,14.876
Bauchsprung,0609-1-01-649,24.194,21.616,14.939,1.542,19.657,10.288,75.397,23.335
Salto B,0115-JANEIKE-01-121,24.386,22.16,15.004,1.501,24.457,29.374,214.455,31.977
Voll- ein- Rudi- aus B,0115-MORITZ-03-58,21.927,19.983,19.127,12.987,29.979,289.925,328.495,301.616
Fliffis B,0609-4-01-372,25.169,22.184,18.92,3.258,28.443,63.262,362.559,148.416
Fliffis C,20191007-1150-FRANKFURT_2-01-214,20.452,19.016,23.957,4.771,27.723,60.222,388.142,170.107
Barani A,20191008-1207-FRANKFURT_2-01-91,24.664,22.44,6.275,3.832,26.6,61.5,200.835,84.599
Cody C,20191003-1152-FRANKFURT_1-01-28,25.311,24.442,21.887,2.608,23.64,24.141,226.204,19.192
Von Bauch in Stand,0609-1-01-167,25.584,25.926,17.81,0.925,18.348,13.589,53.726,16.391
Bauchsprung,0609-1-01-900,23.875,21.165,13.44,1.009,19.979,14.987,81.666,13.072
Salto C,0827-BK2-02-22,24.339,22.603,11.863,1.443,25.607,16.854,188.037,26.276
Doppelsalto B,20191007-1524-FRANKFURT_1-01-114,24.57,21.899,10.441,4.2,24.725,32.067,137.396,29.487
Salto B,0827-BK1-01-81,25.164,23.559,14.99,2.213,24.835,23.659,185.221,28.006
Salto C,0609-1-01-594,24.206,22.277,10.397,0.859,25.591,15.395,177.198,20.666
Salto B,0827-BK2-01-57,25.278,23.204,11.896,0.859,26.77,10.51,211.766,15.697
Bauchsprung,0609-1-01-631,23.646,20.835,13.945,2.629,19.429,12.458,82.178,32.94
Doppelsalto B,0609-1-01-618,22.195,20.074,18.377,3.49,26.986,43.863,258.019,36.442
Salto A,0827-BK2-01-98,24.903,23.171,8.527,1.376,26.261,14.159,51.861,15.069
Salto A,20191008-1207-FRANKFURT_2-01-60,24.327,21.4,7.007,6.355,24.233,22.935,94.346,48.81
Salto B,0115-JANEIKE-01-21,24.914,22.113,13.962,1.394,25.268,28.232,177.8,31.821
Salto A,20191007-1150-FRANKFURT_2-01-110,19.863,17.592,6.752,1.05,22.943,18.812,63.072,19.713
Salto A,20191008-1207-FRANKFURT_2-01-187,24.544,21.847,3.748,2.996,26.269,18.328,76.411,28.55
Bauchsprung,0609-1-01-812,23.567,20.74,14.665,1.082,18.892,13.195,70.036,17.251
Salto A,0827-BK2-02-147,22.058,21.138,7.679,1.051,23.912,9.438,37.672,16.198
Bauchsprung,0609-1-01-749,24.243,21.311,14.817,0.949,19.756,13.589,71.766,13.291
1 3/4 Salto vw C,0115-CHARI-05-167,26.196,23.507,18.551,1.888,24.412,13.747,200.898,21.525
Von Bauch in Stand,0609-1-01-679,23.691,23.856,17.492,1.617,16.839,21.327,60.692,40.614
3/4 Salto vw A,20191007-1159-FRANKFURT_1-01-400,27.138,23.52,16.846,1.508,20.294,8.05,128.429,12.019
Schraubensalto C,0609-4-01-94,23.42,21.05,9.843,2.705,24.979,100.721,133.441,166.269
Bauchsprung,0609-1-01-254,25.848,22.898,15.565,1.371,20.908,18.729,63.681,26.208
Fliffis B,0609-4-01-500,23.906,20.776,19.74,2.95,28.037,92.726,365.83,139.631
Doppelsalto B,0609-1-01-569,23.173,20.291,17.587,2.679,28.544,40.678,268.451,28.755
Salto A,20191001-1202-FRANKFURT_2-01-132,24.919,21.412,9.922,2.239,22.235,11.622,68.734,20.083
Barani A,20191008-1157-FRANKFURT_1-01-137,23.789,21.866,6.103,2.412,26.654,57.93,203.653,110.163
Doppelsalto B,0609-1-01-450,23.265,20.356,18.019,1.494,27.987,34.763,285.183,26.409
Salto B,0115-CHARI-05-87,24.737,22.466,10.514,1.427,27.328,18.867,181.834,33.567
Rudi,20190930-1247-FRANKFURT_2-01-223,23.755,21.674,9.342,4.559,25.502,141.047,207.592,232.928
Salto C,20190930-1247-FRANKFURT_2-01-271,26.157,22.516,11.384,3.779,27.16,31.897,191.717,35.577
Rudi,20191007-1150-FRANKFURT_2-01-120,19.836,17.504,13.763,5.075,23.743,124.904,217.124,299.715
Barani C,0609-4-01-518,23.764,21.853,11.562,1.653,24.856,48.286,177.117,93.382
Barani C,20191007-1159-FRANKFURT_1-01-385,24.118,21.789,8.825,2.552,26.199,46.63,243.827,140.325
Schraubensalto A,20191007-1534-FRANKFURT_2-01-95,20.949,18.41,5.679,4.13,24.03,109.487,155.067,164.832
Salto C,0609-4-01-412,25.98,22.481,15.026,1.2,23.876,13.361,162.554,18.026
Salto B,20190930-1153-FRANKFURT_1-01-238,23.608,21.334,13.08,1.728,26.307,40.463,212.613,28.37
1 3/4 Salto vw C,0115-CHARI-05-133,25.873,22.591,17.143,2.546,24.358,26.069,197.944,38.567
40/,20191001-1148-FRANKFURT_1-01-95,23.493,20.759,7.394,0.891,24.979,17.457,77.273,18.702
Salto A,20191008-1157-FRANKFURT_1-01-334,23.185,20.548,6.071,1.573,25.194,16.005,59.369,22.088
Salto C,0609-4-01-293,25.777,22.351,16.464,1.172,23.363,16.699,139.077,13.269
Barani A,20191007-1150-FRANKFURT_2-01-84,19.944,18.606,8.6,3.077,22.978,73.526,192.423,92.909
Salto C,0609-4-01-379,22.47,20.767,12.849,1.583,21.058,18.335,94.154,25.693
Fliffis- Rudi B,0115-JANEIKE-01-118,19.679,17.511,19.672,8.067,27.738,165.074,363.357,350.686
Bauchsprung,0609-1-01-778,23.61,21.199,14.319,0.821,19.375,11.088,82.994,22.187
Rudi,20191007-1150-FRANKFURT_2-01-132,18.575,17.372,12.222,5.074,22.342,127.286,213.717,279.768
Salto A,20191007-1150-FRANKFURT_2-01-141,20.581,18.256,6.746,1.524,23.466,16.22,49.761,17.715
Fliffis B,0110-MORITZ-01-97,22.841,20.865,20.754,4.886,26.377,64.098,396.405,130.325
Fliffis aus B,0115-MORITZ-03-163,24.331,22.566,19.473,4.629,27.931,118.359,364.473,112.884
Salto B,0827-BK2-01-65,24.802,23.144,12.449,0.996,26.005,14.796,197.893,12.589
Salto A,20191007-1150-FRANKFURT_2-01-151,20.826,18.372,7.559,0.861,23.599,13.87,49.491,15.867
Fliffis aus B,0115-MORITZ-03-178,24.251,22.328,19.218,4.201,28.545,121.243,364.632,119.655
Fliffis C,20191008-1157-FRANKFURT_1-01-215,23.593,21.811,22.292,4.982,29.597,87.199,417.19,162.817
Salto C,0609-4-01-277,25.748,21.946,14.303,1.464,24.338,15.613,143.028,17.258
Schraubensalto A,20191008-1207-FRANKFURT_2-01-144,25.275,21.546,6.459,5.517,25.771,83.995,179.334,148.009
Bauchsprung,0609-1-01-878,23.23,20.602,14.88,1.577,18.503,11.798,69.688,26.933
1 3/4 Salto vw B,20191007-1534-FRANKFURT_2-01-140,26.332,20.01,16.204,2.525,23.204,26.656,255.545,57.234
Salto B,0827-BK2-01-61,25.658,23.545,12.343,1.192,26.838,18.112,196.18,19.825
Salto C,0115-MORITZ-03-128,26.913,23.86,12.099,1.205,26.712,13.663,157.651,15.666
43/,20191001-1148-FRANKFURT_1-01-140,23.447,21.085,11.342,4.05,25.739,89.899,221.94,273.783
1 3/4 Salto vw C,0115-CHARI-05-182,27.137,23.79,19.12,2.038,24.175,22.401,195.378,20.238
Schraubensalto,20190930-1247-FRANKFURT_2-01-111,23.467,21.296,7.457,2.745,25.144,109.285,129.596,133.218
Salto C,0115-MORITZ-03-11,27.021,24.464,12.295,1.553,26.9,15.085,166.087,21.556
Barani A,20191007-1524-FRANKFURT_1-01-59,23.759,21.854,5.812,4.133,25.763,57.305,193.736,99.362
Barani A,20190930-1153-FRANKFURT_1-01-239,24.216,22.18,7.72,1.724,26.093,87.698,145.477,71.848
Fliffis B,0609-4-01-494,24.617,21.369,20.246,3.084,27.265,86.458,360.648,125.319
Rudi,20191007-1150-FRANKFURT_2-01-152,19.149,17.464,13.502,4.78,22.344,122.166,191.51,297.274
Salto C,0609-1-01-41,24.966,22.938,12.195,1.206,26.012,23.759,192.116,21.184
Bauchsprung,0609-1-01-773,24.069,21.326,14.751,1.048,19.608,11.062,81.294,17.066
Salto B,20191008-1157-FRANKFURT_1-01-332,23.447,20.524,8.349,1.85,26.482,40.216,205.344,28.693
Salto A,20191007-1534-FRANKFURT_2-01-78,22.569,19.535,7.157,3.811,24.909,16.183,37.408,14.827
Salto C,0827-BK1-01-4,24.65,22.908,10.693,1.066,25.639,10.903,172.766,13.863
Schraubensalto C,0609-4-01-189,23.443,20.934,11.163,2.775,24.344,93.279,132.237,173.439
Salto C,0115-MORITZ-03-25,25.324,24.18,11.91,1.344,24.361,16.203,86.616,14.831
Schraubensalto C,0609-4-01-110,23.613,21.326,11.328,2.63,24.437,110.945,126.955,150.644
Salto A,20191008-1157-FRANKFURT_1-01-54,23.536,21.057,4.149,2.072,25.351,19.585,60.788,23.562
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-77,21.164,17.603,27.009,10.499,25.9,236.993,421.49,400.908
Barani A,20191008-1157-FRANKFURT_1-01-368,23.791,21.989,8.176,2.352,25.983,61.875,196.972,112.834
Schraubensalto C,0609-4-01-233,23.062,20.653,10.338,2.859,24.437,104.607,125.563,171.667
3/4 Salto rw A,20191008-1207-FRANKFURT_2-01-138,25.958,23.079,15.703,5.504,21.324,18.262,65.143,32.975
Doppelsalto C,0110-MORITZ-01-48,24.332,22.597,21.391,1.468,25.915,25.918,222.72,14.812
Voll- ein- voll- aus B,0110-MORITZ-01-127,22.467,19.078,20.841,10.306,28.069,250.813,355.272,294.64
Von Bauch in Stand,0609-1-01-97,24.786,24.863,17.197,0.947,17.908,15.38,69.561,15.349
Barani A,20191008-1207-FRANKFURT_2-01-172,26.139,23.039,4.51,2.957,28.069,92.701,185.568,81.29
Salto A,20190930-1153-FRANKFURT_1-01-219,24.525,22.602,7.233,1.289,25.502,17.519,62.431,17.68
Doppelsalto B,20191007-1524-FRANKFURT_1-01-164,24.48,20.556,16.609,3.35,31.177,39.524,245.537,32.378
Doppelsalto B,0115-MORITZ-03-86,22.772,21.153,22.847,2.533,24.593,29.302,268.723,26.415
Schraubensalto,20190930-1247-FRANKFURT_2-01-153,24.071,21.693,9.727,2.764,24.877,86.775,138.699,131.548
Barani C,0609-4-01-566,23.685,21.803,12.287,2.14,24.563,39.548,193.702,84.6
3/4 Salto vw A,20191008-1157-FRANKFURT_1-01-281,28.921,23.501,17.207,1.746,20.193,9.709,116.001,13.788
Doppelsalto C,0609-1-01-808,21.611,19.022,23.131,1.393,27.172,32.278,269.87,24.149
Bauchsprung,0609-1-01-796,23.682,21.153,15.416,0.875,18.122,10.485,62.473,14.854
Salto A,20191008-1207-FRANKFURT_2-01-28,24.602,21.712,5.199,3.415,26.427,23.33,73.666,31.333
Salto C,0827-BK2-02-25,23.997,22.316,11.589,1.204,25.459,17.991,183.662,34.456
Salto B,20191008-1157-FRANKFURT_1-01-367,24.009,21.021,9.641,1.885,26.378,21.78,194.535,22.381
Doppelsalto C,0609-1-01-874,22.559,19.978,22.515,1.438,26.8,29.704,262.047,21.502
Salto B,0115-JANEIKE-01-19,23.572,21.966,13.915,1.447,23.176,28.289,188.208,22.63
Doppelsalto C,20190930-1153-FRANKFURT_1-01-108,22.931,20.031,20.086,2.407,29.265,21.8,267.162,28.515
Barani A,20190930-1616-FRANKFURT_1-01-295,24.129,21.937,6.021,3.101,26.637,68.798,156.302,58.38
Barani C,20190930-1247-FRANKFURT_2-01-110,24.048,21.641,8.497,2.784,26.488,42.519,207.345,60.192
Salto C,20191007-1159-FRANKFURT_1-01-61,23.587,21.195,3.641,1.385,25.477,15.557,63.171,21.711
Fliffis B,20191007-1150-FRANKFURT_2-01-222,18.887,17.75,18.017,4.857,26.426,77.934,418.517,166.166
Doppelsalto C,0609-1-01-846,22.284,19.656,22.535,1.668,27.411,23.887,276.618,23.829
Schraubensalto C,0609-4-01-135,23.406,21.096,10.599,2.97,24.75,108.977,125.083,174.318
Salto C,0609-1-01-532,23.745,21.736,9.489,1.617,25.606,21.888,184.73,15.14
Salto B,20191008-1207-FRANKFURT_2-01-252,25.09,21.814,10.959,2.036,27.266,28.328,220.471,23.332
Schraubensalto C,0609-4-01-180,23.582,20.875,10.542,2.421,24.767,105.185,123.272,161.786
Von Bauch in Stand,0609-1-01-262,25.964,26.141,18.105,1.971,18.29,13.929,59.008,23.927
Salto A,20191008-1207-FRANKFURT_2-01-229,23.821,21.273,2.685,2.702,26.006,11.35,71.265,18.327
Salto B,20191008-1157-FRANKFURT_1-01-319,23.821,20.997,9.12,1.29,25.883,26.075,184.511,31.185
41°,20191001-1148-FRANKFURT_1-01-123,23.584,21.714,8.919,2.649,26.191,38.15,242.864,135.473
Doppelsalto C,0609-1-01-751,21.894,19.823,22.226,1.364,26.015,29.364,269.193,21.446
Salto A,20191001-1202-FRANKFURT_2-01-143,22.833,20.185,9.962,1.886,22.742,16.867,67.499,31.765
Von Bauch in Stand,0609-1-01-245,25.74,25.97,17.49,1.678,18.778,10.997,59.422,20.011
Von Bauch in Stand,0609-1-01-106,25.245,25.329,17.951,2.138,17.811,14.321,52.078,23.739
Doppelsalto B,0609-1-01-428,24.266,21.116,18.072,1.849,28.711,38.962,279.484,18.7
Fliffis- Rudi B,0115-JANEIKE-01-139,17.774,16.173,21.49,9.012,26.918,209.04,385.118,374.056
1/2 ein 1/2 aus C,0115-MORITZ-03-84,24.839,21.363,17.982,8.155,30.519,251.948,313.58,162.78
Bauchsprung,0609-1-01-836,23.341,20.806,14.473,1.334,18.953,14.351,68.683,24.847
Salto C,20191008-1207-FRANKFURT_2-01-343,24.778,21.586,10.235,7.158,25.23,52.353,178.093,34.827
Salto C,0115-MORITZ-03-98,26.756,24.328,12.12,1.985,26.638,11.597,170.26,18.752
Doppelsalto B,0115-CHARI-05-22,22.197,21.309,18.545,1.478,26.721,25.735,261.119,17.544
Fliffis B,0609-4-01-388,25.729,22.135,19.33,3.444,27.264,91.989,352.648,122.579
Doppelsalto C,0609-1-01-869,21.078,18.9,21.71,2.332,26.456,21.284,259.012,27.612
Voll- ein- voll- aus A,0110-MORITZ-01-114,20.738,17.873,18.266,5.332,29.703,230.132,274.64,279.094
Salto A,20191001-1202-FRANKFURT_2-01-186,27.123,20.707,11.456,2.979,24.713,20.867,69.69,40.867
Schraubensalto C,0609-4-01-205,22.836,20.282,10.905,2.849,24.005,105.021,133.638,169.14
Cody C,20190930-1153-FRANKFURT_1-01-162,26.165,25.451,23.489,1.775,20.959,34.433,214.392,30.451
Doppelsalto B,0609-1-01-217,21.28,18.736,18.362,1.609,26.776,35.233,272.352,33.138
Salto B,20191007-1150-FRANKFURT_2-01-59,20.081,17.238,10.249,1.357,24.035,18.803,178.627,21.604
Barani C,20190930-1616-FRANKFURT_1-01-50,23.676,21.835,9.679,2.304,25.136,26.016,195.135,98.413
Salto A,20191001-1202-FRANKFURT_2-01-144,22.673,20.607,9.71,1.764,22.946,18.726,75.6,36.359
Barani A,20191008-1207-FRANKFURT_2-01-75,23.991,22.18,5.287,5.325,25.945,48.145,200.475,110.019
Salto B,0827-BK1-01-92,24.775,22.731,13.675,1.712,25.344,23.639,172.863,28.318
Bauchsprung,0609-1-01-141,24.713,21.902,15.961,1.039,19.391,21.226,74.493,22.735
Salto C,0609-1-01-444,23.675,21.976,10.886,1.273,25.227,15.845,178.029,21.318
Salto C,20190930-1247-FRANKFURT_2-01-199,25.505,21.841,10.02,2.829,28.246,27.924,207.746,43.158
Bauchsprung,0609-1-01-151,24.901,21.754,16.065,1.444,19.17,12.488,61.421,19.883
Fliffis C,20191007-1159-FRANKFURT_1-01-364,25.57,23.069,20.887,4.707,30.638,59.083,432.96,176.151
Bauchsprung,0609-1-01-261,26.107,23.1,16.012,1.331,20.786,14.054,70.274,21.264
Doppelsalto C,0609-1-01-675,21.344,18.897,21.2,1.235,27.666,23.884,264.175,22.956
Salto A,0827-BK1-01-117,24.534,22.808,10.482,1.162,25.03,11.435,45.309,16.306
Doppelsalto B,0609-1-01-423,23.774,20.456,19.15,1.612,28.131,39.815,279.54,34.905
Schraubensalto,20190930-1247-FRANKFURT_2-01-318,24.201,21.52,6.575,2.363,25.582,104.904,145.394,133.239
Salto C,0609-4-01-266,25.946,22.616,16.593,1.123,23.434,13.465,155.686,16.133
Doppelsalto B,0609-1-01-589,23.748,20.765,17.377,1.602,28.757,31.638,282.847,27.486
Barani A,20191003-1152-FRANKFURT_1-01-102,20.36,19.173,4.789,2.638,24.154,94.104,163.5,60.854
Fliffis B,20191007-1150-FRANKFURT_2-01-212,18.77,17.405,18.797,5.192,25.133,82.762,426.61,167.927
Von Bauch in Stand,0609-1-01-802,24.304,24.755,16.809,2.196,17.473,10.985,54.113,20.979
Cody C,20191003-1152-FRANKFURT_1-01-62,25.13,24.295,23.851,2.343,21.794,18.195,233.985,23.71
Salto C,20190930-1153-FRANKFURT_1-01-185,24.044,21.898,10.266,1.36,26.081,34.294,168.768,29.105
Salto A,20191008-1207-FRANKFURT_2-01-99,27.97,22.619,7.736,4.155,27.999,19.131,80.951,21.127
Von Bauch in Stand,0609-1-01-706,23.865,24.033,15.48,1.726,18.287,15.901,69.562,20.491
Salto A,20191001-1202-FRANKFURT_2-01-172,21.35,18.222,8.519,1.548,21.951,21.152,56.554,32.463
Salto C,0115-MORITZ-03-74,26.717,24.54,12.44,1.885,26.505,15.042,170.291,17.438
Salto C,20191007-1150-FRANKFURT_2-01-143,20.236,18.037,11.504,1.258,22.101,18.433,163.904,30.06
Fliffis B,0609-4-01-336,25.259,22.124,20.267,2.991,28.013,86.91,355.026,129.153
Salto A,20190930-1247-FRANKFURT_2-01-341,24.686,21.966,7.759,2.196,25.8,11.571,38.738,19.913
Fliffis Rudi C,20191008-1207-FRANKFURT_2-01-287,22.511,19.65,20.912,12.113,28.801,194.07,402.679,375.462
Doppelsalto B,0115-CHARI-05-102,23.066,21.159,18.476,1.719,29.011,24.581,262.78,29.626
Salto C,0827-BK1-01-19,25.853,23.846,12.432,1.983,25.845,19.145,152.484,19.685
Salto A,0827-BK1-01-121,24.556,22.255,12.609,1.525,24.022,11.928,45.638,17.724
Salto C,0609-1-01-560,23.843,22.123,10.069,1.076,25.447,18.686,180.22,21.442
Voll- ein- Rudi- aus B,0115-MORITZ-03-12,22.382,20.481,17.886,12.817,30.252,298.138,329.002,300.354
Salto C,0609-1-01-504,23.795,22.173,10.347,1.313,25.423,18.278,186.241,21.628
Fliffis C,20191007-1150-FRANKFURT_2-01-173,21.444,19.73,25.63,4.664,28.576,59.69,391.252,155.11
40°,20191001-1148-FRANKFURT_1-01-164,24.771,21.467,7.428,1.62,26.437,22.668,238.892,29.783
Triffis B,0115-JANEIKE-01-88,22.699,20.83,23.294,9.691,29.897,156.347,435.627,174.482
Salto B,0827-BK2-01-71,24.309,22.544,12.135,1.551,26.077,19.702,209.221,25.664
Bauchsprung,0609-1-01-673,23.811,20.961,14.619,0.825,19.169,12.912,79.953,20.388
Salto A,20191008-1207-FRANKFURT_2-01-341,23.853,20.107,6.871,6.87,24.975,26.354,70.943,39.137
Salto A,0827-BK2-02-149,22.03,20.723,7.29,1.911,23.552,14.423,41.4,17.787
Fliffis B,0609-4-01-497,23.857,21.225,19.16,2.918,28.175,84.978,361.488,137.151
Voll- ein- halb- aus B,0115-MORITZ-03-118,19.956,18.193,16.729,11.965,29.02,247.596,385.504,278.321
Salto A,20190930-1247-FRANKFURT_2-01-244,25.341,22.11,5.363,1.425,26.954,18.358,42.829,17.397
Doppelsalto B,0110-MORITZ-01-96,25.058,22.256,23.144,2.187,25.503,34.869,262.936,35.945
Salto A,20191001-1202-FRANKFURT_2-01-30,23.821,19.923,9.967,2.415,22.909,20.222,70.896,31.63
Salto C,20190930-1247-FRANKFURT_2-01-175,24.504,21.356,10.045,2.534,25.853,22.561,150.173,24.958
43/,20191001-1148-FRANKFURT_1-01-76,23.365,20.729,11.255,4.412,25.368,116.0,239.613,281.653
Salto C,0827-BK2-02-32,24.123,22.211,11.87,1.209,25.48,20.1,193.126,23.894
Barani A,20191007-1534-FRANKFURT_2-01-94,21.164,20.137,5.745,3.472,24.556,76.203,183.829,110.307
Barani A,20191007-1159-FRANKFURT_1-01-366,24.163,21.982,7.474,1.925,26.341,56.123,191.907,137.254
Fliffis C,20190930-1616-FRANKFURT_1-01-165,23.346,21.367,17.816,5.119,28.298,63.837,368.201,104.64
3/4 Salto rw A,20191001-1202-FRANKFURT_2-01-62,24.394,20.775,16.603,2.796,18.661,16.288,72.238,39.838
Barani A,20191007-1524-FRANKFURT_1-01-55,24.761,22.55,5.072,4.896,26.177,65.459,191.269,86.39
Salto A,0827-BK2-02-139,22.806,20.775,8.559,1.087,24.051,15.912,51.515,21.588
Fliffis B,0110-MORITZ-01-126,23.682,21.885,18.912,3.474,28.462,98.878,367.839,107.38
Salto C,0115-MORITZ-03-143,26.958,24.22,12.816,2.16,26.721,14.731,174.313,15.483
Von Bauch in Stand,0609-1-01-696,23.402,23.739,17.635,1.34,15.568,17.808,65.871,21.174
Doppelsalto B,0609-1-01-516,24.445,21.075,18.644,1.594,28.283,49.675,278.779,34.312
Salto A,0827-BK2-01-106,24.988,23.101,8.989,1.63,26.058,10.528,55.234,11.447
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-93,23.786,17.683,20.379,10.073,29.955,219.452,453.774,396.734
Schraubensalto A,20191007-1150-FRANKFURT_2-01-85,19.85,17.187,7.802,3.606,22.818,101.775,160.276,182.421
Bauchsprung,0609-1-01-124,24.941,22.334,15.362,1.075,19.843,13.351,65.284,23.625
Barani A,20191007-1534-FRANKFURT_2-01-30,22.107,20.578,6.415,5.884,24.943,77.838,181.466,96.756
Salto A,20191008-1157-FRANKFURT_1-01-218,24.217,20.767,5.336,0.868,25.92,13.294,73.461,19.171
Fliffis B,0110-MORITZ-01-80,23.995,21.977,19.803,3.944,28.038,54.908,385.493,130.309
Salto A,20191008-1157-FRANKFURT_1-01-369,23.43,20.652,7.336,2.017,24.866,15.757,61.09,20.86
Barani A,20191007-1534-FRANKFURT_2-01-50,22.256,20.791,5.987,4.372,25.651,71.006,180.134,79.633
1/2 ein 1/2 aus C,0115-MORITZ-03-179,23.059,21.744,20.158,9.847,26.751,200.219,354.109,172.836
Fliffis B,0609-4-01-37,25.075,22.096,20.287,2.585,28.196,97.258,351.66,111.39
Salto B,20190930-1616-FRANKFURT_1-01-12,23.267,20.854,11.404,0.939,25.178,10.967,183.672,17.949
Barani C,0609-4-01-590,23.058,21.037,12.786,1.518,23.918,19.801,217.395,89.303
Salto C,20191007-1159-FRANKFURT_1-01-36,23.951,21.692,7.83,1.296,26.595,35.541,213.221,35.518
Doppelsalto B,20191007-1524-FRANKFURT_1-01-265,24.491,20.407,18.68,4.232,31.23,46.941,264.984,41.843
Salto C,0609-4-01-285,25.678,22.039,16.884,1.443,22.696,10.533,135.939,12.053
Fliffis Rudi C,20191008-1207-FRANKFURT_2-01-336,22.548,19.475,20.075,11.238,30.321,180.567,397.061,341.907
Doppelsalto C,0609-1-01-793,22.517,20.381,23.609,1.472,26.622,24.219,286.638,29.45
Rudi,20190930-1247-FRANKFURT_2-01-198,22.814,21.212,8.132,4.242,25.142,164.665,208.089,212.369
Salto C,20190930-1616-FRANKFURT_1-01-216,24.622,22.567,8.813,2.529,24.952,10.865,77.777,21.592
Salto C,0609-1-01-572,23.883,21.937,9.689,1.319,25.5,16.951,176.917,23.875
Schraubensalto,20190930-1247-FRANKFURT_2-01-196,24.088,21.602,5.933,2.843,25.583,90.559,149.381,138.554
Baby- Fliffis C,20191001-1202-FRANKFURT_2-01-97,26.391,22.542,18.128,4.091,23.236,56.076,263.827,94.384
Salto C,0609-4-01-345,25.82,22.524,15.239,1.41,24.131,16.031,134.406,19.836
Doppelsalto B,0115-MORITZ-03-147,25.667,22.335,22.392,2.495,27.688,21.499,269.563,27.346
Voll- ein- voll- aus B,0110-MORITZ-01-34,21.484,17.948,19.536,9.713,27.136,229.121,353.005,292.506
Fliffis B,0609-4-01-480,23.542,20.988,19.924,3.394,27.245,76.339,368.811,128.902
Baby- Fliffis C,20191008-1157-FRANKFURT_1-01-282,25.253,22.531,16.349,3.177,21.895,49.91,290.423,125.538
Fliffis- Rudi B,0115-CHARI-05-101,20.645,18.797,17.669,6.526,27.798,211.212,382.988,320.006
Doppelsalto C,0609-1-01-107,23.298,21.012,22.721,2.684,26.376,28.724,276.821,24.87
Fliffis C,20191008-1207-FRANKFURT_2-01-309,23.005,20.107,21.047,7.559,28.197,104.733,401.291,157.142
Salto C,0609-4-01-476,25.523,21.995,16.408,1.747,22.85,14.118,151.617,19.556
Barani A,20191007-1159-FRANKFURT_1-01-249,23.515,21.337,7.006,2.484,25.886,65.801,208.758,124.164
Schraubensalto A,20191008-1207-FRANKFURT_2-01-92,24.584,21.098,6.504,4.499,26.105,81.703,186.287,146.099
Doppelsalto C,0609-1-01-828,23.417,21.362,22.726,2.24,26.794,40.934,283.354,30.154
Salto C,0115-MORITZ-03-162,26.555,24.058,13.808,2.41,25.665,15.695,157.962,15.285
Doppelsalto B,0609-1-01-202,21.516,18.677,19.994,2.016,26.062,36.748,281.503,29.445
Bauchsprung,0609-1-01-733,23.612,20.857,15.452,1.547,18.444,11.131,74.529,17.019
Salto B,0115-CHARI-05-50,24.355,22.495,10.004,1.218,26.897,12.443,186.705,21.331
Barani A,20191007-1524-FRANKFURT_1-01-57,24.491,22.389,6.081,5.291,25.966,67.89,179.719,83.54
Salto B,0827-BK2-01-83,24.264,22.439,12.906,1.782,25.587,28.325,190.51,20.25
Salto A,20191007-1524-FRANKFURT_1-01-218,23.696,19.889,8.594,3.313,24.77,23.149,61.103,30.751
Fliffis B,20191007-1524-FRANKFURT_1-01-95,25.071,18.512,18.985,6.09,28.178,80.369,445.529,161.078
Barani A,20190930-1616-FRANKFURT_1-01-325,24.433,22.187,7.184,3.605,26.223,72.327,147.974,58.891
Doppelsalto C,0609-1-01-803,21.874,19.451,21.214,1.502,27.569,19.779,273.316,24.267
Salto B,0827-BK2-02-79,23.207,21.215,10.846,0.892,25.091,22.972,171.727,25.523
Fliffis C,20191007-1150-FRANKFURT_2-01-224,21.971,20.265,25.18,5.369,28.078,78.834,391.989,159.66
Barani C,0609-4-01-548,22.788,20.93,13.26,2.261,23.614,32.319,209.173,94.29
Salto A,20191008-1207-FRANKFURT_2-01-24,24.536,21.662,5.611,2.826,25.745,19.308,86.062,16.91
