Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp
8.846,25.347,189.934,21.079,25.652,190.205,21.305,20191007-1150-FRANKFURT_2-01-225,Salto A
8.493,21.506,183.022,23.599,20.994,181.949,24.147,20191007-1150-FRANKFURT_2-01-225,Salto A
9.555,18.643,161.295,18.936,18.944,165.068,15.406,20191007-1150-FRANKFURT_2-01-225,Salto A
10.237,15.629,192.762,-11.94,15.653,190.851,-8.123,20191007-1150-FRANKFURT_2-01-225,Salto A
9.509,10.492,209.677,-3.014,12.103,209.444,-1.592,20191007-1150-FRANKFURT_2-01-225,Salto A
6.232,26.43,220.871,16.492,27.194,225.617,12.541,20191007-1150-FRANKFURT_2-01-225,Salto A
10.317,62.463,277.415,-4.871,58.419,283.022,4.984,20191007-1150-FRANKFURT_2-01-225,Salto A
54.217,73.005,300.294,64.502,70.241,268.302,51.184,20191007-1150-FRANKFURT_2-01-225,Salto A
74.245,13.14,153.135,-20.193,13.663,145.311,-16.254,20191008-1207-FRANKFURT_2-01-240,Salto B
15.479,2.916,83.628,-23.685,3.488,81.408,-16.916,20191008-1207-FRANKFURT_2-01-240,Salto B
3.958,6.519,-6.692,27.758,4.697,-16.763,20.559,20191008-1207-FRANKFURT_2-01-240,Salto B
9.834,-1.331,-217.335,18.233,-1.719,-192.193,18.594,20191008-1207-FRANKFURT_2-01-240,Salto B
11.478,-22.659,-103.408,18.233,-16.574,-96.931,11.346,20191008-1207-FRANKFURT_2-01-240,Salto B
8.013,20.386,137.707,-32.738,14.145,130.47,-22.469,20191008-1207-FRANKFURT_2-01-240,Salto B
15.694,-1.329,323.501,-2.22,3.131,333.35,-4.333,20191008-1207-FRANKFURT_2-01-240,Salto B
26.882,34.463,629.702,5.098,37.599,612.633,3.661,20191008-1207-FRANKFURT_2-01-240,Salto B
38.81,98.078,687.371,-1.593,94.422,686.387,0.408,20191008-1207-FRANKFURT_2-01-240,Salto B
35.105,95.518,649.333,-37.432,93.643,638.386,-31.272,20191008-1207-FRANKFURT_2-01-240,Salto B
11.92,68.153,365.295,-13.059,66.087,363.83,-23.355,20191008-1207-FRANKFURT_2-01-240,Salto B
3.43,27.729,139.329,-24.026,30.346,151.573,-21.537,20191008-1207-FRANKFURT_2-01-240,Salto B
4.677,23.164,110.983,-20.873,21.956,107.834,-20.895,20191008-1207-FRANKFURT_2-01-240,Salto B
4.013,11.857,74.79,-24.155,13.066,74.903,-24.313,20191008-1207-FRANKFURT_2-01-240,Salto B
4.625,13.805,32.778,-27.873,12.515,36.996,-28.708,20191008-1207-FRANKFURT_2-01-240,Salto B
4.737,1.705,42.51,-46.596,1.271,43.408,-44.964,20191008-1207-FRANKFURT_2-01-240,Salto B
4.823,-20.397,73.7,-40.763,-18.629,79.931,-37.455,20191008-1207-FRANKFURT_2-01-240,Salto B
2.191,-21.054,209.61,15.568,-22.108,210.761,12.545,20191008-1207-FRANKFURT_2-01-240,Salto B
15.034,-25.786,366.114,19.218,-23.626,345.937,13.389,20191008-1207-FRANKFURT_2-01-240,Salto B
86.446,27.399,171.647,10.915,23.465,155.997,14.206,20191008-1207-FRANKFURT_2-01-240,Salto B
72.534,20.135,168.706,43.823,20.647,172.537,38.098,20190930-1247-FRANKFURT_2-01-47,Salto C
18.844,11.964,126.726,16.189,6.556,119.741,21.98,20190930-1247-FRANKFURT_2-01-47,Salto C
9.677,-28.918,12.218,2.372,-22.926,18.009,4.517,20190930-1247-FRANKFURT_2-01-47,Salto C
7.624,-13.047,43.473,13.077,-14.08,39.797,5.127,20190930-1247-FRANKFURT_2-01-47,Salto C
9.446,-33.921,73.125,1.754,-32.49,88.633,3.604,20190930-1247-FRANKFURT_2-01-47,Salto C
11.232,-21.26,252.496,10.225,-21.9,247.891,9.039,20190930-1247-FRANKFURT_2-01-47,Salto C
13.608,-13.035,364.49,-1.534,-13.368,364.112,1.425,20190930-1247-FRANKFURT_2-01-47,Salto C
17.38,-6.987,463.293,26.157,-6.08,453.319,22.111,20190930-1247-FRANKFURT_2-01-47,Salto C
16.34,10.158,439.107,13.168,9.012,437.725,14.894,20190930-1247-FRANKFURT_2-01-47,Salto C
13.972,10.345,372.54,2.6,10.416,375.155,2.732,20190930-1247-FRANKFURT_2-01-47,Salto C
11.357,6.017,335.035,-11.781,5.533,328.061,-11.734,20190930-1247-FRANKFURT_2-01-47,Salto C
5.773,-5.595,229.052,-16.785,-6.206,233.327,-15.605,20190930-1247-FRANKFURT_2-01-47,Salto C
5.375,-19.533,166.846,-5.788,-17.257,171.419,-5.806,20190930-1247-FRANKFURT_2-01-47,Salto C
4.944,-8.281,163.448,3.1,-9.462,162.375,2.977,20190930-1247-FRANKFURT_2-01-47,Salto C
5.137,-10.89,148.91,6.719,-10.92,150.491,5.996,20190930-1247-FRANKFURT_2-01-47,Salto C
5.316,-13.499,156.3,2.134,-12.702,157.353,3.358,20190930-1247-FRANKFURT_2-01-47,Salto C
4.804,-5.558,189.292,12.703,-4.53,190.35,12.812,20190930-1247-FRANKFURT_2-01-47,Salto C
4.389,18.058,218.319,7.148,16.355,211.049,7.711,20190930-1247-FRANKFURT_2-01-47,Salto C
4.767,27.941,160.877,24.395,24.658,162.243,13.757,20190930-1247-FRANKFURT_2-01-47,Salto C
47.668,-17.476,106.058,-43.172,-11.337,101.128,-32.209,20190930-1247-FRANKFURT_2-01-47,Salto C
76.344,34.94,245.729,-15.435,40.655,252.461,-15.178,20191007-1150-FRANKFURT_2-01-86,Salto A
35.461,40.345,285.579,2.994,38.818,276.429,2.017,20191007-1150-FRANKFURT_2-01-86,Salto A
8.602,30.914,234.593,-6.9,31.81,240.497,-4.208,20191007-1150-FRANKFURT_2-01-86,Salto A
5.974,23.444,205.594,-30.535,21.481,198.605,-29.146,20191007-1150-FRANKFURT_2-01-86,Salto A
4.285,10.59,98.839,-35.931,9.782,104.682,-36.512,20191007-1150-FRANKFURT_2-01-86,Salto A
7.702,-1.083,46.266,-27.785,-2.413,58.96,-28.789,20191007-1150-FRANKFURT_2-01-86,Salto A
8.671,-28.428,170.7,-4.297,-22.899,162.217,-4.27,20191007-1150-FRANKFURT_2-01-86,Salto A
9.411,3.911,234.159,10.202,1.364,231.546,6.333,20191007-1150-FRANKFURT_2-01-86,Salto A
9.01,4.531,250.347,-15.855,6.485,249.784,-14.363,20191007-1150-FRANKFURT_2-01-86,Salto A
