SprungID,Sprungtyp,avg_Acc_N_Fil,avg_Gyro_x_R,avg_Gyro_y_R,avg_Gyro_z_R,avg_Gyro_x_Fil,avg_Gyro_y_Fil,avg_Gyro_z_Fil
0827-BK2-01-59,Salto B,16.29,0.2,169.355,-20.273,0.341,168.966,-20.327
20191007-1150-FRANKFURT_2-01-110,Salto A,16.801,13.12,217.687,-5.545,13.212,217.638,-5.15
0115-MORITZ-03-191,Fliffis aus C,32.064,23.932,-162.134,-91.028,24.036,-161.403,-91.021
20191008-1157-FRANKFURT_1-01-202,Rudi,20.536,41.524,9.773,337.004,41.058,10.386,336.75
0609-1-01-719,Bauchsprung,12.076,0.366,-21.611,-3.482,0.546,-21.819,-3.168
20190930-1616-FRANKFURT_1-01-311,Barani A,14.96,-85.407,16.547,92.075,-85.359,17.216,92.544
0827-BK2-01-19,Salto C,16.171,9.483,166.359,-7.686,9.537,166.046,-7.901
20190930-1616-FRANKFURT_1-01-325,Barani A,15.743,-88.703,19.415,89.215,-88.886,19.903,89.29
20191007-1150-FRANKFURT_2-01-222,Fliffis B,35.765,-20.539,-231.975,129.577,-20.603,-231.472,129.913
0609-4-01-22,Fliffis B,28.358,-60.032,-85.894,118.554,-60.017,-85.867,118.443
0609-1-01-28,Strecksprung,10.366,-1.262,-1.137,1.385,-1.233,-1.144,1.357
0110-JANEIKE-01-125,Strecksprung,10.628,-1.597,-32.493,-17.91,-1.542,-32.64,-17.878
0609-1-01-803,Bauchsprung,11.842,-3.027,-22.51,-4.848,-2.881,-22.492,-4.671
0115-JANEIKE-01-130,Salto B,15.628,17.148,174.384,-16.454,16.866,173.706,-16.723
0609-4-01-387,Salto C,15.338,-0.17,178.056,7.817,-0.157,177.545,7.845
20191007-1524-FRANKFURT_1-01-111,Fliffis- Rudi C,42.921,92.056,-191.378,357.038,91.964,-193.106,354.621
0609-1-01-581,Doppelsalto B,27.843,6.093,389.329,-5.184,5.918,388.734,-5.004
20191001-1202-FRANKFURT_2-01-64,Salto B,17.863,-20.501,-210.898,-8.781,-20.832,-209.356,-8.202
0110-JANEIKE-01-166,Schraubensalto,13.405,-24.681,45.398,-239.948,-24.733,44.746,-239.643
0115-MORITZ-03-21,Strecksprung,11.193,-1.647,-0.469,4.237,-1.537,-0.447,4.373
20191001-1202-FRANKFURT_2-01-156,Salto A,15.558,-23.808,-209.726,-9.854,-23.353,-209.956,-9.859
0609-1-01-182,Doppelsalto C,30.09,32.46,392.207,-7.709,32.445,391.742,-7.538
20191008-1157-FRANKFURT_1-01-281,3/4 Salto vw A,10.66,-2.097,-164.318,10.405,-2.25,-163.307,10.291
20190930-1153-FRANKFURT_1-01-221,Rudi,20.754,1.262,-19.937,310.642,1.16,-19.624,310.324
20191007-1159-FRANKFURT_1-01-385,Barani C,15.925,-17.097,-9.49,107.138,-16.887,-9.397,107.408
20190930-1616-FRANKFURT_1-01-37,Strecksprung,10.272,-1.074,-1.052,2.714,-1.21,-1.197,2.687
20191007-1150-FRANKFURT_2-01-96,Barani A,16.904,-60.349,41.627,116.304,-60.669,42.479,115.976
20191001-1148-FRANKFURT_1-01-210,Strecksprung,11.863,5.592,-1.337,2.946,5.727,-1.0,3.131
0115-JANEIKE-01-19,Fliffis- Rudi B,36.734,-80.625,-169.91,-308.055,-80.625,-170.047,-308.572
