SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-mean_ACC_N,0-std_ACC_N,0-mean_ACC_N_ROT_filtered,0-std_ACC_N_ROT_filtered,0-mean_Acc_x_Fil,0-std_Acc_x_Fil,0-mean_Acc_y_Fil,0-std_Acc_y_Fil,0-mean_Acc_z_Fil,0-std_Acc_z_Fil,0-mean_Gyro_x_Fil,0-std_Gyro_x_Fil,0-mean_Gyro_y_Fil,0-std_Gyro_y_Fil,0-mean_Gyro_z_Fil,0-std_Gyro_z_Fil,10-mean_ACC_N,10-std_ACC_N,10-mean_ACC_N_ROT_filtered,10-std_ACC_N_ROT_filtered,10-mean_Acc_x_Fil,10-std_Acc_x_Fil,10-mean_Acc_y_Fil,10-std_Acc_y_Fil,10-mean_Acc_z_Fil,10-std_Acc_z_Fil,10-mean_Gyro_x_Fil,10-std_Gyro_x_Fil,10-mean_Gyro_y_Fil,10-std_Gyro_y_Fil,10-mean_Gyro_z_Fil,10-std_Gyro_z_Fil,20-mean_ACC_N,20-std_ACC_N,20-mean_ACC_N_ROT_filtered,20-std_ACC_N_ROT_filtered,20-mean_Acc_x_Fil,20-std_Acc_x_Fil,20-mean_Acc_y_Fil,20-std_Acc_y_Fil,20-mean_Acc_z_Fil,20-std_Acc_z_Fil,20-mean_Gyro_x_Fil,20-std_Gyro_x_Fil,20-mean_Gyro_y_Fil,20-std_Gyro_y_Fil,20-mean_Gyro_z_Fil,20-std_Gyro_z_Fil,30-mean_ACC_N,30-std_ACC_N,30-mean_ACC_N_ROT_filtered,30-std_ACC_N_ROT_filtered,30-mean_Acc_x_Fil,30-std_Acc_x_Fil,30-mean_Acc_y_Fil,30-std_Acc_y_Fil,30-mean_Acc_z_Fil,30-std_Acc_z_Fil,30-mean_Gyro_x_Fil,30-std_Gyro_x_Fil,30-mean_Gyro_y_Fil,30-std_Gyro_y_Fil,30-mean_Gyro_z_Fil,30-std_Gyro_z_Fil,40-mean_ACC_N,40-std_ACC_N,40-mean_ACC_N_ROT_filtered,40-std_ACC_N_ROT_filtered,40-mean_Acc_x_Fil,40-std_Acc_x_Fil,40-mean_Acc_y_Fil,40-std_Acc_y_Fil,40-mean_Acc_z_Fil,40-std_Acc_z_Fil,40-mean_Gyro_x_Fil,40-std_Gyro_x_Fil,40-mean_Gyro_y_Fil,40-std_Gyro_y_Fil,40-mean_Gyro_z_Fil,40-std_Gyro_z_Fil,50-mean_ACC_N,50-std_ACC_N,50-mean_ACC_N_ROT_filtered,50-std_ACC_N_ROT_filtered,50-mean_Acc_x_Fil,50-std_Acc_x_Fil,50-mean_Acc_y_Fil,50-std_Acc_y_Fil,50-mean_Acc_z_Fil,50-std_Acc_z_Fil,50-mean_Gyro_x_Fil,50-std_Gyro_x_Fil,50-mean_Gyro_y_Fil,50-std_Gyro_y_Fil,50-mean_Gyro_z_Fil,50-std_Gyro_z_Fil,60-mean_ACC_N,60-std_ACC_N,60-mean_ACC_N_ROT_filtered,60-std_ACC_N_ROT_filtered,60-mean_Acc_x_Fil,60-std_Acc_x_Fil,60-mean_Acc_y_Fil,60-std_Acc_y_Fil,60-mean_Acc_z_Fil,60-std_Acc_z_Fil,60-mean_Gyro_x_Fil,60-std_Gyro_x_Fil,60-mean_Gyro_y_Fil,60-std_Gyro_y_Fil,60-mean_Gyro_z_Fil,60-std_Gyro_z_Fil,70-mean_ACC_N,70-std_ACC_N,70-mean_ACC_N_ROT_filtered,70-std_ACC_N_ROT_filtered,70-mean_Acc_x_Fil,70-std_Acc_x_Fil,70-mean_Acc_y_Fil,70-std_Acc_y_Fil,70-mean_Acc_z_Fil,70-std_Acc_z_Fil,70-mean_Gyro_x_Fil,70-std_Gyro_x_Fil,70-mean_Gyro_y_Fil,70-std_Gyro_y_Fil,70-mean_Gyro_z_Fil,70-std_Gyro_z_Fil,80-mean_ACC_N,80-std_ACC_N,80-mean_ACC_N_ROT_filtered,80-std_ACC_N_ROT_filtered,80-mean_Acc_x_Fil,80-std_Acc_x_Fil,80-mean_Acc_y_Fil,80-std_Acc_y_Fil,80-mean_Acc_z_Fil,80-std_Acc_z_Fil,80-mean_Gyro_x_Fil,80-std_Gyro_x_Fil,80-mean_Gyro_y_Fil,80-std_Gyro_y_Fil,80-mean_Gyro_z_Fil,80-std_Gyro_z_Fil,90-mean_ACC_N,90-std_ACC_N,90-mean_ACC_N_ROT_filtered,90-std_ACC_N_ROT_filtered,90-mean_Acc_x_Fil,90-std_Acc_x_Fil,90-mean_Acc_y_Fil,90-std_Acc_y_Fil,90-mean_Acc_z_Fil,90-std_Acc_z_Fil,90-mean_Gyro_x_Fil,90-std_Gyro_x_Fil,90-mean_Gyro_y_Fil,90-std_Gyro_y_Fil,90-mean_Gyro_z_Fil,90-std_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,31.946,103.514,393.15,167.137,266.558,399.226,51.526,36.43,73.185,19.413,4.832,9.278,0.321,2.279,48.721,33.795,20.792,7.579,222.182,16.198,74.007,44.633,5.502,1.678,9.552,6.411,-1.258,0.827,1.367,2.28,-2.916,1.024,83.266,14.649,129.489,20.099,190.73,22.919,3.762,0.877,4.128,0.189,-3.034,0.539,0.114,0.211,-1.732,0.996,155.971,20.442,75.79,35.171,238.96,4.376,6.21,1.325,5.028,1.054,-5.572,0.986,-1.29,1.624,-1.109,0.618,152.424,13.345,-103.042,61.359,297.202,25.264,9.7,0.97,8.708,1.051,-7.042,0.198,-2.652,0.772,-5.867,1.722,35.804,51.265,-216.777,8.275,321.705,6.537,11.935,0.647,11.478,0.575,-5.745,0.929,-1.932,0.535,-10.043,0.412,-126.091,40.172,-102.13,49.519,370.711,14.236,9.929,1.593,10.973,0.68,-3.815,0.407,-3.198,0.385,-8.494,1.408,-158.201,24.343,56.778,37.227,281.491,34.236,6.711,0.565,7.407,0.778,-3.062,0.39,-1.394,1.0,-5.69,0.173,-57.162,21.098,109.273,1.347,195.893,25.735,8.664,1.27,7.591,1.045,-5.381,1.727,-1.008,1.554,-5.475,1.805,19.623,11.806,145.617,32.387,106.385,26.741,49.071,39.657,23.071,18.107,14.459,14.931,-2.342,1.046,44.671,34.7,37.387,8.859,210.776,48.648,5.619,25.066
20191003-1152-FRANKFURT_1-01-15,Cody C,-35.74,384.956,-7.946,46.235,447.559,33.782,68.128,42.296,89.817,18.199,50.395,31.121,2.716,3.732,32.464,33.372,4.338,11.404,-105.061,11.752,20.357,22.573,20.99,6.952,27.317,7.534,-7.387,2.688,0.38,0.802,-14.538,1.731,3.562,9.213,-44.807,75.566,23.422,18.523,29.778,10.512,21.544,5.843,-20.47,10.687,-0.943,1.088,-19.874,3.385,-0.047,10.814,513.019,197.719,-5.691,8.801,35.357,9.392,39.25,2.233,-31.756,7.616,-1.637,1.235,-13.474,3.744,-31.263,16.242,627.887,69.329,-13.089,15.966,8.865,2.125,16.647,8.024,-7.14,3.264,-1.692,0.674,-4.262,1.397,-48.773,8.31,355.923,79.496,-4.388,1.927,7.795,0.483,7.736,0.174,-2.511,0.175,-0.364,0.298,-7.259,0.179,-16.151,5.529,220.107,13.487,8.543,2.352,7.097,0.906,7.325,0.291,-3.066,0.213,-1.325,0.344,-6.09,0.485,-13.933,1.517,182.965,11.089,-8.917,12.421,7.421,1.778,6.793,0.484,-3.878,0.698,-1.14,0.709,-6.263,1.193,-5.087,7.303,142.073,10.466,-13.843,3.23,7.464,2.174,8.66,0.754,-5.231,2.018,-2.199,0.401,-2.506,3.182,-50.123,11.466,176.108,21.055,-0.53,8.251,40.874,32.483,17.26,14.429,11.685,7.162,0.303,1.874,38.481,27.901,-57.502,18.149,213.257,66.953,-15.92,12.81
20191008-1157-FRANKFURT_1-01-245,Baby- Fliffis C,80.294,-176.107,215.957,89.344,431.055,261.177,70.804,39.063,83.726,9.465,-40.754,31.153,1.578,3.757,19.449,16.536,-2.994,12.001,-108.114,114.986,-10.143,13.173,15.861,2.249,30.254,14.715,-14.675,2.133,-2.019,1.155,-2.023,3.234,42.488,15.612,-352.565,93.473,-0.879,9.893,26.388,1.843,22.489,3.495,-23.312,1.249,-4.822,0.641,-10.552,1.885,85.797,5.1,-563.904,27.246,44.074,21.551,25.872,3.025,27.349,0.646,-21.627,4.482,-2.883,1.728,-11.973,1.169,57.605,20.097,-533.55,63.503,134.366,43.084,12.18,2.497,16.879,4.357,-8.067,0.914,1.936,1.202,-7.966,2.441,3.934,13.563,-194.138,88.55,337.245,49.008,10.258,0.868,10.729,0.508,-6.542,0.254,1.728,2.072,-6.883,0.708,33.457,8.582,-42.197,7.828,363.566,12.301,8.025,1.11,9.105,0.765,-5.478,0.321,-2.317,0.722,-5.252,1.05,54.969,8.127,10.318,32.699,292.458,32.11,5.79,1.314,6.75,0.66,-4.35,0.861,-1.891,1.144,-2.226,0.615,57.611,9.002,128.298,28.641,157.642,36.243,5.0,1.801,4.497,0.477,-1.568,0.411,-1.024,1.262,-3.913,0.91,101.769,15.177,306.735,73.228,83.632,26.171,44.239,35.961,17.966,14.917,12.894,12.695,-3.827,2.187,38.126,32.043,55.568,43.666,277.913,116.371,-76.547,51.186
20190930-1616-FRANKFURT_1-01-328,Salto C,-28.7,355.907,-9.983,38.377,383.388,53.741,56.103,35.919,75.682,16.446,11.046,6.648,5.638,3.804,53.162,32.406,-12.478,4.339,141.61,53.163,22.701,12.498,12.18,3.934,16.231,6.321,-7.477,3.378,-1.128,1.455,-6.376,2.054,-15.935,2.018,-60.727,18.596,0.363,14.712,9.662,2.665,9.515,0.974,-4.403,2.503,-0.728,0.269,-8.809,1.238,-10.218,9.39,180.601,153.241,-29.325,3.363,21.487,2.585,17.265,3.705,-16.244,3.368,-1.785,0.497,-14.035,1.34,-44.563,3.897,576.718,50.447,-6.172,18.155,40.68,16.629,35.689,8.495,-18.659,10.536,-0.903,1.302,-8.736,16.295,-26.875,15.683,474.592,161.384,-19.671,58.584,9.984,6.878,21.485,12.185,-1.496,3.916,-0.39,0.681,-1.735,3.458,-9.335,5.018,132.748,41.857,4.571,26.754,4.419,0.541,4.74,0.461,-0.886,0.431,-1.086,0.24,-4.085,0.305,-14.501,2.329,118.214,3.445,4.465,4.373,4.319,0.38,4.249,0.085,-1.927,0.507,-1.028,0.15,-3.717,0.197,-14.521,1.484,111.932,3.858,-0.118,2.795,5.106,1.102,5.158,0.431,-4.038,0.973,-0.635,0.366,-1.82,1.758,-17.401,2.738,119.698,9.549,1.269,12.934,42.148,38.137,16.45,15.939,12.212,10.061,2.36,3.329,40.233,31.851,6.62,18.216,147.775,38.954,-5.421,22.933
20190930-1616-FRANKFURT_1-01-183,Barani A,-156.201,0.838,180.59,164.628,230.057,187.582,52.595,38.735,77.151,21.682,16.715,16.733,4.639,2.28,41.99,37.388,-26.232,36.24,-136.449,100.25,87.129,22.988,8.795,5.426,14.031,5.617,-2.199,2.63,-0.565,1.177,-3.912,0.965,-59.16,11.764,-141.496,29.328,50.131,18.226,6.661,0.806,6.063,0.274,-4.292,0.677,1.301,0.716,-4.516,1.235,-84.444,18.474,-125.693,7.555,78.974,26.765,8.28,0.438,7.854,0.468,-1.817,0.391,1.692,0.579,-7.779,0.348,-125.75,12.669,-132.557,9.235,120.953,16.288,8.719,0.617,8.518,0.119,-0.81,0.305,0.314,0.182,-8.664,0.357,-187.936,15.089,-76.238,28.155,169.155,9.009,9.423,0.44,9.347,0.19,-1.13,0.273,-1.317,0.44,-9.147,0.325,-196.396,11.887,40.442,34.899,182.376,4.588,8.011,0.36,8.533,0.421,-2.019,0.284,-1.997,0.058,-7.491,0.483,-125.914,25.363,125.461,14.431,159.05,11.555,7.17,0.37,7.288,0.254,-3.19,0.628,-1.915,0.044,-6.115,0.226,-45.509,18.415,136.315,5.239,110.006,15.942,7.238,0.628,7.419,0.15,-5.028,0.625,-1.833,0.622,-3.282,2.861,-16.404,1.837,166.616,12.487,51.328,14.422,46.701,28.5,23.871,16.765,12.075,9.604,1.769,2.48,43.531,24.783,9.49,14.051,150.141,41.742,13.363,18.965
0609-1-01-77,Salto C,30.978,353.769,-20.338,45.324,380.896,43.943,52.135,36.113,74.831,20.129,10.667,10.808,-0.923,1.687,49.152,32.429,14.68,7.892,137.812,51.718,-7.282,14.114,11.561,3.238,12.944,5.469,-5.459,1.955,-0.122,1.251,-6.824,3.692,4.252,15.79,-48.552,48.635,-21.613,11.39,15.533,4.647,12.97,1.661,-4.274,5.686,0.166,0.704,-13.448,2.59,-5.488,6.324,457.199,175.932,-32.758,29.414,23.183,6.495,23.572,2.747,-17.915,4.763,1.116,0.883,-11.858,4.272,34.329,11.521,495.243,59.312,20.93,10.098,5.038,3.382,9.588,5.392,-2.551,2.13,-0.14,0.526,-0.711,1.866,49.244,11.899,239.131,63.88,-20.677,9.028,4.012,1.061,3.04,0.386,-0.43,0.445,-0.776,0.471,-2.763,0.441,22.635,8.613,147.633,10.291,-14.613,9.303,3.666,0.63,3.152,0.208,-0.084,0.444,-0.068,0.307,-2.943,0.29,15.458,3.676,125.665,3.389,-15.393,7.944,4.984,0.915,3.844,0.459,-0.404,0.808,-0.782,0.415,-4.033,0.498,16.095,5.575,117.132,6.407,-5.332,7.829,5.93,1.818,4.903,0.45,-4.37,1.576,-0.28,0.506,-0.985,1.911,-16.866,6.196,57.359,26.229,-4.593,12.618,47.417,39.385,21.689,18.491,17.752,13.327,-0.294,1.996,42.996,34.651,23.549,27.287,107.066,37.737,-3.333,16.744
20191007-1159-FRANKFURT_1-01-323,Barani A,-72.612,94.728,172.263,90.78,309.542,189.924,56.623,36.168,78.107,15.177,11.301,12.084,-0.894,3.475,50.795,33.872,38.141,24.343,-237.416,74.155,13.033,30.417,8.156,2.031,15.188,9.399,-6.52,1.141,0.243,0.997,-3.648,0.856,5.616,16.27,-163.435,87.705,117.603,15.098,7.737,0.718,7.992,0.347,-3.846,0.758,1.065,0.425,-6.519,0.744,-53.076,18.262,-124.487,19.78,124.618,19.565,9.946,0.871,8.992,0.805,-2.995,0.541,0.521,0.626,-9.282,0.679,-132.49,15.842,-110.432,33.316,234.84,39.418,10.441,0.874,10.231,0.111,-3.451,0.509,-2.532,1.72,-8.966,0.503,-122.008,8.766,70.496,65.966,328.619,17.127,8.847,0.809,9.626,0.634,-3.311,0.169,-4.447,0.763,-6.849,0.221,-97.605,19.773,187.164,6.165,202.202,36.318,7.645,0.9,7.953,0.502,-3.043,0.373,-2.968,0.752,-6.284,0.56,-30.932,12.793,167.593,10.292,63.434,46.526,9.379,0.758,8.634,0.613,-6.543,1.455,-1.054,0.313,-6.157,1.011,-12.999,4.881,188.325,23.765,-10.428,13.707,8.006,1.349,9.071,0.649,-7.212,1.661,-1.016,0.158,0.132,2.222,-14.259,4.169,299.359,38.697,-13.357,6.142,45.738,37.915,18.59,15.639,6.319,4.283,-0.423,1.081,44.912,32.984,-23.133,18.101,293.397,88.226,3.832,9.847
20191007-1159-FRANKFURT_1-01-324,Salto A,-12.238,345.094,-23.722,25.687,345.695,37.481,47.856,34.648,70.534,16.566,-1.93,3.982,-0.859,0.887,44.777,32.751,11.467,8.839,283.569,35.198,-34.495,14.852,7.382,7.28,13.283,6.708,1.853,2.175,-0.337,0.841,-2.808,2.298,3.005,13.173,218.329,37.377,-19.384,16.91,10.023,0.933,7.945,2.046,2.131,1.357,-0.751,0.395,-9.031,0.424,-27.011,2.11,176.636,18.882,-16.52,5.601,7.333,1.056,8.299,0.794,-1.378,0.326,-0.604,0.403,-7.157,0.646,-7.102,8.957,227.932,6.079,21.92,9.206,7.203,0.862,7.128,0.184,-1.339,0.382,-1.174,0.196,-6.985,0.319,-7.6,3.382,209.738,3.255,4.976,4.402,6.743,0.952,7.027,0.4,-2.011,0.116,-1.06,0.154,-6.313,0.44,-5.472,0.891,195.6,12.126,-0.791,3.106,7.655,0.661,7.049,0.411,-3.192,1.019,-0.579,0.5,-6.679,0.215,-3.061,1.059,150.398,8.408,-11.272,3.871,7.347,0.857,7.647,0.229,-5.876,0.428,-0.491,0.431,-4.108,1.0,3.973,5.739,154.579,14.742,8.836,7.007,4.499,1.533,5.985,0.923,-4.065,1.631,-0.642,0.523,-0.156,0.854,3.639,9.46,242.14,29.978,-28.274,12.875,46.273,39.664,17.27,17.168,10.714,6.915,-0.284,1.173,44.506,33.966,-48.971,18.712,181.53,116.783,-38.415,16.008
20191007-1524-FRANKFURT_1-01-141,Doppelsalto B,81.172,677.929,-63.548,83.798,702.567,77.866,53.059,41.289,75.209,17.302,3.12,5.812,8.904,6.837,49.508,36.166,46.173,9.516,278.976,70.136,-50.152,31.625,18.494,4.168,17.735,5.119,-2.833,4.67,-2.375,1.568,-14.162,5.851,3.925,3.465,20.48,34.255,-53.574,31.404,27.778,5.012,23.796,2.874,-22.87,6.64,1.588,1.245,-14.439,2.021,44.148,18.49,380.128,189.882,-41.243,30.816,40.054,3.814,36.091,3.313,-35.467,1.83,0.512,1.643,-17.917,2.837,40.704,16.901,687.132,10.131,-46.839,34.373,47.736,2.364,44.982,2.218,-40.71,1.465,1.629,0.935,-24.374,1.366,45.277,5.954,724.177,23.315,-34.377,12.604,45.927,2.616,47.955,1.201,-35.912,2.346,1.532,0.652,-27.729,2.503,94.962,17.395,746.827,47.199,-20.58,5.545,25.284,7.808,34.465,7.511,-20.37,6.763,0.991,1.338,-12.877,3.101,91.012,20.555,468.435,122.355,-27.595,16.62,9.601,2.035,13.138,3.872,-6.756,1.567,-0.112,0.53,-6.718,1.601,20.248,10.401,177.908,26.458,-35.005,4.88,10.505,2.385,10.992,0.42,-7.144,0.748,-0.547,0.269,-7.088,2.207,32.075,16.161,239.488,65.606,-23.725,6.757,46.699,43.198,18.807,15.102,12.322,19.839,3.29,2.996,40.283,35.037,71.526,7.514,300.466,172.735,-31.555,35.725
0827-BK2-01-73,Salto B,-20.924,338.241,-26.795,36.044,409.021,43.575,52.772,36.823,75.683,21.18,16.901,11.63,-2.637,2.365,48.355,32.935,9.091,10.421,110.131,43.487,6.513,9.278,12.254,4.28,12.779,5.01,-9.065,4.3,0.967,1.225,-2.007,3.911,5.408,16.39,-106.741,83.237,-24.645,14.45,11.177,4.424,11.298,2.307,1.635,6.163,0.795,1.61,-6.345,4.365,-5.245,12.295,54.948,193.632,-27.538,12.107,21.298,3.329,17.759,3.085,-14.256,5.549,0.2,1.052,-14.079,0.654,-1.985,8.591,586.016,53.257,-22.43,9.253,19.835,7.624,23.093,3.023,-15.791,4.289,0.003,0.464,-8.744,7.11,-28.592,8.357,447.154,101.855,-41.711,15.976,4.549,2.203,7.042,3.648,-2.783,2.212,0.357,0.095,-0.76,2.325,-20.354,10.829,150.971,47.922,-11.702,7.762,3.598,0.494,3.014,0.176,-1.371,0.136,0.538,0.255,-2.473,0.236,-9.795,1.847,94.404,11.755,-26.962,13.341,4.253,0.505,3.433,0.315,-1.88,0.26,0.573,0.366,-2.892,0.252,-16.979,3.545,78.171,5.25,-0.942,3.561,6.192,1.239,4.651,0.976,-4.076,1.253,0.111,0.566,-2.731,1.114,-27.77,5.621,110.299,16.837,4.603,12.124,45.46,41.822,19.693,19.255,16.195,14.86,-1.949,1.582,41.764,36.227,-8.571,15.394,189.415,74.636,9.367,11.207
20191007-1159-FRANKFURT_1-01-230,Barani A,-24.564,59.865,154.116,62.258,315.199,214.351,54.598,32.046,76.263,13.675,11.436,16.967,-6.249,5.566,45.472,30.248,-13.078,28.504,-223.464,109.61,-79.942,44.857,9.988,3.199,18.165,9.996,-7.426,0.908,1.787,1.981,-4.169,1.78,7.499,5.749,-223.955,82.45,62.037,17.455,8.892,2.034,9.469,0.576,-5.64,0.862,1.789,0.522,-6.328,0.804,-18.12,13.994,-143.277,18.783,134.377,26.663,9.989,2.117,9.09,0.684,-4.809,0.217,1.555,0.845,-8.377,1.062,-107.182,23.64,-169.764,20.992,237.834,37.728,10.794,0.979,10.951,0.258,-4.805,0.465,-0.427,0.799,-9.494,0.734,-79.661,43.291,-32.677,48.495,364.648,35.241,10.561,1.055,10.616,0.193,-5.69,0.83,-4.728,1.273,-6.996,0.868,45.562,14.592,117.944,39.566,298.389,83.239,8.586,0.122,9.234,0.674,-5.174,0.612,-2.911,1.154,-6.015,0.147,25.011,13.302,190.582,18.658,43.631,45.642,10.869,1.314,9.589,0.908,-8.551,1.552,-1.858,0.304,-5.967,0.8,-14.962,10.782,282.149,31.051,-15.518,8.87,9.942,1.655,11.042,0.478,-9.117,2.004,-0.613,0.281,0.285,2.687,11.187,20.748,338.414,26.502,-7.108,33.481,50.35,33.759,22.949,16.02,10.893,6.621,-1.021,1.262,48.289,29.468,-14.688,19.018,251.686,100.592,-57.191,24.275
20191007-1524-FRANKFURT_1-01-165,Fliffis- Rudi C,82.699,-325.825,575.869,248.889,691.448,642.567,65.978,36.188,81.566,15.491,-5.889,23.387,7.74,5.381,41.245,41.397,-124.3,89.112,-449.933,206.6,122.144,63.279,40.919,8.97,43.566,3.445,-35.464,8.126,2.397,2.613,-9.724,5.649,-80.699,34.506,-668.157,24.764,-9.442,46.732,53.493,9.88,49.886,4.549,-48.982,4.676,-1.12,0.966,-22.823,2.997,-45.959,9.951,-664.71,14.258,35.957,30.174,58.04,6.232,58.343,1.252,-45.272,6.347,6.625,1.451,-32.79,1.76,-86.723,41.407,-701.504,26.506,128.861,48.003,37.973,2.063,44.377,6.373,-25.068,2.155,13.298,2.073,-25.282,2.741,-106.331,81.701,-389.547,132.852,474.472,213.085,41.011,5.191,39.317,1.427,-38.757,3.751,4.587,5.053,-3.434,7.344,331.718,93.665,-2.12,158.758,998.514,68.153,44.276,7.259,42.769,1.018,-39.96,3.342,-10.908,3.726,2.474,10.604,406.135,85.558,-199.214,108.866,1016.918,21.024,34.469,12.498,42.634,5.13,-22.012,9.218,-16.79,8.208,-15.209,0.719,1.159,89.681,244.079,77.718,732.407,211.261,19.478,4.983,22.927,2.29,-15.81,4.902,-3.023,1.956,-7.886,2.592,94.843,39.076,352.963,53.751,215.802,122.275,56.162,49.607,27.339,15.44,2.53,13.582,4.556,6.161,40.446,42.479,133.239,20.788,422.429,119.284,-67.85,61.895
0609-4-01-126,Schraubensalto C,72.199,188.564,399.4,160.862,279.484,401.312,51.014,33.737,71.6,17.635,11.428,12.807,2.686,1.826,47.686,29.202,56.455,18.119,228.532,27.971,130.257,21.688,5.882,4.026,11.322,6.796,-1.708,0.695,1.439,0.93,-2.935,3.151,113.029,8.896,127.717,45.246,143.74,22.971,7.145,2.439,5.133,1.454,-6.186,2.664,1.764,1.098,0.402,2.181,234.634,58.865,32.555,39.428,291.665,76.544,16.368,1.795,13.514,2.748,-15.229,1.683,-3.405,1.272,0.2,3.454,194.446,83.367,-146.23,36.126,528.132,39.368,16.762,1.77,17.715,0.651,-11.92,2.458,-4.956,0.301,-10.097,1.431,-71.496,37.851,-82.478,56.652,456.595,51.313,9.984,2.301,12.402,2.072,-5.365,1.629,-4.804,1.106,-6.826,1.296,-66.591,10.771,118.009,46.886,274.515,47.512,7.016,0.74,7.371,0.48,-3.647,0.521,-1.009,0.389,-5.698,0.672,-64.464,9.74,182.473,11.999,156.42,19.976,6.909,0.857,6.696,0.318,-4.427,0.305,-1.332,0.25,-5.107,0.525,-22.171,9.296,154.549,6.761,85.4,17.555,7.875,1.35,7.806,0.469,-6.402,1.326,-0.866,0.595,-3.041,2.042,7.861,7.772,179.794,13.406,38.105,15.912,47.267,39.46,21.055,18.347,16.34,13.137,0.64,0.994,43.902,33.104,1.492,9.107,204.325,58.411,18.249,17.601
20190930-1153-FRANKFURT_1-01-106,Salto B,38.285,359.429,16.379,56.624,418.864,46.079,51.545,35.53,73.681,18.503,5.255,6.416,-1.206,2.121,49.881,32.208,-14.48,21.585,138.58,29.649,0.875,34.949,12.488,5.446,12.86,5.826,-9.248,5.016,-1.102,2.305,-2.437,3.805,6.246,11.786,-101.861,78.83,-4.631,13.273,16.086,5.05,15.059,1.31,2.916,8.646,0.271,1.122,-9.77,5.02,5.877,34.107,45.557,162.751,40.223,52.463,28.561,5.407,24.117,3.856,-18.301,5.796,2.02,0.937,-20.762,2.174,78.421,21.504,642.89,77.76,10.645,22.979,24.519,8.28,30.148,3.578,-19.768,4.78,1.769,1.021,-12.17,8.153,42.21,5.831,500.345,97.915,23.35,15.566,6.071,3.017,10.058,4.949,-2.538,3.891,-0.604,0.247,-1.658,2.94,19.48,3.482,187.41,49.346,15.006,8.638,4.613,0.604,4.485,0.175,-1.032,0.456,-0.505,0.5,-4.333,0.411,3.227,10.991,113.859,14.557,10.983,3.495,4.936,0.449,5.086,0.182,-3.256,0.325,-0.344,0.325,-3.389,0.818,8.718,2.751,87.462,2.9,14.145,6.25,3.427,0.742,3.929,0.32,-2.976,0.594,0.108,0.251,-0.848,0.812,24.465,6.957,114.22,21.276,13.53,3.195,42.394,36.778,17.061,17.134,10.758,6.793,-1.419,0.549,40.239,32.862,26.53,14.511,169.012,31.35,-9.233,9.099
0609-4-01-449,Salto C,-9.817,365.976,2.234,32.476,380.982,31.031,51.437,38.146,73.563,24.136,22.238,26.46,2.625,3.977,42.015,26.946,-7.707,9.095,232.307,91.359,5.642,10.695,11.077,3.143,12.637,3.156,-3.863,1.891,-0.8,0.978,-8.783,3.035,-32.737,10.365,3.151,64.617,11.053,12.395,11.637,3.326,10.859,0.883,-7.269,4.253,0.029,0.939,-7.49,2.763,-12.523,24.169,389.467,50.064,48.127,11.134,13.616,2.915,14.641,1.698,-11.085,3.327,-0.697,0.314,-3.587,4.53,25.651,5.352,340.656,59.096,6.933,12.043,6.096,2.845,8.143,2.163,-0.583,0.671,-0.545,0.303,-2.559,4.255,-0.012,5.2,152.696,20.746,-6.398,6.089,3.811,0.549,4.005,0.455,-1.551,0.092,-0.724,0.123,-3.42,0.38,4.684,1.989,153.967,6.822,-3.276,0.761,3.713,0.342,3.94,0.137,-1.905,0.222,-0.79,0.085,-3.063,0.402,3.584,1.894,138.552,5.296,-0.855,1.725,3.326,0.562,3.236,0.148,-1.781,0.162,-1.089,0.1,-2.591,0.397,-10.425,7.119,99.622,15.618,-8.544,5.238,6.695,2.559,5.474,1.646,-4.012,1.773,-0.389,0.715,-4.017,1.852,-16.051,5.23,84.287,21.242,-3.047,7.938,48.354,46.198,20.719,18.543,22.197,19.221,0.343,1.605,42.054,36.695,-2.716,11.537,210.184,88.377,-9.485,10.816
