SprungID,Sprungtyp,std_Acc_N_Fil,std_Gyro_x_R,std_Gyro_y_R,std_Gyro_z_R,std_Gyro_x_Fil,std_Gyro_y_Fil,std_Gyro_z_Fil
0609-1-01-212,Bauchsprung,26.453,16.925,74.901,32.026,13.03,65.73,22.145
0115-CHARI-05-189,Voll- ein 1 3/4 Salto vw C,22.954,234.817,200.586,214.036,231.026,172.957,208.14
20191007-1150-FRANKFURT_2-01-169,Schraubensalto A,18.36,102.499,170.21,178.616,99.679,162.729,175.57
20191007-1534-FRANKFURT_2-01-105,Barani C,21.024,61.959,233.193,106.416,58.726,229.196,102.2
20191007-1159-FRANKFURT_1-01-22,Strecksprung,22.942,17.937,66.082,34.368,16.79,60.393,26.804
0115-CHARI-05-40,Doppelsalto B,22.113,32.76,272.124,44.972,29.623,265.95,40.006
0827-BK2-02-25,Salto C,23.755,20.039,189.236,38.195,17.955,183.268,34.38
0609-1-01-188,Bauchsprung,20.693,17.845,89.115,34.769,14.574,83.985,20.931
0827-BK2-01-4,Salto C,24.407,16.434,181.081,19.049,13.746,173.799,15.36
0609-4-01-370,Strecksprung,25.411,11.883,63.45,12.318,10.497,59.612,9.328
20191007-1159-FRANKFURT_1-01-415,Grätschwinkel,26.669,21.138,137.113,31.228,17.596,129.669,24.011
20190930-1616-FRANKFURT_1-01-312,Doppelsalto C,24.027,33.474,274.569,51.398,26.737,262.125,23.312
0609-1-01-672,Doppelsalto C,19.692,26.646,268.105,33.955,23.814,263.059,21.856
0609-1-01-331,Salto C,20.208,20.023,200.937,22.603,17.027,194.828,16.738
0609-1-01-810,Von Bauch in Stand,21.989,19.422,79.778,27.726,15.771,66.547,15.045
0827-BK2-02-59,Salto B,24.362,21.629,195.655,26.595,18.59,190.272,20.264
20191007-1159-FRANKFURT_1-01-130,Barani B,20.864,39.103,269.997,136.027,35.295,266.377,131.74
0115-MORITZ-03-143,Salto C,24.085,18.32,182.14,19.843,14.787,174.75,15.327
20191007-1534-FRANKFURT_2-01-23,Strecksprung,21.407,18.532,74.896,29.794,17.013,71.351,26.493
0609-1-01-603,Doppelsalto B,20.662,50.696,298.211,45.553,46.786,286.299,23.462
0609-1-01-781,Doppelsalto C,21.709,33.867,281.309,29.567,29.921,275.997,19.585
0110-MORITZ-01-114,Voll- ein- voll- aus A,19.569,239.406,288.346,284.786,229.95,274.373,279.2
0110-JANEIKE-01-145,Strecksprung,23.607,10.047,32.107,15.849,8.316,29.691,12.709
20191008-1207-FRANKFURT_2-01-260,Strecksprung,24.082,19.632,83.884,34.789,17.027,76.837,28.679
20191007-1159-FRANKFURT_1-01-8,Salto C,22.685,28.122,229.721,34.867,23.528,217.5,24.614
20191008-1157-FRANKFURT_1-01-300,Baby- Fliffis C,23.452,46.543,340.205,174.835,33.619,317.068,158.249
0609-1-01-693,Von Bauch in Stand,23.414,19.724,69.542,27.139,17.878,66.421,21.306
20190930-1616-FRANKFURT_1-01-274,Barani C,22.667,64.674,172.873,68.969,59.264,168.439,52.404
20191008-1207-FRANKFURT_2-01-345,Baby- Fliffis C,24.959,92.662,286.649,193.325,87.173,269.147,151.841
0609-4-01-319,Fliffis C,25.629,85.934,359.426,110.741,83.604,351.993,105.0
0609-4-01-209,Schraubensalto C,21.109,110.869,133.786,147.063,109.288,130.416,146.007
20191007-1524-FRANKFURT_1-01-281,Doppelsalto C,19.745,52.225,286.533,102.3,39.861,271.137,52.22
0609-1-01-279,Von Bauch in Stand,23.708,22.919,61.869,35.938,19.07,56.09,26.118
20190930-1616-FRANKFURT_1-01-200,Fliffis C,24.264,67.643,381.785,117.003,62.258,374.588,107.847
20191007-1150-FRANKFURT_2-01-71,Schraubensalto A,17.557,94.095,190.857,184.41,90.157,183.283,178.422
20190930-1153-FRANKFURT_1-01-100,Strecksprung,23.086,13.85,68.963,22.438,12.404,66.102,19.524
20190930-1153-FRANKFURT_1-01-87,Salto C,23.426,30.853,188.935,30.895,28.229,182.062,26.316
0609-4-01-578,Barani C,22.476,33.353,216.413,93.693,30.284,211.673,91.385
0110-MORITZ-01-111,Fliffis B,24.237,86.025,369.92,127.643,81.682,365.78,122.102
20191008-1207-FRANKFURT_2-01-117,Salto B,22.691,28.18,232.414,51.193,22.429,219.351,30.57
0827-BK1-01-79,Strecksprung,26.718,18.529,51.637,18.87,16.082,48.141,15.963
20191001-1202-FRANKFURT_2-01-91,Barani A,21.138,63.229,189.466,129.466,61.466,179.827,108.043
0609-4-01-496,Salto C,20.536,14.463,144.192,19.717,12.636,136.369,15.886
0827-BK2-01-63,Salto B,24.915,25.628,203.311,26.184,22.369,197.216,21.884
20191008-1157-FRANKFURT_1-01-219,Rudi,22.211,128.532,233.156,319.766,124.957,226.8,315.475
20190930-1247-FRANKFURT_2-01-77,Barani C,23.694,37.526,215.424,83.838,34.118,210.775,78.405
20191008-1157-FRANKFURT_1-01-36,Salto A,22.908,21.641,80.189,27.149,15.998,59.487,19.895
20190930-1247-FRANKFURT_2-01-30,Salto A,17.367,21.035,51.054,30.064,15.083,41.799,22.621
20191008-1157-FRANKFURT_1-01-158,Barani A,23.841,57.329,205.736,128.685,54.71,202.521,125.453
20191007-1159-FRANKFURT_1-01-263,Barani A,22.685,63.156,211.071,116.566,60.96,206.243,112.13
0115-MORITZ-03-144,Fliffis aus B,24.071,117.794,371.727,107.503,115.247,366.616,101.87
20191008-1157-FRANKFURT_1-01-32,Salto A,20.603,16.942,67.286,33.756,11.929,55.328,23.756
0609-4-01-508,Salto C,20.078,15.489,63.325,15.507,13.984,60.273,12.496
0115-MORITZ-03-153,Strecksprung,20.674,14.724,68.55,15.167,13.151,62.809,12.135
0609-1-01-566,Doppelsalto B,22.77,43.463,277.37,43.355,40.701,268.216,28.708
0609-1-01-301,Von Bauch in Stand,26.023,14.685,77.89,28.668,11.565,71.261,13.809
0609-1-01-313,Strecksprung,24.073,15.78,58.416,21.523,13.316,54.933,17.934
0609-1-01-688,Von Bauch in Stand,23.201,14.198,84.351,28.718,10.973,67.944,15.309
20191007-1150-FRANKFURT_2-01-173,Fliffis C,20.376,66.232,396.329,161.945,59.593,390.756,155.086
0827-BK1-01-111,Salto A,22.722,15.071,59.125,22.185,12.756,52.556,16.009
0609-1-01-352,Doppelsalto B,20.841,29.996,290.506,33.888,26.56,284.142,18.051
20190930-1247-FRANKFURT_2-01-80,Salto A,21.406,20.755,42.025,30.641,15.255,33.777,21.313
20191008-1207-FRANKFURT_2-01-172,Barani A,23.267,93.117,198.163,101.831,90.488,183.317,79.467
0609-1-01-561,Salto C,23.235,21.868,196.344,24.876,18.863,189.859,17.358
20190930-1616-FRANKFURT_1-01-28,Salto B,21.02,23.58,209.258,22.326,21.03,202.826,14.677
20191003-1152-FRANKFURT_1-01-105,Barani C,19.883,66.201,210.593,77.617,63.487,207.501,72.644
20191007-1524-FRANKFURT_1-01-81,Strecksprung,22.586,35.639,96.817,49.421,21.948,84.02,31.512
0609-1-01-893,Von Bauch in Stand,22.054,24.557,68.471,45.944,21.716,65.493,35.825
20191007-1524-FRANKFURT_1-01-147,Salto A,19.419,38.871,110.955,84.845,26.471,59.11,33.446
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,23.852,103.364,146.208,118.518,102.08,144.86,117.039
