SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil
0609-1-01-808,Strecksprung,32.962,-1.735,23.049,-4.404,-1.942,23.286,-4.181,0.494,-1.845,11.459,3.492,-1.768,11.552,3.436,0.398,-3.778,-10.57,20.83,-3.387,-10.317,21.137,0.722,-4.297,-14.359,3.637,-4.587,-14.569,3.467,17.935,-4.95,31.762,-8.279,-4.419,31.289,-8.355
0609-4-01-282,Fliffis C,50.318,-11.441,-299.527,16.537,-9.921,-293.825,16.023,56.292,-24.661,-719.24,78.786,-24.778,-710.467,79.988,19.663,-91.423,-94.067,290.504,-91.822,-100.379,288.495,13.949,-111.966,190.263,218.033,-111.976,188.421,218.262,17.395,-0.078,251.705,46.205,0.398,245.928,45.522
20191001-1148-FRANKFURT_1-01-221,Salto rw A,31.501,-3.073,243.452,-32.615,-2.568,242.578,-33.711,8.537,-10.938,194.632,4.096,-11.481,195.122,4.86,6.289,11.321,175.649,2.711,11.342,175.166,2.587,8.078,-3.002,176.54,-22.728,-3.389,177.098,-22.143,29.199,-18.485,269.624,-22.932,-17.515,268.936,-22.513
0609-1-01-704,Doppelsalto C,33.757,19.11,173.783,3.203,18.159,174.969,1.905,39.641,9.73,527.457,-3.966,10.192,527.592,-3.469,52.215,67.609,794.335,-10.887,65.499,791.287,-11.456,17.772,36.983,375.407,-52.738,38.658,377.795,-51.995,23.358,-39.778,215.198,-15.217,-38.428,210.65,-16.621
0110-MORITZ-01-30,Salto C,32.311,-0.192,44.555,-0.374,-0.808,48.911,-0.043,14.442,-20.656,402.735,29.851,-20.021,396.759,29.896,3.511,5.645,162.715,8.931,5.556,164.015,8.975,2.813,9.058,124.284,9.454,8.95,123.538,9.443,21.778,8.489,90.621,2.791,8.041,87.046,2.01
20191001-1148-FRANKFURT_1-01-73,Salto rw B,33.371,0.826,163.368,-4.594,1.824,159.138,-5.495,13.226,35.897,110.092,2.6,35.381,115.252,3.363,17.477,-5.924,441.809,-0.984,-4.364,439.434,-1.258,5.155,31.221,98.342,1.562,30.519,101.337,1.762,29.457,10.564,196.758,-19.699,10.808,195.223,-19.482
20191008-1207-FRANKFURT_2-01-203,Barani A,45.206,-65.976,-116.229,63.02,-65.093,-114.83,58.772,7.787,-100.714,-105.142,75.954,-101.639,-105.016,75.824,9.34,-197.315,-42.828,204.844,-195.675,-42.228,204.31,7.956,-44.65,159.473,142.814,-45.058,158.687,142.515,24.694,11.635,278.781,24.792,10.772,277.636,22.807
0115-CHARI-05-128,Strecksprung,28.967,1.017,81.232,-25.345,1.33,81.199,-24.729,1.375,0.508,-27.252,27.662,0.118,-27.262,26.817,0.981,-10.086,-64.271,-2.246,-9.906,-64.013,-1.444,0.735,-22.042,-64.085,-28.013,-21.84,-64.012,-27.974,23.651,-10.746,37.135,-24.586,-10.799,36.796,-25.035
20190930-1247-FRANKFURT_2-01-318,Schraubensalto,31.066,20.999,190.688,100.905,22.737,191.194,101.189,4.012,214.824,56.363,217.862,213.917,55.297,217.644,9.803,123.355,-137.15,388.829,123.24,-134.13,387.741,9.708,-12.51,187.595,243.141,-12.838,185.084,243.152,21.537,-35.66,241.901,48.33,-35.87,240.796,47.373
20191008-1157-FRANKFURT_1-01-217,Barani A,31.577,-11.022,-175.034,65.904,-11.201,-172.365,65.764,8.099,-111.199,-130.48,150.559,-110.378,-130.05,152.035,8.815,-105.014,78.31,267.021,-104.515,77.716,264.321,7.682,-22.053,183.36,19.865,-23.034,184.224,21.721,26.943,-19.838,297.612,-22.773,-19.792,297.815,-23.198
0609-1-01-671,Von Bauch in Stand,31.747,-8.176,-49.412,-12.268,-8.172,-46.848,-13.498,1.324,12.788,-17.051,5.551,12.386,-17.015,5.857,1.138,15.289,-1.104,14.466,15.348,-1.183,14.046,1.542,6.142,69.919,0.17,5.857,69.568,0.616,24.283,-5.323,116.476,7.802,-5.401,117.24,6.889
20191008-1157-FRANKFURT_1-01-177,Fliffis C,51.089,46.906,-566.018,-7.038,47.373,-563.345,-6.087,57.042,107.391,-713.983,-24.756,105.723,-712.147,-22.855,30.707,-36.133,-257.006,333.034,-35.558,-256.311,330.452,14.301,-82.044,199.305,203.54,-80.495,196.33,205.382,33.313,-13.569,252.786,17.424,-14.556,257.184,16.559
20191007-1524-FRANKFURT_1-01-252,Doppelsalto B,33.682,27.175,154.605,-25.029,29.868,151.642,-27.729,32.852,61.804,515.866,-39.684,61.398,513.675,-39.86,46.605,87.114,732.379,-25.992,86.294,730.376,-26.454,20.73,56.488,396.611,-39.299,57.11,398.699,-37.701,15.397,28.141,295.568,-44.069,27.861,287.451,-36.166
20191007-1159-FRANKFURT_1-01-228,Barani B,35.126,19.734,-372.124,13.272,18.38,-369.063,15.031,8.961,-15.371,-207.416,136.583,-13.722,-209.075,139.955,10.135,60.116,27.763,385.265,58.684,28.37,379.68,7.177,19.332,175.399,67.977,19.31,176.146,69.544,26.281,-1.707,271.762,-9.001,-0.65,267.876,-10.064
20191007-1150-FRANKFURT_2-01-68,Grätschwinkel,33.053,-4.837,-45.478,7.288,-4.179,-48.932,6.402,9.586,-11.325,-141.649,-3.337,-11.731,-137.696,-1.475,7.258,18.004,124.3,2.336,17.827,121.952,2.374,1.982,1.538,15.552,-27.014,1.55,16.68,-26.62,19.159,0.009,59.943,18.947,-0.0,63.03,20.875
