SprungID,Sprungtyp,0_mean_Acc_N_Fil,0_std_Acc_N_Fil,0_mean_Gyro_x_R,0_std_Gyro_x_R,0_mean_Gyro_y_R,0_std_Gyro_y_R,0_mean_Gyro_z_R,0_std_Gyro_z_R,0_mean_Gyro_x_Fil,0_std_Gyro_x_Fil,0_mean_Gyro_y_Fil,0_std_Gyro_y_Fil,0_mean_Gyro_z_Fil,0_std_Gyro_z_Fil,20_mean_Acc_N_Fil,20_std_Acc_N_Fil,20_mean_Gyro_x_R,20_std_Gyro_x_R,20_mean_Gyro_y_R,20_std_Gyro_y_R,20_mean_Gyro_z_R,20_std_Gyro_z_R,20_mean_Gyro_x_Fil,20_std_Gyro_x_Fil,20_mean_Gyro_y_Fil,20_std_Gyro_y_Fil,20_mean_Gyro_z_Fil,20_std_Gyro_z_Fil,40_mean_Acc_N_Fil,40_std_Acc_N_Fil,40_mean_Gyro_x_R,40_std_Gyro_x_R,40_mean_Gyro_y_R,40_std_Gyro_y_R,40_mean_Gyro_z_R,40_std_Gyro_z_R,40_mean_Gyro_x_Fil,40_std_Gyro_x_Fil,40_mean_Gyro_y_Fil,40_std_Gyro_y_Fil,40_mean_Gyro_z_Fil,40_std_Gyro_z_Fil,60_mean_Acc_N_Fil,60_std_Acc_N_Fil,60_mean_Gyro_x_R,60_std_Gyro_x_R,60_mean_Gyro_y_R,60_std_Gyro_y_R,60_mean_Gyro_z_R,60_std_Gyro_z_R,60_mean_Gyro_x_Fil,60_std_Gyro_x_Fil,60_mean_Gyro_y_Fil,60_std_Gyro_y_Fil,60_mean_Gyro_z_Fil,60_std_Gyro_z_Fil,80_mean_Acc_N_Fil,80_std_Acc_N_Fil,80_mean_Gyro_x_R,80_std_Gyro_x_R,80_mean_Gyro_y_R,80_std_Gyro_y_R,80_mean_Gyro_z_R,80_std_Gyro_z_R,80_mean_Gyro_x_Fil,80_std_Gyro_x_Fil,80_mean_Gyro_y_Fil,80_std_Gyro_y_Fil,80_mean_Gyro_z_Fil,80_std_Gyro_z_Fil
0115-MORITZ-03-38,Voll- ein- Rudi- aus B,44.982,36.155,13.152,96.098,-344.598,185.677,-163.032,221.812,9.758,92.693,-338.32,171.197,-166.101,205.418,41.509,10.691,-536.316,174.28,-164.672,371.977,-556.861,286.053,-531.382,159.354,-167.283,347.552,-554.112,271.729,42.402,14.247,-485.041,156.377,-121.398,292.712,-662.303,272.799,-483.13,143.719,-126.593,268.164,-660.773,259.51,32.418,8.568,-53.387,247.282,-110.324,241.636,-580.422,115.704,-57.102,237.216,-104.527,228.133,-578.171,116.341,34.273,24.939,15.887,42.789,374.107,122.858,-24.43,91.123,15.324,35.037,373.372,102.216,-29.167,82.124
20191007-1159-FRANKFURT_1-01-229,Barani A,34.09,33.281,18.59,22.111,-202.152,117.172,36.662,74.864,17.129,19.102,-199.227,104.362,37.848,65.188,10.193,1.399,-100.132,45.909,-134.589,37.662,201.759,65.146,-98.542,43.22,-133.442,30.98,203.357,62.406,9.89,1.007,-61.059,25.766,105.842,76.404,297.567,91.875,-61.346,26.149,104.203,74.461,295.157,86.824,9.315,0.694,3.427,8.405,209.477,31.305,23.817,40.622,2.807,7.798,210.059,29.831,24.748,40.411,28.988,32.701,-21.515,50.448,249.577,142.073,-20.462,53.644,-19.584,40.293,248.048,120.321,-19.629,23.329
20190930-1247-FRANKFURT_2-01-246,Salto C,45.359,37.956,-19.746,36.442,93.955,86.548,7.756,63.11,-17.779,25.181,93.188,67.005,4.202,35.525,11.431,4.799,-5.172,13.713,268.039,248.578,8.405,21.08,-5.12,11.026,272.494,236.059,5.233,10.032,16.203,12.049,-1.756,37.29,358.612,248.199,-22.554,104.852,-2.105,13.953,357.578,214.355,-21.487,48.644,3.911,0.443,-17.365,3.626,92.4,4.347,11.771,8.041,-17.041,2.414,92.688,2.603,11.215,5.608,11.793,14.327,-5.551,28.165,156.712,102.416,4.543,47.889,-5.319,22.444,152.526,78.672,5.625,16.312
0609-4-01-292,Strecksprung,28.998,36.717,12.121,30.456,42.386,28.964,-16.727,28.402,11.54,25.459,41.819,21.807,-16.403,23.139,1.386,0.57,-7.293,19.701,13.089,23.065,6.146,28.498,-6.577,16.494,13.446,19.382,5.441,26.382,1.3,0.635,-3.039,6.727,-50.739,12.234,-0.668,16.231,-2.774,5.855,-50.092,9.151,-0.197,13.65,0.975,0.166,2.396,4.475,-21.134,10.016,4.736,9.269,2.207,2.762,-21.522,9.48,5.102,7.827,19.881,28.598,3.793,11.898,28.347,88.672,-0.612,25.272,3.359,6.772,28.194,78.619,-0.566,12.32
0115-MORITZ-03-98,Salto C,32.682,35.715,9.001,12.143,21.716,131.252,11.647,33.094,8.098,7.721,26.558,118.205,11.447,25.436,16.866,6.561,-9.905,10.809,449.01,129.276,10.156,29.552,-9.288,7.175,442.235,119.413,9.976,21.798,3.448,0.689,11.487,13.028,164.171,14.03,18.726,4.312,11.327,12.544,166.02,16.72,18.842,3.183,2.849,0.278,7.324,6.583,109.235,41.245,8.682,5.212,7.377,5.921,108.761,40.645,8.668,4.24,23.48,34.621,11.793,13.607,73.037,96.898,4.142,25.547,11.658,8.415,70.382,80.503,3.211,21.284
0609-4-01-436,Salto C,33.629,32.453,-15.044,25.883,249.476,76.871,30.624,29.095,-15.148,21.639,249.022,69.319,29.843,26.112,3.9,0.501,-3.482,13.545,142.426,57.503,22.101,10.659,-2.919,12.657,141.551,55.643,22.622,9.743,5.331,0.386,35.856,18.81,87.55,61.387,14.189,18.639,35.449,18.245,88.857,59.015,14.142,17.399,7.163,0.847,19.617,14.505,239.59,17.693,-2.581,13.141,19.596,13.722,239.094,16.655,-2.572,11.793,22.155,24.48,13.138,16.16,282.618,69.369,3.92,16.244,13.348,12.47,280.39,61.675,4.284,9.755
20190930-1247-FRANKFURT_2-01-242,Barani C,45.919,38.78,-25.725,48.593,-164.844,175.412,42.026,48.408,-25.772,43.228,-164.615,167.425,42.213,37.296,13.454,5.298,-78.646,17.43,-275.722,209.221,103.512,64.468,-76.469,19.916,-274.241,200.131,104.76,61.965,7.691,3.874,-85.734,98.613,-1.747,89.246,149.534,59.471,-88.269,85.308,-1.516,37.399,148.832,27.079,5.318,0.344,-86.972,44.741,78.081,25.18,141.963,15.721,-87.05,43.562,77.615,24.515,141.57,14.332,22.77,30.785,-12.304,30.229,153.013,78.174,58.922,30.394,-12.78,24.219,153.324,64.113,59.31,19.237
20190930-1247-FRANKFURT_2-01-198,Rudi,38.857,36.371,-35.934,41.214,-208.264,165.474,75.012,67.418,-35.553,38.314,-203.821,162.035,75.534,50.113,10.548,1.547,60.825,113.148,-129.186,99.195,429.797,137.986,61.424,109.982,-128.471,93.81,428.583,133.443,14.489,2.37,373.124,90.604,-67.112,110.082,535.386,40.767,371.023,81.449,-66.793,100.196,535.246,32.22,10.526,2.279,48.987,76.103,134.533,139.372,367.053,143.581,50.329,75.588,132.737,136.262,366.876,138.438,22.9,27.63,-3.797,62.814,263.381,67.871,68.077,105.426,-5.013,45.684,264.335,34.333,67.583,67.878
0609-4-01-152,Schraubensalto C,28.397,33.867,68.452,48.031,167.356,79.468,134.181,48.666,69.064,45.011,166.982,68.078,134.775,38.105,9.552,3.592,221.222,66.748,-65.446,108.316,366.881,95.023,218.529,63.182,-64.631,104.275,366.034,93.171,12.6,1.605,-82.912,51.325,11.153,122.306,380.621,80.665,-80.922,52.454,10.892,120.139,380.065,79.072,7.752,0.823,-52.47,37.66,162.366,23.504,137.674,54.954,-52.129,36.481,162.012,21.778,138.04,54.533,30.375,34.506,25.806,18.976,160.668,60.13,29.068,28.191,25.956,15.655,160.006,47.962,29.595,22.593
20190930-1616-FRANKFURT_1-01-287,Strecksprung,29.411,36.659,-9.464,12.873,57.772,37.517,29.853,29.346,-8.741,10.389,57.962,32.256,29.598,27.369,1.028,0.221,0.463,4.043,-15.55,9.27,17.548,14.91,0.15,2.973,-15.109,9.263,17.059,12.482,1.122,0.257,-0.979,7.736,-42.995,9.118,-25.47,22.699,-0.736,6.412,-42.623,7.532,-24.605,20.117,1.016,0.21,2.694,8.159,-36.699,7.558,-5.556,7.996,2.827,7.573,-36.773,6.595,-5.723,6.974,20.961,29.145,-4.833,13.01,22.671,76.749,-1.135,24.233,-5.086,7.88,22.013,69.789,-0.641,13.734
