0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,Sprungtyp,SprungID
34.272,8.657,11.515,16.761,9.045,6.175,5.911,9.608,-2.937,85.148,0.705,-2.541,85.602,0.303,5.729,5.167,-119.157,12.617,5.547,-119.193,12.69,1.523,-2.743,1.812,17.767,-2.573,1.645,17.456,17.028,-4.221,-0.793,-28.031,-3.877,0.513,-25.554,Hocksprung,generated_Mean_Hocksprung
30.029,61.933,142.991,90.539,62.828,142.016,92.257,8.887,174.285,-18.018,317.253,173.046,-18.493,316.407,13.322,33.619,-100.746,406.606,34.641,-98.337,404.488,9.998,-20.496,164.671,187.021,-20.456,163.927,188.192,23.365,42.516,288.613,10.588,41.359,287.1,11.928,Schraubensalto A,generated_Mean_Schraubensalto A
51.807,-38.174,-450.896,42.716,-37.278,-445.933,41.714,36.765,-21.095,-574.566,44.685,-21.556,-572.891,45.602,22.504,-84.109,-180.014,192.377,-83.437,-180.385,192.267,17.498,-49.151,174.148,202.846,-49.485,172.998,201.514,26.094,26.415,314.578,20.087,25.388,311.501,21.672,Fliffis B,generated_Mean_Fliffis B
39.643,31.838,-363.531,13.342,30.775,-361.074,13.922,9.496,5.19,-192.87,119.465,6.279,-194.319,122.043,10.73,20.673,57.371,364.072,20.115,57.459,359.595,7.356,-0.001,189.901,77.498,0.124,189.833,78.934,24.001,5.703,223.136,-16.068,5.946,220.589,-15.307,Barani B,generated_Mean_Barani B
52.875,-24.708,-501.629,38.194,-24.37,-497.759,37.828,37.113,-99.442,-565.598,-9.759,-98.756,-563.507,-9.416,33.265,-14.054,-88.555,88.404,-14.57,-93.349,87.143,26.994,54.88,-45.101,97.683,54.941,-42.221,98.375,31.068,46.377,352.455,2.059,44.82,352.251,3.349,Fliffis- Rudi B,generated_Mean_Fliffis- Rudi B
30.744,-222.217,134.766,-244.292,-223.294,130.618,-240.002,61.923,-518.805,-616.444,156.922,-516.518,-614.12,152.967,76.063,-271.167,-841.828,-15.215,-269.614,-836.443,-15.848,27.983,119.688,-141.453,-385.405,116.926,-145.63,-382.756,29.392,3.999,242.961,-120.357,4.764,239.905,-122.1,Halb ein Triffis C,generated_Mean_Halb ein Triffis C
54.586,-70.349,-475.217,10.549,-69.261,-472.107,10.424,74.031,-143.242,-837.266,70.398,-143.209,-837.742,70.286,76.089,-123.369,-854.861,-18.089,-121.328,-850.305,-19.888,30.111,107.117,-143.623,-384.042,104.765,-146.91,-380.63,30.742,71.059,276.438,-99.895,69.649,273.356,-102.891,Triffis C,generated_Mean_Triffis C
46.692,4.346,-348.288,-138.07,1.441,-341.292,-142.023,38.171,-560.38,-109.74,-569.366,-554.97,-113.31,-564.827,40.167,-499.25,-190.924,-537.353,-499.108,-193.417,-537.212,29.559,-153.47,-64.176,-568.586,-156.204,-60.348,-566.179,33.023,-19.929,359.403,-34.737,-19.605,357.95,-37.306,Voll- ein- Rudi- aus B,generated_Mean_Voll- ein- Rudi- aus B
34.829,-220.575,223.165,-275.208,-219.931,219.959,-277.323,39.066,-459.479,66.591,-808.24,-458.76,63.487,-802.671,42.431,-365.417,-494.722,-285.34,-365.552,-484.191,-289.326,22.573,15.721,100.163,-393.946,13.862,96.232,-390.734,30.176,-2.906,288.792,-15.937,-2.864,284.756,-17.709,Voll- ein- voll- aus B,generated_Mean_Voll- ein- voll- aus B
46.584,-8.35,-340.713,-93.74,-10.258,-334.434,-99.151,32.993,-503.993,-67.725,-623.122,-497.261,-74.891,-614.671,45.602,-318.869,-639.461,-114.531,-320.693,-630.535,-120.069,21.397,-18.602,-7.827,-437.027,-20.777,-12.081,-432.242,30.819,24.213,318.498,-71.578,23.241,316.847,-73.877,Voll- ein- halb- aus B,generated_Mean_Voll- ein- halb- aus B
34.812,-200.531,309.408,-260.992,-200.502,306.005,-263.638,46.031,-94.491,7.556,-776.397,-100.073,11.804,-770.459,33.088,-497.787,-36.327,-424.301,-487.192,-33.614,-430.514,37.858,49.455,125.894,-537.075,44.289,123.179,-530.884,31.124,-26.361,343.854,21.006,-25.907,342.06,17.602,Voll- ein- voll- aus A,generated_Mean_Voll- ein- voll- aus A
32.675,-204.346,242.684,-316.029,-203.319,238.597,-316.576,42.344,-286.261,-17.128,-789.332,-289.294,-15.019,-781.676,36.226,-577.181,-201.987,-129.24,-570.328,-199.34,-137.244,33.354,-89.714,-79.519,-533.824,-91.969,-79.22,-526.452,33.674,-14.875,318.797,-60.548,-16.794,315.098,-63.843,Voll- ein- voll- aus C,generated_Mean_Voll- ein- voll- aus C
35.53,-29.202,-195.15,69.462,-30.481,-194.52,70.566,21.274,-108.385,-92.982,431.7,-103.956,-91.973,427.852,29.147,474.691,-275.524,147.873,469.675,-274.687,150.429,21.773,129.186,-372.896,28.88,130.267,-373.2,28.128,30.5,5.052,-173.322,12.368,5.192,-173.472,12.64,Voll- ein 1 3/4 Salto vw C,generated_Mean_Voll- ein 1 3/4 Salto vw C
41.124,9.739,-328.636,-1.38,9.674,-328.587,-1.359,41.085,22.461,-623.239,18.735,22.173,-617.384,18.214,9.336,-7.198,-125.208,-14.962,-6.914,-129.622,-14.396,7.757,7.748,-350.443,0.425,7.525,-349.817,0.192,30.933,-0.359,-251.957,1.235,-0.31,-253.803,0.35,1 3/4 Salto vw C,generated_Mean_1 3/4 Salto vw C
59.447,-104.862,-572.695,32.71,-104.415,-568.167,32.399,55.277,-270.56,-724.719,60.608,-270.493,-727.046,60.687,48.708,-262.025,-730.553,-77.609,-260.283,-727.315,-78.062,24.375,57.698,-109.672,-384.458,55.828,-112.168,-381.96,31.34,82.344,281.545,-105.996,81.247,280.063,-108.318,Triffis B,generated_Mean_Triffis B
27.842,-3.191,3.259,1.378,-2.981,3.285,1.16,0.747,-3.192,-57.515,-5.083,-3.2,-57.548,-5.013,1.206,1.666,-89.956,-8.729,1.636,-89.589,-8.613,1.548,6.236,-43.078,5.384,6.157,-42.727,5.186,26.256,-11.556,82.429,-14.938,-10.999,80.961,-14.105,Bauchsprung,generated_Mean_Bauchsprung
32.293,2.607,-34.731,3.505,2.192,-33.553,2.776,1.172,3.629,11.692,5.183,3.587,11.467,5.154,1.014,2.403,-0.019,3.264,2.416,0.241,3.123,1.276,1.651,35.408,-2.918,1.578,35.007,-2.66,22.321,0.725,98.718,10.836,0.723,99.617,10.798,Von Bauch in Stand,generated_Mean_Von Bauch in Stand
29.375,71.108,182.753,123.79,71.333,182.021,123.75,9.789,215.821,-40.81,368.294,213.157,-40.578,367.618,13.478,-62.302,-12.875,403.236,-60.192,-12.667,402.115,7.036,-38.175,162.431,144.41,-38.134,162.013,145.002,21.426,24.18,181.068,25.393,23.567,179.225,25.719,Schraubensalto C,generated_Mean_Schraubensalto C
