Sprungtyp,SprungID,avg_ACC_N,std_ACC_N,avg_ACC_N_ROT_filtered,std_ACC_N_ROT_filtered,avg_Acc_x_Fil,std_Acc_x_Fil,avg_Acc_y_Fil,std_Acc_y_Fil,avg_Acc_z_Fil,std_Acc_z_Fil,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Salto C,0609-1-01-317,16.74,22.98,16.588,21.52,-1.512,8.996,0.1,1.333,4.189,25.243,20.808,18.309,195.318,175.259,-5.12,20.036,39.037,365.839,-9.464,44.158,388.784,38.329
Voll- ein- voll- aus B,0115-MORITZ-03-117,37.719,21.181,37.702,17.623,-17.458,20.644,2.395,11.075,-4.001,28.856,-181.61,270.954,79.476,316.766,-382.974,316.688,-334.275,147.975,-705.654,424.918,552.829,739.725
Schraubensalto,20190930-1153-FRANKFURT_1-01-241,16.324,24.167,16.134,21.497,-1.559,8.363,-1.203,1.928,5.225,25.947,16.312,102.889,52.713,143.627,208.251,114.158,31.946,103.514,393.15,167.137,266.558,399.226
Cody C,20191003-1152-FRANKFURT_1-01-15,23.365,26.049,24.187,25.351,-1.95,23.266,-0.589,2.009,-0.341,23.229,-21.47,25.039,228.081,227.143,-0.998,18.305,-35.74,384.956,-7.946,46.235,447.559,33.782
Baby- Fliffis C,20191008-1157-FRANKFURT_1-01-245,22.484,26.02,22.996,23.12,-11.36,17.562,-1.358,2.894,0.698,18.891,49.019,35.633,-107.22,301.208,132.514,149.847,80.294,-176.107,215.957,89.344,431.055,261.177
Salto C,20190930-1616-FRANKFURT_1-01-328,20.605,25.023,20.641,22.31,-3.21,10.864,0.028,2.755,4.375,26.452,-15.934,15.092,194.262,193.905,-2.745,27.105,-28.7,355.907,-9.983,38.377,383.388,53.741
Barani A,20190930-1616-FRANKFURT_1-01-183,16.385,22.655,17.03,22.496,0.842,9.307,0.214,2.369,3.491,24.334,-85.809,70.095,0.584,133.914,102.272,56.022,-156.201,0.838,180.59,164.628,230.057,187.582
Salto C,0609-1-01-77,17.315,24.274,17.029,22.37,-0.717,10.838,-0.21,1.169,4.834,25.872,15.778,21.804,183.254,175.354,-10.483,19.698,30.978,353.769,-20.338,45.324,380.896,43.943
Barani A,20191007-1159-FRANKFURT_1-01-323,17.231,23.796,17.417,21.802,-1.938,7.022,-1.148,2.125,4.787,26.312,-44.248,55.609,56.996,196.546,106.321,114.764,-72.612,94.728,172.263,90.78,309.542,189.924
Salto A,20191007-1159-FRANKFURT_1-01-324,15.272,23.191,15.248,20.359,-0.504,5.173,-0.679,0.684,4.647,25.111,-7.746,19.175,204.018,57.569,-11.352,21.602,-12.238,345.094,-23.722,25.687,345.695,37.481
Doppelsalto B,20191007-1524-FRANKFURT_1-01-141,32.532,24.581,32.332,20.491,-15.692,18.735,1.541,3.823,-3.576,29.805,49.001,30.884,402.784,255.238,-36.462,26.448,81.172,677.929,-63.548,83.798,702.567,77.866
Salto B,0827-BK2-01-73,18.168,24.466,17.878,22.49,-1.426,12.501,-0.106,1.643,5.051,25.817,-10.487,16.037,171.479,206.959,-13.529,20.224,-20.924,338.241,-26.795,36.044,409.021,43.575
Barani A,20191007-1159-FRANKFURT_1-01-230,18.452,22.532,18.707,20.953,-2.887,9.222,-1.266,3.292,4.672,25.106,-15.684,48.81,38.763,218.735,98.104,152.377,-24.564,59.865,154.116,62.258,315.199,214.351
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-165,45.183,24.221,45.27,17.243,-27.448,19.122,0.761,9.602,-3.259,30.976,52.498,190.144,-205.559,428.539,364.729,408.727,82.699,-325.825,575.869,248.889,691.448,642.567
