Sprungtyp,SprungID,avg_ACC_N,std_ACC_N,avg_ACC_N_ROT_filtered,std_ACC_N_ROT_filtered,avg_Acc_x_Fil,std_Acc_x_Fil,avg_Acc_y_Fil,std_Acc_y_Fil,avg_Acc_z_Fil,std_Acc_z_Fil,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Fliffis- Rudi B,0115-MORITZ-03-165,34.638,22.815,34.913,20.002,-17.986,18.416,0.158,7.388,1.224,28.496,-211.762,243.36,-118.278,399.067,-202.721,273.47,-397.356,-223.971,-380.15,419.657,660.912,476.92
Salto C,20191008-1157-FRANKFURT_1-01-298,19.429,25.289,19.391,21.955,-1.303,6.138,-0.311,2.09,4.573,27.209,-2.868,19.053,201.867,201.643,-10.823,37.377,-4.927,343.885,-18.591,38.715,380.176,72.187
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-253,45.893,24.472,45.672,18.038,-24.803,25.109,-0.157,10.756,-1.952,30.533,72.277,189.877,-204.254,406.967,362.251,414.93,117.0,-327.552,578.327,242.895,653.956,661.014
Barani C,0609-4-01-570,18.003,24.026,17.974,21.961,-1.56,12.908,-0.497,1.671,5.875,24.816,-2.157,28.991,-44.554,206.324,127.204,87.399,-3.873,-88.182,235.464,47.799,305.232,239.736
Salto B,20191007-1524-FRANKFURT_1-01-197,19.394,24.467,19.562,21.513,-2.961,10.77,0.693,5.264,3.674,26.19,8.137,39.89,208.24,200.841,-19.349,36.813,13.482,339.708,-30.775,56.43,385.443,64.392
Schraubensalto,20190930-1247-FRANKFURT_2-01-221,15.308,24.232,15.445,21.881,-2.028,6.305,-0.913,2.915,5.163,25.572,44.387,98.203,102.498,137.548,189.645,127.487,82.434,189.34,353.033,155.447,292.089,355.256
Salto C,0609-4-01-493,15.723,25.511,15.403,21.798,1.84,16.404,-0.348,0.962,4.539,22.564,7.464,14.581,178.833,129.139,7.381,11.79,14.901,362.158,9.254,30.574,371.934,26.965
Bauchsprung,0609-1-01-862,12.174,24.791,11.574,21.921,4.831,14.553,-0.252,0.627,7.654,20.324,0.468,12.047,-18.773,75.924,-2.713,11.392,0.812,-33.654,-5.178,19.132,126.194,24.109
Salto C,20190930-1153-FRANKFURT_1-01-107,14.71,23.177,14.734,21.073,-0.093,6.126,-0.871,1.088,4.712,24.953,17.689,13.867,188.626,49.028,-4.404,19.961,33.178,351.076,-13.622,38.324,351.076,34.12
Salto C,20191008-1207-FRANKFURT_2-01-159,19.841,24.089,19.79,20.617,-3.671,10.221,0.446,2.875,3.378,26.725,21.618,45.768,201.858,213.043,-23.133,35.953,36.024,338.741,-39.62,59.031,398.472,73.198
Salto C,0609-4-01-455,15.974,26.064,15.741,22.552,1.541,15.941,-0.542,1.153,4.877,23.502,-1.363,19.63,178.54,134.063,-0.637,20.427,-2.759,363.186,-7.575,35.235,370.248,40.113
Salto C,20191007-1159-FRANKFURT_1-01-11,20.345,23.892,20.399,20.755,-4.087,8.845,-1.165,1.211,4.079,27.137,-7.791,32.344,210.86,230.847,12.906,26.275,-13.588,354.622,21.698,46.766,432.788,52.712
Schraubensalto A,20191007-1150-FRANKFURT_2-01-118,17.671,19.929,17.7,17.731,-4.472,6.607,-1.064,3.332,4.049,23.268,63.893,112.131,113.637,150.343,212.917,176.93,104.23,183.743,344.243,176.381,282.189,351.028
Salto A,20191007-1524-FRANKFURT_1-01-116,17.065,26.427,16.894,22.275,0.319,11.095,0.815,5.111,4.784,25.24,18.377,21.807,211.162,72.211,-26.627,45.607,30.906,346.448,-45.728,40.322,369.641,84.837
Salto B,20191008-1207-FRANKFURT_2-01-26,18.74,24.841,18.845,21.955,-3.673,9.003,0.568,3.756,3.919,26.811,15.216,29.446,199.967,208.786,-13.352,31.149,27.049,350.522,-24.215,45.432,415.314,69.044
Salto C,0827-BK2-01-28,17.321,25.87,17.13,24.007,-0.627,12.756,0.523,1.61,6.218,26.019,0.518,17.924,165.277,175.268,-6.788,19.08,1.177,336.499,-13.612,34.327,360.79,38.446
Salto B,20191007-1159-FRANKFURT_1-01-449,18.252,23.204,18.248,20.341,-3.046,8.83,-0.407,1.555,5.053,25.603,2.72,39.401,202.33,208.931,-17.039,36.915,4.465,332.801,-32.309,52.716,409.913,69.754
Doppelsalto C,0609-1-01-741,34.329,23.614,33.693,20.869,-15.868,22.581,-0.924,1.919,-4.791,29.029,4.13,51.263,408.177,292.573,-7.34,35.849,6.848,707.128,-12.647,72.92,712.432,69.646
Salto C,20191008-1207-FRANKFURT_2-01-145,18.049,25.581,18.248,22.509,-2.609,8.154,0.781,4.559,4.351,26.184,12.659,32.658,206.991,153.457,-21.464,35.904,21.404,361.593,-39.13,47.228,376.687,76.911
Fliffis B,20191007-1524-FRANKFURT_1-01-144,35.716,22.549,36.034,18.912,-20.089,18.053,1.989,4.936,-0.687,27.841,18.205,80.512,-243.333,448.735,147.542,177.276,28.111,-375.201,226.271,113.03,709.845,288.073
Salto A,0827-BK2-02-137,14.943,23.078,14.437,21.075,0.364,8.297,0.355,0.761,5.377,24.443,9.185,13.11,184.293,42.962,-27.36,15.319,16.781,337.069,-50.266,26.154,337.069,51.496
Fliffis B,0110-MORITZ-01-157,28.901,24.514,29.206,22.487,-10.953,19.708,-0.488,3.798,-0.118,27.626,47.556,97.021,-110.436,372.843,-86.92,111.235,96.192,-224.495,-175.305,152.72,609.129,227.005
Barani B,20191007-1159-FRANKFURT_1-01-213,19.074,23.333,19.094,20.513,-4.405,8.88,-0.24,3.743,3.918,25.633,-3.206,50.976,-18.531,254.799,111.591,139.096,-6.064,-29.348,184.188,74.472,355.536,199.499
Barani A,20191008-1157-FRANKFURT_1-01-355,16.858,23.328,17.37,22.281,-0.99,8.715,-0.329,2.901,3.671,24.897,-20.425,80.172,46.376,176.825,109.793,131.487,-33.185,78.481,180.592,106.101,267.125,220.551
Salto C,0609-1-01-21,17.51,24.438,17.225,22.466,-0.837,11.767,0.119,1.37,4.538,25.734,23.535,24.57,183.824,199.136,-12.499,17.777,45.55,354.595,-24.08,56.181,390.177,43.361
Salto C,0609-4-01-482,15.811,25.064,15.599,21.695,0.678,16.473,-0.154,1.049,4.405,22.156,6.005,12.427,186.076,162.584,10.272,17.125,11.388,365.495,14.475,25.058,386.97,34.313
Doppelsalto C,0609-1-01-885,32.086,22.592,31.786,20.431,-14.659,21.952,0.186,1.758,-5.37,26.57,19.218,40.832,401.725,273.61,-13.653,27.905,33.305,697.898,-23.887,66.334,702.984,60.244
Salto C,0609-4-01-69,16.379,26.887,16.005,22.962,2.048,16.46,-0.247,1.299,4.911,24.075,4.857,18.53,176.427,132.589,3.047,19.469,10.27,370.231,6.953,36.064,381.336,36.227
Salto A,20191007-1534-FRANKFURT_2-01-135,15.745,21.871,15.622,19.243,-0.484,5.219,-0.454,2.091,4.114,24.552,-8.439,15.534,213.631,42.97,-12.493,11.092,-14.203,344.947,-23.688,25.594,344.968,33.724
Barani A,20191007-1150-FRANKFURT_2-01-108,17.856,20.638,17.965,19.079,-0.893,7.29,0.266,2.326,3.241,24.713,-61.377,81.632,42.795,175.415,111.114,90.965,-100.361,66.459,175.853,134.667,262.265,180.14
40/,20191001-1148-FRANKFURT_1-01-160,15.828,23.936,15.809,21.304,0.451,7.892,-0.696,1.004,4.952,25.351,-13.507,21.022,193.361,63.9,-10.437,18.17,-24.525,334.806,-24.563,36.528,342.492,41.305
Barani C,0609-4-01-562,18.092,23.648,18.116,21.704,-1.91,11.814,-0.345,1.768,5.454,24.962,-8.243,23.445,-28.66,202.918,124.613,95.352,-15.354,-57.701,228.371,40.465,314.995,241.764
40<,20191001-1148-FRANKFURT_1-01-52,20.249,24.938,19.894,21.064,-1.344,11.61,-0.773,1.464,4.921,27.008,-1.608,19.908,202.685,211.582,-11.577,25.787,-4.139,339.95,-23.977,32.603,442.512,60.53
Schraubensalto A,20191008-1207-FRANKFURT_2-01-342,16.7,23.936,16.677,20.45,-2.605,7.854,-0.175,8.019,4.559,24.282,63.917,87.016,113.455,160.681,187.883,164.003,107.384,190.935,315.501,156.756,294.174,348.212
Bauchsprung,0609-1-01-271,12.033,25.392,11.442,22.73,4.588,16.153,-0.335,0.955,7.065,19.975,-5.608,16.182,-23.49,72.391,-4.918,14.101,-10.617,-44.896,-10.26,22.358,131.112,29.762
Doppelsalto B,20191007-1524-FRANKFURT_1-01-277,32.873,23.742,33.041,20.359,-15.889,18.425,2.019,3.806,-4.995,28.981,59.438,44.031,403.556,251.117,-22.628,41.589,97.956,673.577,-39.71,109.758,689.607,74.582
Doppelsalto B,20190930-1616-FRANKFURT_1-01-257,33.44,23.854,33.343,20.153,-16.05,19.775,0.123,3.29,0.23,29.393,0.463,29.422,385.141,268.369,-12.706,22.62,0.682,703.193,-28.882,47.476,751.815,60.825
Fliffis B,0609-4-01-483,31.231,23.211,31.46,20.715,-13.673,20.592,-0.146,3.021,0.8,26.894,-40.57,77.287,-119.836,368.841,132.311,137.953,-77.382,-233.08,247.706,127.885,618.693,269.132
Barani C,0609-4-01-546,18.221,22.41,18.385,20.988,-2.706,11.207,-0.08,2.175,5.15,24.372,-12.089,32.409,-42.497,207.733,124.529,100.807,-22.141,-81.949,222.75,54.318,307.372,237.946
Salto B,0115-JANEIKE-01-92,17.77,23.83,17.614,22.141,-0.314,11.937,-0.051,1.693,5.027,25.171,33.447,22.624,184.077,131.694,-14.585,36.744,60.093,335.27,-26.032,65.179,352.417,59.094
Fliffis B,20191007-1524-FRANKFURT_1-01-268,35.911,20.65,36.267,16.823,-20.196,17.53,5.124,5.32,-1.85,26.21,-43.637,111.545,-248.591,444.281,148.011,175.008,-65.269,-371.18,221.725,169.954,687.695,283.996
Fliffis C,0609-1-01-15,33.365,24.658,33.546,23.66,-14.452,22.516,2.162,5.279,-3.958,29.105,7.858,148.944,-200.251,376.585,-109.253,116.2,13.486,-365.323,-199.714,218.197,589.69,227.638
Schraubensalto A,20191008-1207-FRANKFURT_2-01-102,17.695,25.282,17.478,21.705,-2.654,6.749,-0.91,4.14,5.544,26.973,61.379,90.594,91.155,168.804,219.109,140.605,103.405,158.208,371.668,164.917,291.482,389.714
Barani C,0609-4-01-524,18.227,24.045,18.191,22.048,-1.521,12.687,-0.107,2.463,5.572,25.066,-7.056,31.116,-39.455,202.152,123.133,97.207,-13.308,-78.825,228.608,52.861,308.49,242.939
Salto A,20191008-1207-FRANKFURT_2-01-143,16.069,23.856,16.191,21.137,-2.922,4.285,0.65,3.961,4.164,25.581,35.077,26.547,204.66,97.015,-22.835,25.58,60.243,340.107,-39.201,64.279,356.419,49.987
Schraubensalto C,0609-4-01-186,17.486,23.212,17.267,20.449,-2.888,10.523,-0.768,3.098,6.051,24.692,40.154,106.713,109.24,126.27,213.447,171.687,75.721,204.456,398.313,153.481,289.018,399.348
Barani A,20191008-1207-FRANKFURT_2-01-59,17.997,24.557,18.134,22.09,-1.309,5.728,0.78,7.88,3.65,26.131,-97.965,72.947,30.533,167.969,114.334,75.955,-165.1,50.995,194.948,183.927,252.707,208.877
Salto C,0609-1-01-389,17.258,23.952,17.044,22.152,-1.36,10.314,-0.249,1.248,4.787,25.736,11.507,18.549,189.784,190.892,-8.206,22.126,22.115,363.436,-15.701,38.292,387.271,43.577
Voll- ein- halb- aus B,0115-JANEIKE-01-18,37.341,22.128,37.08,18.999,-17.087,20.715,1.152,9.934,-1.306,29.954,-116.076,233.225,-168.903,349.585,-273.19,257.455,-211.619,-308.774,-497.587,306.132,590.377,500.855
43/,20191001-1148-FRANKFURT_1-01-121,22.018,22.917,22.148,20.74,-7.709,9.955,-0.405,3.578,7.528,25.509,130.239,132.691,46.081,247.207,322.022,266.274,209.643,78.121,516.484,216.794,366.259,536.531
Salto C,0609-1-01-334,17.179,23.045,17.09,21.68,-1.679,10.11,-0.255,0.983,4.157,25.103,13.956,17.105,195.318,193.597,-8.052,16.728,26.053,365.292,-14.79,35.916,377.1,33.979
Barani A,20191007-1524-FRANKFURT_1-01-53,18.273,25.53,18.137,22.535,-1.216,6.843,0.245,5.645,4.49,27.484,-83.257,71.683,14.069,185.204,110.586,84.636,-142.298,23.492,186.648,145.503,259.286,216.245
Fliffis Rudi C,20190930-1153-FRANKFURT_1-01-244,37.846,20.564,38.504,18.821,-22.025,19.388,1.925,6.087,-3.393,28.045,37.761,149.128,-195.595,354.558,321.774,336.849,68.641,-349.532,569.861,202.855,637.263,602.588
Salto A,0827-BK1-01-123,15.269,23.57,15.049,21.836,0.923,11.45,-0.55,1.688,4.935,23.683,4.085,14.212,182.006,43.52,-0.899,17.162,8.132,353.63,-1.821,27.007,353.63,31.614
Fliffis- Rudi B,0115-MORITZ-03-40,37.13,22.636,37.461,20.263,-19.089,19.096,-0.936,9.414,0.621,29.817,-99.24,190.169,-112.684,378.944,-241.214,300.209,-193.926,-221.457,-470.778,301.212,647.675,565.753
Salto C,0609-1-01-526,17.101,24.035,16.941,22.364,-1.13,10.28,-0.17,1.06,4.755,25.7,10.72,17.139,189.368,184.062,-9.865,22.843,20.604,363.428,-18.807,37.028,378.412,44.472
Cody C,20191007-1150-FRANKFURT_2-01-43,23.852,22.109,24.666,21.554,-0.986,21.14,-0.646,2.688,-2.703,21.116,-3.562,20.987,245.222,215.61,-8.997,39.667,-6.33,392.339,-18.43,35.2,441.681,70.467
Salto C,0827-BK2-01-31,17.961,25.801,17.674,23.674,-1.097,11.311,0.732,1.604,6.088,26.737,13.981,19.542,165.153,176.984,-7.554,17.9,28.17,334.793,-15.039,39.149,369.077,37.609
Salto C,20190930-1153-FRANKFURT_1-01-127,14.957,22.875,14.991,20.742,-0.481,6.16,-0.844,1.186,4.502,24.759,20.491,19.818,193.31,54.831,-2.776,24.555,37.933,356.088,-10.561,49.299,356.088,39.881
Salto C,0827-BK2-02-10,17.07,24.437,16.688,22.766,-0.912,12.106,1.144,1.553,5.236,25.35,15.239,15.97,173.909,184.371,-25.216,21.183,29.583,333.595,-48.186,37.681,355.847,60.102
Schraubensalto,0110-JANEIKE-01-133,17.136,22.311,16.527,19.616,-2.735,8.13,0.698,1.895,5.534,24.972,-10.114,106.981,59.508,157.081,-237.76,135.573,-18.385,107.689,-429.229,150.276,274.124,429.285
Fliffis B,0609-4-01-22,29.016,24.701,29.315,22.122,-10.894,18.852,-0.205,2.903,-0.019,28.374,-59.826,96.679,-84.834,352.451,118.722,112.941,-120.978,-172.568,240.099,153.744,607.173,252.963
Doppelsalto C,0609-1-01-143,32.303,22.578,32.144,20.616,-14.626,23.164,0.665,1.475,-3.956,25.988,21.737,21.695,398.449,273.408,-8.141,21.03,38.427,701.202,-14.659,50.025,704.06,45.836
Salto C,0827-BK1-01-41,16.816,25.182,16.713,23.498,0.258,12.819,-0.533,1.391,4.995,25.138,5.516,10.322,175.622,138.705,3.875,12.031,10.878,351.395,7.673,22.553,358.179,26.344
Barani A,20191003-1152-FRANKFURT_1-01-88,17.393,20.284,17.7,18.917,-0.358,5.95,-0.973,2.505,2.308,24.378,101.576,94.95,-6.902,160.808,-94.093,58.588,163.721,-9.919,-156.054,170.192,233.174,159.469
3/4 Salto vw A,20191001-1148-FRANKFURT_1-01-165,15.239,28.967,15.02,23.339,-5.458,17.847,-0.803,1.167,4.192,19.744,7.971,12.772,-160.865,120.401,16.097,20.06,12.73,-278.499,23.396,22.906,306.246,47.764
Salto C,20191003-1152-FRANKFURT_1-01-159,18.431,22.747,18.319,20.234,-2.92,10.457,-0.504,1.154,4.826,25.247,-6.98,10.185,195.719,181.391,2.879,17.766,-9.069,344.22,0.741,19.853,367.528,33.014
Salto A,20190930-1616-FRANKFURT_1-01-14,15.276,23.966,15.331,21.254,-0.033,6.416,-0.705,0.964,4.611,25.446,5.107,15.22,196.456,45.317,5.004,19.507,8.921,361.387,9.151,27.607,361.387,33.568
Fliffis Rudi C,20191008-1207-FRANKFURT_2-01-305,41.84,22.803,42.008,19.576,-22.351,21.271,-0.224,11.333,-3.835,30.677,20.805,165.359,-162.219,393.083,382.613,354.587,35.114,-270.743,637.286,227.873,612.685,682.901
Barani C,0609-4-01-522,17.156,23.569,17.285,21.841,-1.036,11.786,-0.202,1.647,4.78,24.533,-16.471,30.451,-25.238,180.044,120.557,97.464,-31.218,-52.15,223.777,53.092,297.721,237.761
Barani C,20190930-1616-FRANKFURT_1-01-58,18.104,23.289,18.229,21.332,-2.527,9.329,0.297,2.554,4.844,25.574,-47.901,30.928,-74.904,217.816,109.861,69.183,-84.76,-133.542,195.026,95.925,313.68,208.398
Salto C,0827-BK2-02-47,17.197,23.578,16.919,22.053,-2.203,11.901,1.026,1.889,5.254,24.725,9.098,17.409,180.073,189.448,-27.368,16.252,16.657,334.903,-51.456,32.906,359.013,55.011
Bauchsprung,0609-1-01-717,11.631,24.134,11.054,21.731,4.947,15.241,-0.459,1.514,6.932,18.966,-3.495,9.156,-23.561,66.704,0.52,15.666,-6.415,-43.197,0.549,16.0,118.174,24.974
Salto B,0115-JANEIKE-01-119,18.339,25.0,17.82,22.021,-0.419,12.867,-0.193,1.751,5.465,25.913,22.036,30.714,186.5,169.763,-20.796,26.52,41.245,351.048,-39.215,58.277,402.282,64.664
Barani C,20190930-1247-FRANKFURT_2-01-171,16.918,24.339,17.114,22.349,-1.568,8.11,0.303,2.53,4.449,26.151,-61.469,51.0,-38.332,199.982,104.657,53.794,-116.798,-76.361,193.402,124.229,286.554,198.133
Fliffis B,20191008-1207-FRANKFURT_2-01-241,34.093,22.949,34.673,20.02,-19.76,15.788,2.392,4.573,-0.793,27.559,-21.474,51.937,-216.131,455.566,153.736,153.259,-34.596,-347.281,245.094,83.942,718.269,267.849
Salto A,20191008-1207-FRANKFURT_2-01-7,16.351,24.713,16.086,21.039,-1.899,7.076,0.283,4.411,5.03,26.019,-1.545,17.225,197.507,84.739,-29.425,22.093,-2.241,335.482,-50.576,26.725,341.46,65.502
Fliffis B,0609-4-01-428,30.677,24.696,30.936,21.875,-11.262,20.171,-0.43,2.759,0.495,28.311,-57.616,95.66,-107.712,351.584,120.563,115.271,-113.683,-217.475,231.998,147.617,607.07,249.781
Fliffis C,20191003-1152-FRANKFURT_1-01-146,35.974,22.37,36.586,21.258,-17.844,23.83,-3.787,6.836,-3.41,26.822,84.478,95.643,-244.448,388.932,-106.939,95.637,141.903,-401.42,-179.923,157.837,619.634,197.352
Doppelsalto C,0609-1-01-633,31.928,20.333,31.546,17.967,-14.137,20.703,0.017,1.467,-4.137,26.198,12.58,25.436,406.144,251.896,-16.021,22.308,21.379,697.26,-27.783,40.405,697.587,53.306
Cody C,20190930-1247-FRANKFURT_2-01-107,23.745,26.571,24.484,25.124,-1.02,22.664,-0.281,1.537,-0.284,23.022,-16.478,21.838,220.478,246.752,7.393,39.724,-31.837,404.837,8.541,51.779,500.602,81.944
Von Bauch in Stand,0609-1-01-890,12.246,24.01,12.824,24.606,6.485,16.662,0.185,1.821,6.202,17.203,0.523,12.829,22.057,67.376,5.026,19.897,0.848,36.922,8.443,17.633,75.177,40.9
Barani A,20191007-1534-FRANKFURT_2-01-46,17.836,21.731,18.125,20.503,-2.286,6.652,0.077,3.57,3.294,25.196,-63.742,72.764,20.666,184.66,119.903,92.247,-105.514,33.829,198.055,119.521,270.085,212.694
Doppelsalto B,0110-MORITZ-01-62,27.027,24.217,27.012,21.374,-10.979,21.638,-1.881,1.34,5.146,24.393,-20.361,27.877,350.122,226.296,5.866,19.528,-40.717,702.238,11.977,55.877,707.023,41.338
3/4 Salto vw A,20191008-1207-FRANKFURT_2-01-122,14.522,29.501,14.363,24.26,-5.119,16.262,0.874,5.555,4.487,21.013,-16.416,21.314,-149.934,110.631,34.294,26.071,-30.357,-272.196,64.128,43.074,292.713,86.767
Salto C,0827-BK1-01-35,17.514,24.478,17.242,22.517,-0.371,13.315,-0.715,1.319,4.893,24.893,-3.367,11.579,181.133,156.255,2.801,14.398,-6.596,355.018,5.384,20.914,381.657,27.071
40°,20191001-1148-FRANKFURT_1-01-124,19.836,24.562,19.659,20.833,-2.751,7.316,-0.178,1.403,5.669,26.535,8.41,21.236,208.921,212.378,-6.705,31.718,12.782,339.07,-14.479,37.553,406.695,69.941
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-163,38.173,20.646,38.456,17.766,-23.167,14.958,-0.099,8.031,0.079,29.394,69.845,157.914,-226.998,417.349,341.415,360.33,116.715,-380.569,568.145,193.473,693.226,609.099
Salto C,0609-4-01-427,16.089,26.356,15.883,22.765,0.904,15.016,-0.432,1.176,4.858,24.299,-0.252,15.123,177.71,145.584,3.955,15.903,-0.261,369.949,2.189,29.934,388.66,34.011
Fliffis B,0609-4-01-341,30.456,24.37,30.826,21.958,-12.517,18.755,-0.074,2.558,-0.416,28.624,-49.859,88.951,-83.21,359.025,132.844,131.328,-96.93,-168.81,255.518,138.182,608.432,274.084
Barani A,20191007-1524-FRANKFURT_1-01-51,17.872,23.995,18.073,21.879,-1.766,7.146,0.143,5.187,3.536,25.711,-57.338,44.675,19.059,197.611,110.571,111.842,-95.752,32.008,180.991,99.024,286.781,224.778
Fliffis aus C,0115-MORITZ-03-191,33.019,25.895,33.286,23.794,-13.707,22.817,-0.791,4.075,-3.737,29.377,24.192,71.2,-163.112,376.54,-91.319,128.701,46.81,-318.212,-177.427,105.511,633.873,226.906
Von Bauch in Stand,0609-1-01-192,12.309,24.46,12.607,24.413,6.096,15.675,-0.263,1.042,6.827,18.873,3.818,15.084,22.806,70.064,-0.059,19.856,7.026,40.215,-0.904,25.785,86.708,35.861
Salto C,20190930-1247-FRANKFURT_2-01-47,16.864,21.603,17.056,20.002,-2.002,11.076,-0.109,1.934,3.725,23.113,-4.648,17.002,205.273,123.911,5.087,16.768,-8.29,345.138,3.115,30.411,346.303,31.943
Doppelsalto B,0609-1-01-403,27.747,22.328,27.645,19.922,-12.126,18.042,-0.611,2.228,0.378,26.032,0.19,43.045,370.091,265.899,-12.758,31.588,0.642,699.53,-24.287,70.903,731.345,68.212
Barani B,20191007-1159-FRANKFURT_1-01-247,18.437,22.962,18.452,20.676,-2.698,11.692,-0.278,2.971,5.129,24.45,0.872,20.356,-13.367,249.763,107.876,150.093,1.212,-20.966,174.182,28.013,321.136,203.394
Fliffis C,20191007-1524-FRANKFURT_1-01-146,40.886,23.045,40.963,18.368,-21.074,20.66,-0.863,5.111,-6.511,30.569,2.636,82.589,-233.728,425.178,145.293,178.55,4.764,-357.748,224.792,111.961,670.118,295.602
Salto C,0609-1-01-597,16.361,23.858,16.138,22.013,-1.113,8.889,-0.015,1.013,5.065,25.596,12.143,13.86,190.225,161.238,-6.101,17.183,23.066,361.314,-11.722,32.99,384.821,40.197
Salto C,0609-1-01-541,16.952,23.862,16.718,21.983,-1.325,10.723,0.006,1.304,4.886,25.303,17.112,17.843,190.085,191.153,-7.317,18.519,32.548,363.139,-14.041,42.979,379.566,40.378
Salto C,0110-MORITZ-01-30,16.524,26.549,16.474,23.996,0.494,12.768,-0.92,1.391,5.021,26.115,0.259,16.834,163.083,144.762,9.751,17.235,0.79,343.351,20.724,27.477,370.768,38.858
Fliffis B,0110-MORITZ-01-111,29.319,24.584,29.612,22.591,-11.425,21.396,-1.47,4.328,1.314,26.465,30.488,81.775,-164.321,367.183,-96.11,122.386,60.272,-327.846,-191.359,119.719,628.024,225.94
Salto B,0827-BK1-01-62,17.965,25.466,17.682,23.129,-0.21,13.892,-0.425,1.507,4.793,25.802,-1.294,16.883,179.297,157.868,5.758,22.045,-2.338,357.172,11.497,25.384,388.727,40.837
Salto C,20190930-1616-FRANKFURT_1-01-49,18.894,23.367,18.891,20.998,-3.197,10.017,0.023,1.58,4.143,26.193,-0.636,17.84,192.262,192.668,9.384,29.092,-1.522,346.765,16.704,28.746,380.261,53.424
Salto A,0827-BK1-01-111,15.857,24.63,15.561,22.732,0.85,10.54,-0.775,2.195,5.297,25.267,6.929,12.57,175.928,52.692,0.985,15.996,14.02,360.593,1.84,27.226,360.745,28.983
Salto C,20190930-1247-FRANKFURT_2-01-224,16.076,24.641,15.962,22.078,-1.743,8.435,0.142,2.777,5.712,25.857,2.944,19.8,193.952,88.681,-3.646,20.8,4.426,353.252,-11.501,27.749,354.651,37.301
Baby- Fliffis C,20191008-1157-FRANKFURT_1-01-263,24.219,24.681,25.216,23.012,-13.127,17.801,-0.69,3.557,-0.685,20.995,-26.444,45.001,-46.421,299.276,116.325,128.541,-41.804,-73.886,185.276,64.038,413.041,200.699
Fliffis aus C,20191001-1148-FRANKFURT_1-01-220,38.119,23.031,38.808,21.372,-22.226,22.625,-1.646,4.465,-2.409,27.67,52.808,37.914,-237.975,447.624,98.866,208.941,83.5,-369.916,149.765,96.451,700.854,245.158
Salto A,20191007-1150-FRANKFURT_2-01-86,15.989,19.937,15.862,17.442,-1.346,7.755,-0.241,1.399,3.321,22.631,8.084,26.179,211.512,54.99,-1.458,33.405,13.369,344.752,-6.79,35.769,344.752,44.169
Barani C,20190930-1247-FRANKFURT_2-01-242,18.098,24.877,18.245,22.727,-1.53,8.642,0.508,3.055,4.721,26.885,-60.855,57.349,-45.306,200.769,102.561,53.805,-118.24,-91.515,192.235,140.653,301.794,194.27
Baby- Fliffis C,20191007-1159-FRANKFURT_1-01-388,22.101,23.247,22.854,22.442,-12.658,17.575,0.124,3.172,1.724,19.604,-5.015,49.147,-109.437,298.19,109.592,153.48,-7.166,-180.079,176.383,72.412,440.102,232.598
Doppelsalto B,0609-1-01-344,29.595,22.866,29.42,20.092,-12.464,18.578,-0.142,1.68,-0.644,27.544,12.002,34.874,376.239,274.17,-5.076,25.513,22.304,706.865,-9.932,61.579,730.352,61.124
Doppelsalto C,0609-1-01-864,32.676,22.121,32.352,20.072,-16.232,21.998,-0.466,1.586,-3.655,26.467,-0.373,36.674,404.722,268.505,-9.815,30.66,-0.499,699.845,-16.968,49.784,702.382,60.866
Barani B,20191007-1159-FRANKFURT_1-01-118,17.38,23.556,17.38,21.265,-1.756,8.99,-0.388,2.658,4.88,25.418,-39.107,52.443,37.499,200.529,105.304,116.908,-65.493,61.318,174.894,80.992,289.887,226.771
Barani A,20190930-1153-FRANKFURT_1-01-79,16.266,23.698,16.437,22.048,-0.693,6.322,-0.482,1.603,4.228,26.299,-62.546,78.42,-4.517,152.91,104.559,79.884,-116.353,-7.284,190.534,141.891,265.282,203.186
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-251,38.946,21.502,39.518,17.771,-23.828,18.599,-0.49,9.132,1.222,26.9,128.236,188.041,-218.286,425.615,339.561,369.191,211.692,-363.615,558.004,238.245,712.396,607.202
Salto C,0609-1-01-59,17.652,24.148,17.463,22.328,-1.632,11.986,-0.391,1.023,5.178,25.274,4.186,21.292,183.99,206.029,-11.788,20.567,8.514,355.667,-23.143,38.708,391.88,42.418
Schraubensalto A,20191007-1150-FRANKFURT_2-01-97,17.969,20.489,17.846,17.709,-4.567,5.867,-0.87,3.995,4.11,23.957,56.081,104.533,120.406,167.996,208.192,176.118,91.423,196.536,335.908,156.303,306.926,349.557
3/4 Salto rw A,20191003-1152-FRANKFURT_1-01-42,13.668,25.076,13.102,20.912,3.777,14.348,0.082,2.005,4.92,21.92,-10.677,9.014,169.596,75.912,9.693,18.856,-19.833,315.863,10.713,22.734,318.237,38.31
Salto B,20190930-1247-FRANKFURT_2-01-266,19.422,24.16,19.399,21.386,-2.118,11.486,-0.541,1.194,4.323,26.355,-1.835,14.401,187.542,199.461,-4.319,19.555,-4.221,343.179,-13.306,25.496,405.556,41.981
