SprungID,Sprungtyp,0_mean_Acc_N_Fil,0_std_Acc_N_Fil,0_mean_Gyro_x_R,0_std_Gyro_x_R,0_mean_Gyro_y_R,0_std_Gyro_y_R,0_mean_Gyro_z_R,0_std_Gyro_z_R,0_mean_Gyro_x_Fil,0_std_Gyro_x_Fil,0_mean_Gyro_y_Fil,0_std_Gyro_y_Fil,0_mean_Gyro_z_Fil,0_std_Gyro_z_Fil,25_mean_Acc_N_Fil,25_std_Acc_N_Fil,25_mean_Gyro_x_R,25_std_Gyro_x_R,25_mean_Gyro_y_R,25_std_Gyro_y_R,25_mean_Gyro_z_R,25_std_Gyro_z_R,25_mean_Gyro_x_Fil,25_std_Gyro_x_Fil,25_mean_Gyro_y_Fil,25_std_Gyro_y_Fil,25_mean_Gyro_z_Fil,25_std_Gyro_z_Fil,50_mean_Acc_N_Fil,50_std_Acc_N_Fil,50_mean_Gyro_x_R,50_std_Gyro_x_R,50_mean_Gyro_y_R,50_std_Gyro_y_R,50_mean_Gyro_z_R,50_std_Gyro_z_R,50_mean_Gyro_x_Fil,50_std_Gyro_x_Fil,50_mean_Gyro_y_Fil,50_std_Gyro_y_Fil,50_mean_Gyro_z_Fil,50_std_Gyro_z_Fil,75_mean_Acc_N_Fil,75_std_Acc_N_Fil,75_mean_Gyro_x_R,75_std_Gyro_x_R,75_mean_Gyro_y_R,75_std_Gyro_y_R,75_mean_Gyro_z_R,75_std_Gyro_z_R,75_mean_Gyro_x_Fil,75_std_Gyro_x_Fil,75_mean_Gyro_y_Fil,75_std_Gyro_y_Fil,75_mean_Gyro_z_Fil,75_std_Gyro_z_Fil
0609-1-01-222,Bauchsprung,27.4,33.966,0.824,13.494,19.952,60.939,0.236,20.505,1.017,12.311,20.416,53.146,0.201,14.018,0.376,0.164,-5.911,3.177,-56.643,14.351,-4.25,5.887,-5.828,2.458,-56.698,12.664,-4.315,3.504,1.18,0.445,3.939,6.592,-72.769,27.925,-1.234,19.114,3.761,5.455,-73.234,25.239,-1.071,15.221,20.526,31.773,-6.548,21.803,32.54,106.613,-3.466,57.213,-6.14,11.781,31.788,90.419,-4.145,38.707
0609-1-01-223,Von Bauch in Stand,27.286,36.658,8.694,18.861,-11.075,67.649,5.817,43.778,8.431,12.965,-9.597,47.585,6.503,26.285,2.208,0.59,-6.44,26.79,-8.789,83.717,3.821,38.434,-6.181,20.375,-7.05,74.569,2.99,30.69,3.104,1.484,5.982,11.599,47.826,67.076,-2.554,28.705,5.491,7.89,45.981,64.471,-1.93,20.628,14.968,21.91,6.497,25.549,58.837,43.916,1.983,18.579,6.116,21.28,61.479,34.928,1.432,11.733
0609-1-01-224,Doppelsalto B,29.806,28.631,11.395,34.425,136.636,185.212,-28.324,50.266,11.63,24.086,138.195,161.505,-27.533,21.15,27.192,9.2,-20.75,19.473,522.245,231.818,2.825,35.669,-20.639,14.65,518.471,231.648,3.397,23.458,36.805,12.28,39.984,58.458,669.912,194.35,9.64,43.955,39.523,53.182,666.822,188.513,8.907,33.264,17.252,16.334,5.355,26.882,242.687,120.622,-38.675,31.96,5.734,24.34,241.35,107.273,-37.96,27.766
0609-1-01-233,Bauchsprung,21.796,30.511,-8.364,9.052,14.555,40.549,-8.591,20.251,-8.163,4.914,14.991,33.343,-8.796,13.268,1.042,0.278,2.901,8.001,-74.012,18.361,0.482,15.944,3.033,6.389,-74.025,17.323,0.775,13.204,1.266,0.44,5.761,9.049,-83.797,40.302,-10.978,18.936,5.593,5.95,-83.071,37.152,-11.042,15.745,21.488,33.499,-7.722,20.324,62.023,92.815,2.801,29.402,-7.371,12.683,60.41,68.746,3.75,20.683
0609-1-01-234,Von Bauch in Stand,25.824,34.653,4.993,16.412,-19.707,64.63,-9.422,37.815,4.989,8.351,-18.11,27.853,-10.497,15.071,1.074,0.44,2.89,6.429,-3.994,37.083,7.237,9.808,2.525,4.85,-4.123,35.168,7.33,6.96,1.824,0.934,-4.055,7.353,-0.623,72.531,-0.197,13.426,-3.78,4.425,-0.996,69.006,-0.343,9.847,19.228,27.677,5.315,23.11,122.222,103.06,14.334,29.552,5.178,19.609,123.156,91.111,14.679,19.451
0609-1-01-235,Doppelsalto B,25.628,24.244,17.563,34.224,120.188,170.544,-16.774,43.486,17.435,25.754,124.107,154.288,-17.562,21.863,28.648,9.084,-0.39,34.125,574.366,194.299,28.761,54.337,0.099,28.157,569.441,193.855,26.683,42.297,37.519,8.196,80.231,24.652,684.052,155.886,15.166,30.626,79.149,16.268,683.221,147.09,17.227,16.777,18.393,16.947,35.548,14.705,243.384,45.463,-22.087,18.528,36.381,11.511,242.259,37.011,-20.752,11.487
0609-1-01-236,Strecksprung,27.937,34.822,5.706,10.728,27.1,34.404,-5.472,25.588,5.689,8.68,29.499,36.219,-6.437,21.255,0.521,0.206,-0.091,9.139,-8.105,5.384,-23.449,10.625,-0.156,8.259,-8.15,3.8,-23.139,8.99,0.402,0.136,-4.476,2.388,-5.29,5.124,-14.844,10.224,-4.348,1.835,-5.236,4.6,-14.854,9.046,16.253,25.956,-7.01,11.822,12.038,12.806,21.509,22.978,-6.94,8.771,11.893,8.794,21.091,18.338
0609-1-01-241,Bauchsprung,22.194,31.325,1.068,13.854,10.807,61.119,6.831,21.156,0.936,10.919,10.11,45.714,6.666,13.331,0.958,0.194,-11.061,8.206,-93.18,30.46,-10.233,10.472,-10.598,7.015,-92.732,29.421,-10.369,9.436,1.721,0.34,16.544,12.557,-63.865,55.404,-0.657,23.248,15.919,9.824,-63.48,53.446,-0.675,19.967,22.102,33.448,-15.609,18.707,74.238,99.227,-13.913,41.26,-15.629,12.184,72.86,74.16,-11.603,16.874
0609-1-01-242,Von Bauch in Stand,24.89,35.95,-2.476,13.721,-26.174,60.778,9.49,40.578,-2.326,7.051,-25.503,52.709,7.222,23.446,0.65,0.254,-0.944,11.829,20.006,9.627,-1.762,25.132,-0.638,10.244,20.345,7.756,-1.972,23.477,0.682,0.304,0.531,4.294,12.588,9.689,-2.522,6.148,0.388,3.545,12.749,8.678,-2.193,5.133,20.306,27.501,7.328,22.99,77.84,83.708,15.58,20.004,6.862,16.908,78.844,79.124,15.676,15.982
0609-1-01-243,Doppelsalto B,24.967,24.382,13.098,37.233,145.632,210.554,-18.337,83.494,12.984,20.084,147.927,192.949,-19.143,29.198,29.582,9.577,-8.33,15.811,573.95,206.389,-4.484,27.456,-7.784,10.523,571.731,202.639,-3.68,16.636,33.562,16.711,40.163,38.881,626.958,233.77,-2.993,38.587,39.843,32.61,624.333,225.404,-2.576,23.025,18.149,16.355,22.861,14.254,241.034,140.864,-21.919,34.921,23.5,10.963,238.76,127.668,-22.183,29.185
