SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil
0609-1-01-181,Von Bauch in Stand,20.441,17.792,-16.761,8.6,17.102,-15.44,7.293,0.689,-6.528,3.733,-7.356,-6.923,3.617,-8.052,0.836,-3.707,9.357,0.076,-3.64,9.221,0.475,21.348,0.553,98.131,19.162,0.455,98.777,18.853
0110-MORITZ-01-48,Doppelsalto C,32.55,-12.03,159.965,-7.884,-12.094,163.018,-6.84,39.868,-30.359,639.931,15.573,-30.036,638.216,15.118,22.003,9.857,440.963,11.631,9.84,440.797,11.522,17.849,29.115,224.829,-0.843,28.742,222.961,-1.065
0115-MORITZ-03-115,Doppelsalto B,30.081,2.667,87.9,-0.68,2.798,92.53,-0.175,35.519,-56.046,628.965,-2.688,-56.056,625.105,-2.874,31.983,-15.861,560.485,14.092,-15.726,559.731,14.284,13.572,-4.523,178.219,6.897,-4.171,174.502,8.53
20191007-1159-FRANKFURT_1-01-384,Grätschwinkel,23.447,-6.848,-86.889,16.028,-6.412,-87.452,16.118,9.315,-0.135,-53.272,-7.437,0.174,-53.26,-7.709,4.42,-4.02,107.04,-4.761,-4.139,106.857,-3.723,19.387,-6.34,6.059,21.043,-5.529,5.519,19.137
0609-4-01-323,Salto C,27.529,-4.55,130.562,2.675,-5.223,131.463,3.068,11.636,-1.492,346.426,12.069,-1.25,344.761,11.329,3.232,3.508,132.527,7.164,3.333,132.394,7.313,9.33,8.067,114.849,0.705,7.797,111.468,0.272
20191008-1207-FRANKFURT_2-01-339,Doppelsalto C,26.611,-0.43,170.763,-24.217,0.588,174.067,-26.836,43.322,124.379,682.11,-49.922,124.445,678.179,-47.894,35.772,181.546,568.515,-108.458,180.287,566.23,-107.156,26.655,77.723,238.33,-79.247,75.582,235.91,-75.33
0115-CHARI-05-174,Voll- ein 1 3/4 Salto vw C,34.55,-60.866,-215.491,101.032,-62.088,-212.734,101.919,23.363,198.944,-45.389,414.516,198.504,-48.483,411.204,25.144,211.913,-376.87,14.381,213.593,-375.683,16.707,29.092,4.986,-221.873,44.437,4.847,-222.065,43.671
0609-1-01-581,Doppelsalto B,27.134,7.984,126.912,-19.319,7.658,129.473,-18.592,33.677,-49.482,668.099,6.495,-47.322,663.684,4.691,30.891,49.959,588.215,-2.661,48.407,588.403,-1.635,19.671,15.912,174.09,-5.25,14.928,173.377,-4.48
20190930-1153-FRANKFURT_1-01-237,Cody C,38.559,2.062,54.388,41.255,2.426,59.056,39.609,18.586,64.356,432.446,14.927,63.744,432.524,15.019,5.7,14.27,172.486,-0.628,14.469,172.251,-0.541,22.517,22.306,174.439,-12.751,22.062,174.414,-12.801
20190930-1247-FRANKFURT_2-01-293,Barani C,37.237,-50.106,-217.673,42.877,-47.79,-216.003,40.377,12.14,-56.59,-198.968,169.801,-56.371,-199.681,166.785,5.512,-81.251,37.655,159.622,-81.112,38.943,161.403,20.274,-9.307,142.937,75.132,-10.189,142.783,75.399
0827-BK2-02-63,Salto B,21.959,-1.495,33.079,-38.985,-0.92,35.847,-38.603,16.448,48.552,421.384,-17.536,48.233,417.577,-17.893,3.826,27.629,148.608,-47.135,27.677,149.712,-46.748,17.37,1.491,126.074,-17.242,1.4,125.22,-17.504
0609-1-01-206,Doppelsalto B,27.118,16.065,133.642,-23.365,15.706,135.555,-24.157,24.867,-46.898,523.494,22.85,-46.712,521.275,22.81,34.883,19.54,674.757,21.87,18.428,672.944,21.359,18.638,14.189,265.044,-29.998,15.46,264.317,-29.189
20191007-1524-FRANKFURT_1-01-55,Barani A,36.158,-42.619,-135.874,65.227,-42.563,-133.92,66.628,7.838,-129.834,-117.473,135.088,-129.391,-115.938,134.978,7.85,-104.708,92.61,191.416,-104.999,91.561,190.324,21.156,8.781,283.157,-9.483,8.84,282.82,2.1
0827-BK2-02-65,Salto B,25.693,0.625,-8.822,-35.025,0.247,-6.615,-35.137,19.398,-11.88,453.881,-28.433,-11.617,450.093,-28.628,4.05,10.769,120.275,-46.427,11.011,122.158,-46.346,15.224,-19.184,165.631,-17.927,-19.033,164.367,-17.609
20191008-1207-FRANKFURT_2-01-118,Barani A,31.91,-42.685,-144.605,91.121,-42.139,-150.656,82.126,10.185,-96.152,-159.184,191.22,-96.283,-157.467,191.469,9.506,-90.415,154.715,247.242,-89.766,153.207,246.273,21.509,28.903,238.231,-12.716,27.985,243.795,-3.955
0609-4-01-76,Fliffis B,53.512,-5.541,-446.033,14.637,-5.461,-440.429,14.011,22.522,-54.571,-180.124,201.359,-54.816,-180.235,201.244,21.025,-171.649,266.031,230.538,-171.307,263.748,230.183,20.749,20.724,266.508,25.119,19.44,261.647,25.948
