SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-140,Cody C,35.903,406.73,-1.807,35.903,406.73,1.807,60.255,511.495,56.819,3.117,11.021,13.404,26.521,235.41,-0.731,4.386,75.989,-4.627,1.879,84.31,-9.853,3.117,11.021,13.404,26.521,235.41,-0.731,4.386,75.989,-4.627,1.879,84.31,-6.24,20.821,115.785,22.279,26.547,235.41,13.7,4.501,75.989,6.706,8.387,84.31,14.133,114.95,-60.12,-6.28,-103.2,-49.55,-25.11,-32.41,16.129,112.24,-159.4,81.64,66.97,-135.04,64.42,19.834,-1.36,306.6,67.12,5.3,323.81,56.13,28.532,101.88,718.72,14.68,98.66,712.44,23.93,19.709,76.84,429.76,13.08,64.0,422.94,-3.06,6.296,2.28,189.44,-15.8,3.65,201.34,-12.58,5.036,14.84,182.44,-13.04,18.45,180.35,-12.93,5.465,1.2,116.2,7.16,1.29,116.74,8.31,6.932,1.44,109.12,-1.6,-2.4,107.71,5.23,2.597,19.44,186.88,15.0,19.71,198.22,2.45
20191007-1150-FRANKFURT_2-01-129,Barani A,-114.785,65.934,168.348,114.785,65.934,168.348,134.88,272.207,179.919,-11.577,-75.164,20.515,-65.811,-24.287,80.733,-43.376,58.203,53.523,5.979,107.182,13.578,11.577,75.164,20.515,65.811,24.287,80.733,43.376,-58.203,53.523,-5.979,24.685,13.578,11.963,75.419,25.581,65.811,31.404,80.733,43.376,58.203,54.128,13.731,107.182,19.477,84.219,-12.36,49.04,-59.32,9.27,-37.04,21.34,16.198,-13.08,-364.04,40.48,-9.64,-330.49,48.63,7.354,-66.68,-136.2,90.16,-64.35,-136.49,98.31,8.382,-115.48,-93.84,188.0,-115.09,-89.84,181.61,12.53,-198.52,-74.8,154.12,-196.87,-72.75,164.99,13.812,-173.96,88.36,262.48,-185.93,85.78,276.8,10.096,-104.44,177.28,142.4,-112.06,166.81,156.67,9.985,-47.36,125.44,57.44,-44.1,143.42,35.27,9.858,-9.76,227.4,38.08,-12.66,228.44,39.27,4.571,33.88,271.96,53.4,26.43,281.72,41.55
20191001-1202-FRANKFURT_2-01-131,Salto A,5.265,-338.62,-25.721,5.265,338.62,25.721,20.458,342.685,47.648,-1.801,-71.304,2.348,-3.061,-81.988,-11.286,4.457,-77.925,-7.252,5.671,-107.403,-9.53,1.801,71.304,2.348,3.061,81.988,6.59,-4.457,77.925,7.252,4.858,107.403,9.53,6.234,74.992,14.824,3.898,81.988,12.666,4.457,77.925,7.252,5.87,107.78,12.905,90.77,-169.28,508.8,662.2,-12.71,-175.15,-26.3,6.643,5.28,-206.48,35.6,0.0,-224.87,31.04,7.002,5.6,-21.0,3.12,2.59,-50.8,-4.23,8.048,-33.08,-138.36,3.16,-22.56,-156.2,-15.81,7.367,-8.68,-236.4,-21.4,-9.57,-234.89,-24.33,7.159,7.16,-208.44,-8.88,6.04,-204.91,-9.21,7.452,0.8,-206.68,-20.92,4.08,-203.2,-20.26,7.318,21.28,-173.32,-17.72,18.79,-172.51,-15.49,7.075,19.84,-182.8,7.64,17.85,-184.29,6.96,8.169,0.84,-338.88,-0.76,2.93,-335.96,-11.22
0827-BK2-01-106,Salto A,24.247,342.749,-6.861,24.247,342.749,6.861,28.974,342.762,26.08,7.757,62.122,-2.383,6.186,112.812,-0.393,6.865,91.698,0.013,3.439,76.118,-4.098,7.757,62.122,2.383,6.186,112.812,0.393,6.865,91.698,-0.013,3.439,76.118,4.098,8.374,62.134,7.89,8.184,112.812,5.845,6.992,91.698,7.313,5.425,76.118,5.033,99.008,18.8,40.08,25.12,15.63,60.95,16.58,7.612,2.32,128.0,-28.8,2.92,153.91,-15.26,7.004,32.4,78.8,-25.2,29.67,68.84,-19.19,7.252,22.0,232.64,-17.76,22.14,231.22,-13.97,6.016,-20.32,223.52,22.16,-11.72,229.77,14.28,6.366,28.16,213.84,-14.4,26.02,215.75,-8.65,5.927,6.08,189.52,12.16,7.49,188.94,12.47,5.184,11.44,160.48,-16.96,10.53,161.06,-17.18,5.251,20.24,125.36,-18.32,17.19,130.13,-17.93,6.243,3.52,132.16,-5.92,0.97,132.0,-3.99
20191003-1152-FRANKFURT_1-01-107,Strecksprung,5.518,3.718,9.64,5.518,3.718,9.64,22.844,58.088,35.499,1.201,6.925,2.899,2.256,-9.284,3.664,-3.426,18.657,0.384,5.487,-12.579,2.693,1.201,6.925,2.899,2.256,-4.566,3.664,-3.426,13.939,0.384,5.487,-12.579,2.693,4.93,10.998,5.634,3.11,11.845,6.902,5.374,18.657,9.822,9.431,16.59,13.142,79.324,-18.92,71.04,12.84,-16.56,79.28,-7.35,21.636,-12.16,-6.44,15.92,-11.05,-5.06,16.5,1.384,26.72,24.96,8.6,19.28,23.35,13.79,0.631,-7.84,-24.28,21.96,-2.86,-15.75,14.76,1.707,-0.64,-37.16,27.96,1.09,-36.9,23.72,1.123,12.08,-0.52,-6.36,8.96,-1.05,-6.41,0.722,12.4,61.84,-15.84,5.84,59.18,-18.26,0.629,-27.84,58.44,21.64,-23.32,54.33,30.22,1.783,-12.08,-0.96,14.4,-11.2,3.56,21.29,2.4,59.12,-74.52,37.96,52.66,-69.9,15.64
20191003-1152-FRANKFURT_1-01-65,Barani A,124.261,36.17,-180.207,124.261,36.17,180.207,155.423,233.408,183.226,7.424,-53.601,-21.678,69.215,-41.731,-58.387,55.425,33.497,-81.697,-7.802,98.005,-18.445,7.424,53.601,21.678,69.215,41.731,58.387,55.425,-33.497,81.697,-7.802,-25.665,18.445,21.391,58.042,21.775,69.215,41.731,58.387,55.425,35.63,81.697,9.393,98.005,21.367,79.465,-12.04,98.72,-28.6,-35.46,100.26,-10.96,20.838,-26.4,-192.2,-23.72,-20.4,-186.59,-32.6,4.761,74.96,-158.32,-69.36,76.09,-159.13,-66.28,6.57,105.52,-157.56,-71.2,103.77,-150.94,-71.07,9.241,183.48,-82.84,-169.32,188.98,-85.25,-175.59,11.176,261.0,-28.52,-205.84,256.83,-31.14,-205.12,10.713,169.76,60.36,-231.24,169.65,63.63,-230.59,10.192,29.6,162.28,-152.88,35.96,153.53,-153.17,8.775,-12.2,228.8,-37.76,-9.85,229.35,-39.74,5.496,-41.4,330.96,-78.28,-42.57,318.58,-61.67
20191001-1148-FRANKFURT_1-01-74,Barani A,-82.757,53.425,184.644,82.757,53.425,184.644,92.42,283.308,194.906,-1.573,-67.13,27.516,-49.976,-46.153,87.082,-26.025,55.134,69.306,-5.182,111.574,0.74,1.573,67.13,27.516,49.976,46.153,87.082,26.025,-55.134,69.306,5.182,-4.724,0.74,10.045,67.13,28.175,49.976,49.47,87.082,26.025,55.134,69.306,6.374,111.574,10.343,97.496,-0.0,-83.96,-73.64,20.72,-73.44,0.71,6.002,12.96,-414.68,70.32,13.88,-339.01,66.02,7.976,-33.28,-96.44,108.52,-33.31,-104.56,107.86,8.292,-94.92,-209.96,126.12,-96.58,-197.11,126.63,11.103,-141.12,-121.0,271.56,-140.94,-117.22,270.47,10.4,-152.08,71.16,313.32,-149.26,63.4,314.21,8.485,-74.08,143.88,223.8,-74.85,146.2,223.42,8.039,-7.2,151.08,62.64,-12.84,149.9,64.2,9.111,-11.84,230.32,24.96,-15.47,219.67,17.15,4.083,6.12,336.24,30.12,3.99,335.44,15.24
20191008-1207-FRANKFURT_2-01-172,Barani A,-125.3,30.09,188.5,125.3,30.09,188.5,148.59,272.096,208.931,-16.29,-72.645,30.422,-68.874,-42.562,55.152,-49.065,42.145,87.772,8.928,103.152,15.155,16.29,72.645,30.422,68.874,42.562,55.152,49.065,-42.145,87.772,-8.928,-42.971,15.155,19.363,80.086,41.807,68.874,42.562,55.152,49.065,46.297,87.772,11.289,103.152,24.2,96.593,25.76,193.28,-13.04,-5.91,142.69,23.9,13.656,-102.12,-498.96,104.88,-90.25,-409.52,71.35,9.749,-55.44,-89.92,114.32,-46.44,-94.91,99.33,6.024,-80.64,-110.88,90.56,-80.28,-104.32,84.28,10.349,-204.28,-125.4,174.76,-202.93,-123.34,166.48,10.159,-260.44,-14.76,220.52,-254.62,-26.66,220.12,10.414,-132.04,101.68,256.24,-132.2,95.68,254.99,7.677,-31.24,165.72,119.6,-34.8,165.14,122.05,7.358,-6.16,197.16,43.24,-5.62,196.75,46.71,5.193,12.12,247.0,46.6,19.04,239.89,36.77
20191007-1150-FRANKFURT_2-01-234,Salto B,33.252,337.772,-12.325,33.252,337.772,12.325,36.415,392.2,36.801,3.295,20.932,-2.867,7.22,131.81,-8.493,12.935,109.094,-0.139,9.802,75.936,-0.826,3.295,20.932,2.867,7.22,131.81,8.493,12.935,109.094,0.139,9.802,75.936,0.826,6.339,57.42,13.058,7.235,149.751,8.944,12.935,109.094,4.293,9.906,75.936,10.507,87.166,11.96,145.36,14.16,12.75,182.82,-48.39,4.157,-2.52,123.8,28.6,1.35,153.49,5.6,9.736,-5.36,-76.88,32.04,5.71,-87.25,33.54,5.152,14.12,19.72,1.8,10.86,55.15,-6.46,16.686,37.08,525.52,-14.16,31.44,512.26,-21.04,23.223,52.04,498.44,-13.44,41.59,484.27,-3.48,8.119,7.0,309.56,26.52,20.31,317.54,9.84,7.741,39.0,123.52,-1.84,34.61,122.05,-1.85,6.893,4.44,114.0,10.16,6.29,114.63,10.98,4.72,18.16,243.12,-50.92,22.65,235.28,-42.43
20191003-1152-FRANKFURT_1-01-114,Strecksprung,-5.24,0.315,-1.048,5.24,0.315,1.048,18.241,104.729,27.807,-4.442,33.319,1.316,0.77,-6.264,3.013,1.618,-29.387,1.839,-3.186,2.647,-7.215,4.442,33.319,1.316,-0.77,-6.264,3.013,-1.618,-24.724,1.839,3.186,-2.016,-5.12,7.406,33.319,9.913,2.235,14.831,6.535,2.874,29.387,3.842,5.726,27.191,7.517,87.454,-31.52,110.88,-20.28,-20.84,110.04,-24.28,9.148,-43.72,52.6,27.28,-33.41,67.09,18.32,1.486,10.64,68.08,25.68,5.63,60.44,28.2,1.588,12.96,29.52,26.32,11.29,26.05,23.04,0.219,-3.68,-43.56,-11.04,-3.77,-40.67,-8.59,0.822,-7.16,-54.96,21.32,-5.18,-54.63,20.53,1.02,-2.12,-68.32,13.32,-1.3,-65.54,12.17,1.368,10.56,-77.48,2.48,12.55,-76.13,3.07,0.677,7.8,-38.32,-5.24,5.19,-44.31,-7.1,6.58,-3.08,-13.36,-2.32,-8.46,-8.88,-5.01
