SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-mean_ACC_N,0-std_ACC_N,0-mean_ACC_N_ROT_filtered,0-std_ACC_N_ROT_filtered,0-mean_Acc_x_Fil,0-std_Acc_x_Fil,0-mean_Acc_y_Fil,0-std_Acc_y_Fil,0-mean_Acc_z_Fil,0-std_Acc_z_Fil,0-mean_Gyro_x_Fil,0-std_Gyro_x_Fil,0-mean_Gyro_y_Fil,0-std_Gyro_y_Fil,0-mean_Gyro_z_Fil,0-std_Gyro_z_Fil,25-mean_ACC_N,25-std_ACC_N,25-mean_ACC_N_ROT_filtered,25-std_ACC_N_ROT_filtered,25-mean_Acc_x_Fil,25-std_Acc_x_Fil,25-mean_Acc_y_Fil,25-std_Acc_y_Fil,25-mean_Acc_z_Fil,25-std_Acc_z_Fil,25-mean_Gyro_x_Fil,25-std_Gyro_x_Fil,25-mean_Gyro_y_Fil,25-std_Gyro_y_Fil,25-mean_Gyro_z_Fil,25-std_Gyro_z_Fil,50-mean_ACC_N,50-std_ACC_N,50-mean_ACC_N_ROT_filtered,50-std_ACC_N_ROT_filtered,50-mean_Acc_x_Fil,50-std_Acc_x_Fil,50-mean_Acc_y_Fil,50-std_Acc_y_Fil,50-mean_Acc_z_Fil,50-std_Acc_z_Fil,50-mean_Gyro_x_Fil,50-std_Gyro_x_Fil,50-mean_Gyro_y_Fil,50-std_Gyro_y_Fil,50-mean_Gyro_z_Fil,50-std_Gyro_z_Fil,75-mean_ACC_N,75-std_ACC_N,75-mean_ACC_N_ROT_filtered,75-std_ACC_N_ROT_filtered,75-mean_Acc_x_Fil,75-std_Acc_x_Fil,75-mean_Acc_y_Fil,75-std_Acc_y_Fil,75-mean_Acc_z_Fil,75-std_Acc_z_Fil,75-mean_Gyro_x_Fil,75-std_Gyro_x_Fil,75-mean_Gyro_y_Fil,75-std_Gyro_y_Fil,75-mean_Gyro_z_Fil,75-std_Gyro_z_Fil
0609-4-01-502,Salto C,7.083,368.033,-0.637,27.034,372.306,24.769,25.729,31.845,34.986,34.287,9.115,22.777,-0.912,0.949,11.244,28.218,-0.27,16.317,142.353,118.777,1.182,12.538,11.646,5.501,12.576,3.311,-8.023,5.545,-0.323,0.709,-4.458,4.56,14.721,4.874,335.531,118.884,8.334,10.949,3.56,0.438,3.693,0.368,-1.488,0.416,-0.615,0.38,-3.077,0.413,-1.72,7.534,125.213,16.129,2.127,6.063,22.783,35.959,11.165,13.834,7.521,18.672,-0.454,1.238,14.417,31.098,1.834,14.874,131.264,88.276,-2.145,13.116
0609-4-01-503,Fliffis B,-59.556,-229.06,248.803,118.62,617.607,272.524,49.309,27.557,56.351,26.791,-17.408,32.008,0.37,1.93,16.431,34.079,-8.733,25.986,-529.767,216.002,7.017,40.261,27.505,11.443,31.049,10.828,-24.806,12.232,1.31,3.669,-8.451,3.224,23.681,41.686,-315.264,236.278,148.786,112.202,20.794,3.096,20.842,2.628,-11.271,0.786,-1.508,1.819,-17.119,3.219,-145.247,67.018,120.97,147.916,312.188,85.327,26.522,31.238,17.258,10.255,-1.938,15.479,-0.886,1.101,11.684,32.96,6.475,27.176,258.551,47.458,59.595,37.188
0609-4-01-508,Salto C,24.843,344.839,-1.425,29.432,344.839,20.593,22.457,30.809,33.272,32.776,9.889,19.805,-1.142,1.928,13.926,25.217,12.068,22.18,132.798,37.967,11.564,13.258,5.589,0.697,5.184,0.723,-3.921,1.182,-0.265,0.261,-3.832,0.231,6.516,2.57,177.233,37.96,-9.844,7.995,6.835,0.604,6.897,0.465,-5.859,0.542,-0.343,0.173,-3.409,0.364,15.265,5.624,245.998,12.412,6.806,3.597,21.988,27.674,12.17,12.276,7.946,19.376,-1.118,1.195,10.187,24.245,23.506,9.784,236.183,56.365,-1.091,10.681
0609-4-01-510,Salto C,13.425,337.331,12.196,20.291,337.346,19.096,22.91,26.017,32.639,27.131,7.181,18.256,-0.134,0.758,11.167,23.916,-0.47,11.243,239.045,56.467,15.451,14.681,7.766,2.067,7.901,1.382,-4.498,2.053,-0.209,0.477,-5.541,2.038,3.179,7.106,194.16,55.566,9.261,8.724,7.43,0.651,7.324,0.368,-5.588,0.489,-0.284,0.167,-4.846,0.516,12.326,2.863,200.182,13.944,10.018,5.341,22.113,23.31,13.26,9.601,6.514,19.249,-0.339,0.503,8.433,20.989,20.285,7.821,235.252,75.622,7.786,7.857
0609-4-01-514,Barani C,-51.499,-65.531,216.641,76.8,290.061,228.803,33.805,28.018,42.369,28.755,0.276,19.616,0.78,2.062,17.216,31.794,-14.529,24.39,-263.008,179.179,52.731,31.904,9.829,2.907,11.221,2.826,-5.195,1.543,1.051,2.499,-7.73,1.722,-45.811,37.48,-104.635,93.986,202.024,64.573,5.798,1.405,6.23,1.368,-2.596,0.497,-1.555,0.572,-4.899,1.217,-64.207,26.937,93.563,33.621,184.472,58.225,21.678,32.119,10.747,13.048,6.362,16.585,-0.416,1.692,13.379,29.396,13.705,15.582,139.234,60.385,38.492,32.351
0609-4-01-516,Barani C,-50.912,-66.761,223.376,68.91,279.933,233.326,33.446,28.909,42.703,30.407,-0.222,20.271,1.008,2.371,17.268,32.048,-7.467,13.488,-282.207,176.682,58.052,39.719,9.828,2.756,10.919,2.419,-5.506,1.379,0.728,2.305,-7.43,1.974,-36.013,37.521,-78.413,94.349,211.752,65.052,5.579,1.258,6.139,1.369,-2.433,0.51,-1.629,0.624,-4.73,1.029,-70.318,31.337,97.895,30.858,175.01,44.832,22.444,31.21,11.718,13.485,5.859,16.431,-0.918,0.805,14.209,29.179,5.755,16.927,128.963,44.553,41.249,26.003
0609-4-01-518,Barani C,-42.135,-41.292,220.596,80.122,281.365,229.599,28.848,30.375,39.603,32.482,-0.193,16.016,0.219,1.274,17.033,32.317,13.805,21.273,-249.488,139.249,48.822,44.924,10.635,3.645,10.697,1.509,-5.216,1.853,0.63,2.145,-7.977,2.5,-54.693,47.005,-81.106,58.765,217.285,56.913,6.121,1.242,6.519,1.217,-3.051,0.523,-1.319,0.522,-5.072,1.001,-63.449,32.055,104.911,31.307,179.434,50.752,22.872,31.585,12.107,13.178,4.338,15.031,-0.851,1.407,15.144,30.201,15.396,13.05,146.965,43.836,32.011,35.197
0609-4-01-520,Barani C,-41.929,-97.955,218.87,66.793,292.303,225.865,33.478,29.408,42.488,31.01,-0.492,19.293,0.067,1.927,18.956,32.575,-2.515,15.205,-282.277,184.63,37.891,26.554,10.049,2.764,11.263,2.743,-5.763,1.656,0.86,1.842,-7.324,2.31,-34.821,37.106,-112.79,106.28,177.091,54.845,6.028,1.619,6.617,1.571,-2.735,0.412,-1.37,0.53,-5.097,1.621,-64.385,23.805,74.991,58.585,211.241,53.876,21.747,31.379,11.076,13.366,5.509,15.876,-0.791,1.632,14.145,29.123,12.863,15.979,122.647,52.642,47.981,34.798
0609-4-01-522,Barani C,-31.218,-52.15,223.777,53.092,297.721,237.761,29.58,30.55,40.235,32.048,1.405,16.114,0.599,1.769,17.134,32.367,-3.788,14.378,-241.13,143.2,41.523,35.058,9.87,2.464,9.784,1.679,-5.916,1.642,0.803,1.563,-7.415,1.31,-34.545,22.073,-117.015,50.577,206.339,65.547,6.949,1.227,7.149,1.15,-3.921,0.697,-1.279,0.448,-5.522,0.88,-40.353,30.039,107.699,45.957,202.472,52.044,22.223,30.813,11.971,12.882,4.288,15.095,-0.931,1.325,14.924,29.198,12.802,14.197,149.495,35.018,31.892,39.847
0609-4-01-524,Barani C,-13.308,-78.825,228.608,52.861,308.49,242.939,33.45,28.791,42.481,30.491,-1.237,18.408,0.98,3.611,18.312,32.564,7.046,23.854,-281.184,184.403,52.221,42.919,10.3,2.451,11.322,2.51,-6.393,1.686,0.37,1.955,-7.02,2.667,-6.72,27.107,-113.163,107.147,204.719,80.812,5.833,1.059,6.436,1.475,-3.12,0.523,-1.211,0.6,-4.775,0.879,-42.06,25.224,99.517,43.905,200.148,49.873,23.275,31.725,12.476,14.123,4.658,15.44,-0.572,2.062,15.726,30.287,13.363,9.989,137.594,38.411,35.768,41.196
