SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-ACC_N,0-ACC_N_ROT_filtered,0-Acc_x_Fil,0-Acc_y_Fil,0-Acc_z_Fil,0-Gyro_x_Fil,0-Gyro_y_Fil,0-Gyro_z_Fil,25-ACC_N,25-ACC_N_ROT_filtered,25-Acc_x_Fil,25-Acc_y_Fil,25-Acc_z_Fil,25-Gyro_x_Fil,25-Gyro_y_Fil,25-Gyro_z_Fil,50-ACC_N,50-ACC_N_ROT_filtered,50-Acc_x_Fil,50-Acc_y_Fil,50-Acc_z_Fil,50-Gyro_x_Fil,50-Gyro_y_Fil,50-Gyro_z_Fil,75-ACC_N,75-ACC_N_ROT_filtered,75-Acc_x_Fil,75-Acc_y_Fil,75-Acc_z_Fil,75-Gyro_x_Fil,75-Gyro_y_Fil,75-Gyro_z_Fil
0609-1-01-515,Salto C,26.028,359.13,-16.64,41.893,385.624,46.902,27.399,36.851,1.768,-0.159,15.047,9.224,63.238,-14.238,27.399,36.851,1.768,-0.159,15.047,9.224,63.238,-14.238,27.399,36.851,1.768,-0.159,15.047,9.224,63.238,-14.238,27.399,36.851,1.768,-0.159,15.047,9.224,63.238,-14.238
0609-1-01-516,Doppelsalto B,20.76,703.267,-27.682,75.437,741.082,78.419,28.492,38.334,-3.066,-0.36,12.66,14.557,127.326,-27.712,28.492,38.334,-3.066,-0.36,12.66,14.557,127.326,-27.712,28.492,38.334,-3.066,-0.36,12.66,14.557,127.326,-27.712,28.492,38.334,-3.066,-0.36,12.66,14.557,127.326,-27.712
0609-1-01-521,Salto C,39.939,364.702,-17.85,50.543,381.811,44.62,28.054,37.334,3.149,-0.149,14.514,7.032,97.273,-25.654,28.054,37.334,3.149,-0.149,14.514,7.032,97.273,-25.654,28.054,37.334,3.149,-0.149,14.514,7.032,97.273,-25.654,28.054,37.334,3.149,-0.149,14.514,7.032,97.273,-25.654
0609-1-01-522,Doppelsalto B,14.74,696.913,-19.678,64.031,730.386,65.11,28.406,38.425,-2.583,0.831,12.851,9.502,118.29,-35.1,28.406,38.425,-2.583,0.831,12.851,9.502,118.29,-35.1,28.406,38.425,-2.583,0.831,12.851,9.502,118.29,-35.1,28.406,38.425,-2.583,0.831,12.851,9.502,118.29,-35.1
0609-1-01-526,Salto C,20.604,363.428,-18.807,37.028,378.412,44.472,28.286,37.563,2.837,-0.62,15.235,3.984,82.113,-28.378,28.286,37.563,2.837,-0.62,15.235,3.984,82.113,-28.378,28.286,37.563,2.837,-0.62,15.235,3.984,82.113,-28.378,28.286,37.563,2.837,-0.62,15.235,3.984,82.113,-28.378
0609-1-01-527,Doppelsalto B,38.343,700.887,-26.67,79.766,727.279,71.949,31.594,40.118,-3.671,-0.423,12.842,13.652,135.402,-19.366,31.594,40.118,-3.671,-0.423,12.842,13.652,135.402,-19.366,31.594,40.118,-3.671,-0.423,12.842,13.652,135.402,-19.366,31.594,40.118,-3.671,-0.423,12.842,13.652,135.402,-19.366
0609-1-01-532,Salto C,19.475,362.425,-23.01,40.55,391.567,41.18,26.923,36.553,1.788,0.514,14.881,6.122,76.481,-18.685,26.923,36.553,1.788,0.514,14.881,6.122,76.481,-18.685,26.923,36.553,1.788,0.514,14.881,6.122,76.481,-18.685,26.923,36.553,1.788,0.514,14.881,6.122,76.481,-18.685
0609-1-01-533,Doppelsalto B,28.201,693.832,-13.693,60.299,719.086,60.1,29.611,38.907,-2.033,1.069,12.787,1.452,125.582,-23.872,29.611,38.907,-2.033,1.069,12.787,1.452,125.582,-23.872,29.611,38.907,-2.033,1.069,12.787,1.452,125.582,-23.872,29.611,38.907,-2.033,1.069,12.787,1.452,125.582,-23.872
0609-1-01-541,Salto C,32.548,363.139,-14.041,42.979,379.566,40.378,26.718,36.251,2.21,-0.463,15.263,6.322,74.452,-20.345,26.718,36.251,2.21,-0.463,15.263,6.322,74.452,-20.345,26.718,36.251,2.21,-0.463,15.263,6.322,74.452,-20.345,26.718,36.251,2.21,-0.463,15.263,6.322,74.452,-20.345
0609-1-01-542,Doppelsalto B,6.237,708.416,-40.012,81.746,739.619,66.509,29.135,38.478,-2.549,0.298,12.803,13.446,123.885,-36.951,29.135,38.478,-2.549,0.298,12.803,13.446,123.885,-36.951,29.135,38.478,-2.549,0.298,12.803,13.446,123.885,-36.951,29.135,38.478,-2.549,0.298,12.803,13.446,123.885,-36.951
0609-1-01-545,Salto C,20.984,366.503,-11.132,33.05,379.581,37.475,27.481,36.958,3.561,0.037,14.915,3.394,81.817,-14.644,27.481,36.958,3.561,0.037,14.915,3.394,81.817,-14.644,27.481,36.958,3.561,0.037,14.915,3.394,81.817,-14.644,27.481,36.958,3.561,0.037,14.915,3.394,81.817,-14.644
0609-1-01-546,Doppelsalto B,-39.678,705.833,-7.622,82.636,728.524,60.021,29.948,39.999,-1.799,-0.37,13.539,-1.489,113.907,-20.063,29.948,39.999,-1.799,-0.37,13.539,-1.489,113.907,-20.063,29.948,39.999,-1.799,-0.37,13.539,-1.489,113.907,-20.063,29.948,39.999,-1.799,-0.37,13.539,-1.489,113.907,-20.063
0609-1-01-549,Salto C,25.094,361.579,-29.65,35.41,379.098,39.924,26.841,36.816,3.418,0.073,14.594,12.492,106.564,-24.434,26.841,36.816,3.418,0.073,14.594,12.492,106.564,-24.434,26.841,36.816,3.418,0.073,14.594,12.492,106.564,-24.434,26.841,36.816,3.418,0.073,14.594,12.492,106.564,-24.434
0609-1-01-550,Doppelsalto B,31.524,703.472,-20.723,80.993,725.197,68.921,29.124,38.91,-2.432,0.823,12.504,4.4,134.366,-22.754,29.124,38.91,-2.432,0.823,12.504,4.4,134.366,-22.754,29.124,38.91,-2.432,0.823,12.504,4.4,134.366,-22.754,29.124,38.91,-2.432,0.823,12.504,4.4,134.366,-22.754
0609-1-01-554,Salto C,34.422,358.971,-34.26,44.507,373.849,41.254,26.601,36.506,2.271,0.098,15.438,21.227,76.896,-17.806,26.601,36.506,2.271,0.098,15.438,21.227,76.896,-17.806,26.601,36.506,2.271,0.098,15.438,21.227,76.896,-17.806,26.601,36.506,2.271,0.098,15.438,21.227,76.896,-17.806
0609-1-01-555,Doppelsalto B,20.664,704.555,-28.688,76.005,740.823,59.694,30.69,39.327,-3.655,0.693,11.584,10.763,137.679,-25.806,30.69,39.327,-3.655,0.693,11.584,10.763,137.679,-25.806,30.69,39.327,-3.655,0.693,11.584,10.763,137.679,-25.806,30.69,39.327,-3.655,0.693,11.584,10.763,137.679,-25.806
0609-1-01-560,Salto C,32.246,361.447,-11.41,42.915,389.111,41.197,26.972,36.879,2.096,-0.437,14.034,5.573,96.694,-20.885,26.972,36.879,2.096,-0.437,14.034,5.573,96.694,-20.885,26.972,36.879,2.096,-0.437,14.034,5.573,96.694,-20.885,26.972,36.879,2.096,-0.437,14.034,5.573,96.694,-20.885
0609-1-01-561,Doppelsalto B,11.759,709.288,-13.703,62.406,742.467,72.529,30.249,39.995,-2.733,-0.101,13.025,3.73,120.354,-25.353,30.249,39.995,-2.733,-0.101,13.025,3.73,120.354,-25.353,30.249,39.995,-2.733,-0.101,13.025,3.73,120.354,-25.353,30.249,39.995,-2.733,-0.101,13.025,3.73,120.354,-25.353
0609-1-01-564,Salto C,11.742,361.428,-18.43,30.431,391.054,40.464,26.82,36.629,2.508,-0.241,14.851,4.426,72.186,-15.639,26.82,36.629,2.508,-0.241,14.851,4.426,72.186,-15.639,26.82,36.629,2.508,-0.241,14.851,4.426,72.186,-15.639,26.82,36.629,2.508,-0.241,14.851,4.426,72.186,-15.639
0609-1-01-565,Doppelsalto B,9.74,710.108,-20.68,67.399,736.79,60.221,29.258,39.034,-2.307,0.37,12.46,4.455,128.157,-30.809,29.258,39.034,-2.307,0.37,12.46,4.455,128.157,-30.809,29.258,39.034,-2.307,0.37,12.46,4.455,128.157,-30.809,29.258,39.034,-2.307,0.37,12.46,4.455,128.157,-30.809
0609-1-01-568,Salto C,26.068,359.098,-15.204,44.448,382.4,40.433,27.907,37.303,2.505,0.023,15.811,0.62,58.85,-13.361,27.907,37.303,2.505,0.023,15.811,0.62,58.85,-13.361,27.907,37.303,2.505,0.023,15.811,0.62,58.85,-13.361,27.907,37.303,2.505,0.023,15.811,0.62,58.85,-13.361
0609-1-01-569,Doppelsalto B,16.555,705.903,-22.061,72.608,733.206,65.115,30.816,39.885,-2.275,1.489,13.205,3.727,121.311,-40.54,30.816,39.885,-2.275,1.489,13.205,3.727,121.311,-40.54,30.816,39.885,-2.275,1.489,13.205,3.727,121.311,-40.54,30.816,39.885,-2.275,1.489,13.205,3.727,121.311,-40.54
0609-1-01-572,Salto C,22.792,362.544,-19.36,36.55,386.64,50.433,25.919,35.744,2.165,-0.2,15.685,7.839,77.71,-21.3,25.919,35.744,2.165,-0.2,15.685,7.839,77.71,-21.3,25.919,35.744,2.165,-0.2,15.685,7.839,77.71,-21.3,25.919,35.744,2.165,-0.2,15.685,7.839,77.71,-21.3
0609-1-01-573,Doppelsalto B,1.602,706.616,-36.967,64.982,735.774,73.585,28.898,37.974,-1.593,1.018,12.65,4.552,126.339,-29.521,28.898,37.974,-1.593,1.018,12.65,4.552,126.339,-29.521,28.898,37.974,-1.593,1.018,12.65,4.552,126.339,-29.521,28.898,37.974,-1.593,1.018,12.65,4.552,126.339,-29.521
0609-1-01-576,Salto C,27.372,361.063,-14.374,39.177,372.061,34.694,26.294,36.353,3.097,-0.735,14.902,6.689,115.626,-17.939,26.294,36.353,3.097,-0.735,14.902,6.689,115.626,-17.939,26.294,36.353,3.097,-0.735,14.902,6.689,115.626,-17.939,26.294,36.353,3.097,-0.735,14.902,6.689,115.626,-17.939
0609-1-01-577,Doppelsalto B,0.195,705.745,-30.783,74.172,738.26,62.535,29.597,38.165,-3.504,0.745,12.301,2.278,141.229,-35.429,29.597,38.165,-3.504,0.745,12.301,2.278,141.229,-35.429,29.597,38.165,-3.504,0.745,12.301,2.278,141.229,-35.429,29.597,38.165,-3.504,0.745,12.301,2.278,141.229,-35.429
0609-1-01-583,Salto C,21.667,358.667,-16.467,33.312,378.666,48.014,27.226,36.614,2.977,0.31,14.908,4.966,69.695,-15.62,27.226,36.614,2.977,0.31,14.908,4.966,69.695,-15.62,27.226,36.614,2.977,0.31,14.908,4.966,69.695,-15.62,27.226,36.614,2.977,0.31,14.908,4.966,69.695,-15.62
0609-1-01-584,Doppelsalto B,11.353,722.899,-8.197,64.995,768.344,66.723,30.041,39.26,-2.174,-0.067,12.616,7.084,130.376,-18.813,30.041,39.26,-2.174,-0.067,12.616,7.084,130.376,-18.813,30.041,39.26,-2.174,-0.067,12.616,7.084,130.376,-18.813,30.041,39.26,-2.174,-0.067,12.616,7.084,130.376,-18.813
0609-1-01-588,Salto C,0.364,361.767,-25.573,28.244,378.013,40.834,26.585,36.191,2.803,-0.264,15.599,5.533,64.679,-24.546,26.585,36.191,2.803,-0.264,15.599,5.533,64.679,-24.546,26.585,36.191,2.803,-0.264,15.599,5.533,64.679,-24.546,26.585,36.191,2.803,-0.264,15.599,5.533,64.679,-24.546
0609-1-01-589,Doppelsalto B,19.443,716.005,-8.638,59.296,751.981,60.588,31.493,40.83,-2.132,-0.144,12.824,7.946,130.937,-30.801,31.493,40.83,-2.132,-0.144,12.824,7.946,130.937,-30.801,31.493,40.83,-2.132,-0.144,12.824,7.946,130.937,-30.801,31.493,40.83,-2.132,-0.144,12.824,7.946,130.937,-30.801
0609-1-01-591,Salto C,21.689,360.268,-18.871,34.108,369.587,39.686,25.902,36.024,3.21,0.562,15.842,-1.827,67.059,-13.419,25.902,36.024,3.21,0.562,15.842,-1.827,67.059,-13.419,25.902,36.024,3.21,0.562,15.842,-1.827,67.059,-13.419,25.902,36.024,3.21,0.562,15.842,-1.827,67.059,-13.419
0609-1-01-592,Doppelsalto B,-8.352,705.915,-28.089,77.152,741.72,67.131,30.584,39.438,-2.695,0.989,13.02,-1.103,123.373,-34.424,30.584,39.438,-2.695,0.989,13.02,-1.103,123.373,-34.424,30.584,39.438,-2.695,0.989,13.02,-1.103,123.373,-34.424,30.584,39.438,-2.695,0.989,13.02,-1.103,123.373,-34.424
0609-1-01-594,Salto C,13.268,365.329,-21.575,29.086,383.653,43.817,26.919,36.607,3.762,0.046,15.611,6.517,73.302,-23.888,26.919,36.607,3.762,0.046,15.611,6.517,73.302,-23.888,26.919,36.607,3.762,0.046,15.611,6.517,73.302,-23.888,26.919,36.607,3.762,0.046,15.611,6.517,73.302,-23.888
0609-1-01-595,Doppelsalto B,11.288,704.22,-19.768,70.807,740.575,52.211,30.344,39.916,-2.231,0.275,12.802,3.021,126.99,-22.923,30.344,39.916,-2.231,0.275,12.802,3.021,126.99,-22.923,30.344,39.916,-2.231,0.275,12.802,3.021,126.99,-22.923,30.344,39.916,-2.231,0.275,12.802,3.021,126.99,-22.923
0609-1-01-597,Salto C,23.066,361.314,-11.722,32.99,384.821,40.197,26.608,36.243,2.338,0.035,15.705,9.64,85.392,-10.243,26.608,36.243,2.338,0.035,15.705,9.64,85.392,-10.243,26.608,36.243,2.338,0.035,15.705,9.64,85.392,-10.243,26.608,36.243,2.338,0.035,15.705,9.64,85.392,-10.243
0609-1-01-598,Doppelsalto B,13.295,699.115,-18.838,55.355,736.002,57.277,30.194,39.267,-2.907,0.338,12.683,9.892,125.691,-23.393,30.194,39.267,-2.907,0.338,12.683,9.892,125.691,-23.393,30.194,39.267,-2.907,0.338,12.683,9.892,125.691,-23.393,30.194,39.267,-2.907,0.338,12.683,9.892,125.691,-23.393
0609-1-01-605,Salto C,24.374,356.542,-18.606,36.084,378.925,40.594,26.454,36.26,1.9,-0.43,15.817,10.072,61.016,-15.083,26.454,36.26,1.9,-0.43,15.817,10.072,61.016,-15.083,26.454,36.26,1.9,-0.43,15.817,10.072,61.016,-15.083,26.454,36.26,1.9,-0.43,15.817,10.072,61.016,-15.083
0609-1-01-606,Doppelsalto B,6.138,711.673,-22.336,75.752,756.834,66.256,30.429,39.639,-2.195,0.617,12.914,1.625,129.696,-25.826,30.429,39.639,-2.195,0.617,12.914,1.625,129.696,-25.826,30.429,39.639,-2.195,0.617,12.914,1.625,129.696,-25.826,30.429,39.639,-2.195,0.617,12.914,1.625,129.696,-25.826
0609-1-01-608,Salto C,15.082,360.498,-24.531,41.502,394.265,46.989,27.238,37.034,2.013,-0.783,15.119,4.126,68.741,-28.291,27.238,37.034,2.013,-0.783,15.119,4.126,68.741,-28.291,27.238,37.034,2.013,-0.783,15.119,4.126,68.741,-28.291,27.238,37.034,2.013,-0.783,15.119,4.126,68.741,-28.291
0609-1-01-609,Doppelsalto B,22.581,709.868,-11.005,63.412,738.238,64.71,30.619,39.831,-1.461,0.016,12.706,2.091,132.22,-30.142,30.619,39.831,-1.461,0.016,12.706,2.091,132.22,-30.142,30.619,39.831,-1.461,0.016,12.706,2.091,132.22,-30.142,30.619,39.831,-1.461,0.016,12.706,2.091,132.22,-30.142
