Time,TimeInJump,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
,,35.023,31.739,-33.717,-1.378,-5.138,-3.746,616.117,-24.429,20190930-1616-FRANKFURT_1-01-241,Doppelsalto B,12.45,701.677,-26.069,46.755,745.732,63.306
,,36.761,40.966,-26.242,-0.092,-20.86,24.769,573.709,-26.189,20190930-1616-FRANKFURT_1-01-241,Doppelsalto B,12.45,701.677,-26.069,46.755,745.732,63.306
,,27.014,16.695,1.497,0.5,9.068,12.057,223.54,-2.295,20190930-1616-FRANKFURT_1-01-241,Doppelsalto B,12.45,701.677,-26.069,46.755,745.732,63.306
,,30.084,38.3,-3.859,0.155,14.059,12.663,116.585,-29.233,0609-1-01-311,Doppelsalto B,26.1,693.559,-16.854,66.842,731.097,64.13
,,28.691,26.376,-27.861,-1.509,-2.688,-35.589,567.317,16.303,0609-1-01-311,Doppelsalto B,26.1,693.559,-16.854,66.842,731.097,64.13
,,34.286,36.491,-27.824,0.587,-16.732,47.057,623.323,-4.547,0609-1-01-311,Doppelsalto B,26.1,693.559,-16.854,66.842,731.097,64.13
,,24.38,17.078,2.969,0.105,6.733,34.355,256.016,-20.428,0609-1-01-311,Doppelsalto B,26.1,693.559,-16.854,66.842,731.097,64.13
,,28.838,38.587,-1.564,1.18,18.557,-6.531,-0.268,3.686,0115-CHARI-05-9,Salto B,-8.275,342.075,-25.704,28.165,410.514,47.629
,,19.052,19.199,-9.376,0.478,-10.165,2.378,427.571,-20.587,0115-CHARI-05-9,Salto B,-8.275,342.075,-25.704,28.165,410.514,47.629
,,4.475,4.202,-1.778,0.476,-3.112,-6.142,124.307,-1.479,0115-CHARI-05-9,Salto B,-8.275,342.075,-25.704,28.165,410.514,47.629
,,20.332,10.316,2.967,1.418,15.514,-6.685,157.35,-34.594,0115-CHARI-05-9,Salto B,-8.275,342.075,-25.704,28.165,410.514,47.629
,,48.827,53.246,-19.497,3.621,17.498,-88.347,-515.949,29.476,20191007-1150-FRANKFURT_2-01-198,Fliffis C,-106.493,-400.36,208.564,127.986,669.965,224.803
,,60.311,57.878,-54.094,6.343,-23.349,-71.355,-666.039,33.53,20191007-1150-FRANKFURT_2-01-198,Fliffis C,-106.493,-400.36,208.564,127.986,669.965,224.803
,,26.879,33.259,-12.418,2.696,-21.653,-101.36,-39.497,376.714,20191007-1150-FRANKFURT_2-01-198,Fliffis C,-106.493,-400.36,208.564,127.986,669.965,224.803
,,26.209,19.434,-2.403,-1.833,11.249,3.114,255.117,78.072,20191007-1150-FRANKFURT_2-01-198,Fliffis C,-106.493,-400.36,208.564,127.986,669.965,224.803
,,26.882,36.14,7.005,-0.511,11.136,0.547,138.921,2.117,0609-4-01-41,Salto C,1.037,374.46,-4.095,31.248,400.563,34.229
,,13.693,15.057,-9.484,-0.357,-3.838,0.107,337.483,-5.975,0609-4-01-41,Salto C,1.037,374.46,-4.095,31.248,400.563,34.229
,,3.016,3.126,-1.238,-0.574,-2.619,2.174,124.648,0.225,0609-4-01-41,Salto C,1.037,374.46,-4.095,31.248,400.563,34.229
,,24.118,11.979,8.531,-0.576,16.026,-0.873,108.368,-4.0,0609-4-01-41,Salto C,1.037,374.46,-4.095,31.248,400.563,34.229
,,22.868,34.616,3.285,-1.317,16.416,16.289,-21.151,4.91,20191007-1159-FRANKFURT_1-01-372,3/4 Salto vw A,7.84,-277.763,16.335,19.734,298.028,33.924
,,1.442,1.519,0.259,-0.6,-0.303,-1.644,-110.596,16.335,20191007-1159-FRANKFURT_1-01-372,3/4 Salto vw A,7.84,-277.763,16.335,19.734,298.028,33.924
,,5.705,4.642,-5.136,-0.541,-2.064,-2.689,-300.975,19.688,20191007-1159-FRANKFURT_1-01-372,3/4 Salto vw A,7.84,-277.763,16.335,19.734,298.028,33.924
,,27.965,16.642,-19.321,-0.857,3.59,3.943,-203.813,8.869,20191007-1159-FRANKFURT_1-01-372,3/4 Salto vw A,7.84,-277.763,16.335,19.734,298.028,33.924
,,38.136,48.638,-29.906,-0.692,3.632,12.446,-281.352,62.006,20191008-1207-FRANKFURT_2-01-147,Baby- Fliffis C,-79.048,-29.757,209.926,100.877,370.959,254.593
,,19.823,21.922,-9.464,-0.956,-14.431,-72.022,-164.022,214.941,20191008-1207-FRANKFURT_2-01-147,Baby- Fliffis C,-79.048,-29.757,209.926,100.877,370.959,254.593
