SprungID,Sprungtyp,avg_Acc_N_Fil,avg_Gyro_x_R,avg_Gyro_y_R,avg_Gyro_z_R,avg_Gyro_x_Fil,avg_Gyro_y_Fil,avg_Gyro_z_Fil,avg_DJump_SIG_I_x LapEnd,avg_DJump_SIG_I_y LapEnd,avg_DJump_SIG_I_z LapEnd,avg_DJump_I_ABS_x LapEnd,avg_DJump_I_ABS_y LapEnd,avg_DJump_I_ABS_z LapEnd,avg_DJump_ABS_I_x LapEnd,avg_DJump_ABS_I_y LapEnd,avg_DJump_ABS_I_z LapEnd,avg_DJump_SIG_I_S1_x LapEnd,avg_DJump_SIG_I_S1_y LapEnd,avg_DJump_SIG_I_S1_z LapEnd,avg_DJump_SIG_I_S2_x LapEnd,avg_DJump_SIG_I_S2_y LapEnd,avg_DJump_SIG_I_S2_z LapEnd,avg_DJump_SIG_I_S3_x LapEnd,avg_DJump_SIG_I_S3_y LapEnd,avg_DJump_SIG_I_S3_z LapEnd,avg_DJump_SIG_I_S4_x LapEnd,avg_DJump_SIG_I_S4_y LapEnd,avg_DJump_SIG_I_S4_z LapEnd,avg_DJump_I_ABS_S1_x LapEnd,avg_DJump_I_ABS_S1_y LapEnd,avg_DJump_I_ABS_S1_z LapEnd,avg_DJump_I_ABS_S2_x LapEnd,avg_DJump_I_ABS_S2_y LapEnd,avg_DJump_I_ABS_S2_z LapEnd,avg_DJump_I_ABS_S3_x LapEnd,avg_DJump_I_ABS_S3_y LapEnd,avg_DJump_I_ABS_S3_z LapEnd,avg_DJump_I_ABS_S4_x LapEnd,avg_DJump_I_ABS_S4_y LapEnd,avg_DJump_I_ABS_S4_z LapEnd,avg_DJump_ABS_I_S1_x LapEnd,avg_DJump_ABS_I_S1_y LapEnd,avg_DJump_ABS_I_S1_z LapEnd,avg_DJump_ABS_I_S2_x LapEnd,avg_DJump_ABS_I_S2_y LapEnd,avg_DJump_ABS_I_S2_z LapEnd,avg_DJump_ABS_I_S3_x LapEnd,avg_DJump_ABS_I_S3_y LapEnd,avg_DJump_ABS_I_S3_z LapEnd,avg_DJump_ABS_I_S4_x LapEnd,avg_DJump_ABS_I_S4_y LapEnd,avg_DJump_ABS_I_S4_z LapEnd
0609-1-01-68,Strecksprung,9.775,-43.534,4.825,-88.099,-43.43,4.889,-87.767,-76.158,8.38,-154.084,76.158,8.38,154.084,76.158,31.349,154.084,-34.386,4.987,-62.368,-15.245,-2.607,-26.432,-12.395,5.902,-26.772,-14.133,0.098,-38.512,34.386,4.987,62.368,15.245,-2.607,26.432,12.395,5.902,26.772,14.133,0.098,38.512,34.386,11.952,62.368,15.245,5.552,26.432,12.395,5.902,26.772,14.133,7.943,38.512
0609-1-01-74,Salto C,16.537,16.017,183.193,-10.481,15.764,182.853,-10.413,31.011,354.047,-20.33,31.011,354.047,20.33,45.356,381.174,43.955,2.637,45.931,-11.882,16.112,200.745,-0.027,9.006,64.256,-5.526,3.257,43.115,-2.895,2.637,45.931,11.882,16.112,200.745,0.027,9.006,64.256,5.526,3.257,43.115,2.895,6.889,73.059,14.751,17.087,200.745,11.169,9.006,64.256,6.738,12.375,43.115,11.296
0609-1-01-75,Fliffis C,32.07,29.095,-195.925,-110.085,29.488,-196.424,-109.659,52.986,-357.324,-200.565,52.986,357.324,200.565,223.213,566.681,224.5,-37.338,-190.634,-1.226,-44.406,-261.101,-35.007,120.476,4.616,-113.247,14.254,89.794,-51.085,37.338,190.634,1.226,44.406,261.101,35.007,-43.011,-4.616,113.247,14.254,-89.794,51.085,40.499,193.776,23.996,46.411,261.151,36.173,120.476,21.96,113.247,15.826,89.794,51.085
0609-1-01-85,Salto C,15.827,11.365,186.565,-1.956,11.433,186.021,-2.099,21.574,353.386,-3.852,21.574,353.386,3.852,39.504,377.856,38.297,0.119,23.336,-3.149,6.54,238.975,4.557,12.984,63.723,-2.556,1.932,27.352,-2.705,0.119,23.336,3.149,6.54,238.975,-1.74,12.984,63.723,-0.261,1.932,27.352,2.705,5.896,47.219,10.531,13.864,238.975,13.454,13.123,63.723,6.114,6.621,27.939,8.198
0609-1-01-86,Fliffis C,32.008,33.371,-202.519,-105.75,33.509,-202.784,-105.285,61.998,-376.546,-196.468,61.998,376.546,196.468,223.346,568.161,216.231,-33.032,-188.496,1.823,-41.953,-261.314,-32.317,121.098,-8.721,-111.237,15.885,81.985,-54.737,33.032,188.496,1.823,41.953,261.314,28.671,-28.872,8.721,111.237,15.885,-81.985,54.737,33.032,192.512,15.163,45.408,263.009,34.562,121.098,30.656,111.237,23.808,81.985,55.27
0609-1-01-93,Bauchsprung,8.545,-2.623,-26.647,-3.154,-2.569,-26.348,-3.033,-4.825,-48.707,-5.556,4.825,48.707,5.556,15.079,122.817,22.211,-2.344,6.51,-2.084,0.01,-29.277,-1.404,2.574,-40.316,-3.462,-5.064,14.375,1.394,2.344,6.51,2.084,-0.01,16.256,1.404,-2.095,40.316,3.462,4.585,-14.375,-1.394,3.738,20.035,6.065,1.07,29.277,2.464,3.646,40.316,4.109,6.625,33.189,9.574
0609-1-01-94,Von Bauch in Stand,12.762,4.245,24.63,1.063,4.229,24.271,1.102,7.519,43.58,2.039,7.519,43.58,2.039,23.083,83.289,33.328,4.992,-3.593,1.235,5.765,11.15,4.486,-1.119,10.249,-3.313,-2.119,25.774,-0.369,4.992,3.593,1.235,5.765,3.965,4.486,-1.119,10.249,-3.313,-2.119,25.774,-0.369,7.191,22.516,14.738,5.839,11.15,6.248,1.929,10.979,4.653,8.123,38.644,7.69
0609-1-01-95,Doppelsalto C,29.211,18.474,386.19,-12.799,18.5,385.185,-12.585,32.811,685.338,-22.821,32.811,685.338,22.821,42.178,688.512,48.309,4.769,72.329,-5.949,11.046,341.609,-4.833,15.059,180.508,-3.432,1.937,90.892,-8.607,4.769,72.329,5.949,11.046,341.609,4.833,15.059,180.508,3.432,1.937,90.892,8.607,10.568,75.503,14.836,11.27,341.609,13.445,15.287,180.508,10.819,5.052,90.892,9.209
0609-1-01-101,Strecksprung,11.471,-1.873,12.55,3.562,-1.843,12.551,3.739,-3.47,22.366,6.401,3.47,22.366,6.401,13.673,70.464,21.653,-3.252,18.193,-1.274,-0.427,-3.547,1.464,-0.691,1.265,3.523,0.9,6.455,2.688,3.252,18.193,1.274,0.427,-3.547,-1.085,0.691,1.265,3.523,-0.9,6.455,2.688,5.573,20.242,6.604,2.904,4.714,6.4,1.837,17.569,3.88,3.358,27.939,4.768
0609-1-01-102,Bauchsprung,10.287,-4.683,-24.785,-1.868,-4.334,-24.833,-1.924,-8.614,-46.093,-3.393,8.614,46.093,3.393,18.534,107.304,34.417,-1.116,-1.422,-0.434,-1.454,-27.812,2.299,-1.373,-34.976,-12.868,-4.671,18.116,7.611,1.116,1.422,0.434,1.454,27.812,1.43,1.373,34.976,9.139,4.671,-18.116,-7.611,5.327,12.341,8.638,1.576,27.812,3.225,2.46,34.976,13.247,9.172,32.175,9.306
