ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
75.966,25.218,18.87,18.529,66.098,102.603,247.114,-149.302,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
27.745,64.134,-0.842,-2.889,28.191,-56.267,268.745,-68.432,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
11.996,24.291,-1.624,-6.078,-3.031,-119.007,239.559,-128.776,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
5.155,10.301,-3.291,-3.381,-0.91,-153.943,188.027,-200.12,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
4.314,5.478,-3.951,-0.963,-0.54,-158.152,94.956,-301.528,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
7.698,5.253,-7.531,-1.272,0.335,-199.47,20.152,-351.101,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
13.036,9.182,-12.549,-0.315,0.792,-223.099,-85.546,-419.931,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
15.261,13.397,-13.357,4.095,-3.492,-153.328,-146.322,-431.322,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
14.451,14.944,-9.538,3.656,-9.748,6.803,-126.81,-470.121,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
13.196,14.203,-6.606,0.995,-11.579,140.84,-92.404,-474.146,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
14.592,13.815,-6.56,3.345,-11.963,158.339,29.669,-443.89,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
11.23,13.543,-4.213,4.489,-9.422,128.764,157.15,-349.34,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
9.356,10.806,-2.909,3.472,-8.139,95.938,181.51,-235.177,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
8.569,9.269,-3.569,0.417,-7.579,50.212,162.908,-168.239,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
10.369,8.792,-3.926,0.202,-8.694,25.722,186.778,-80.223,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
11.288,10.401,-6.605,-0.669,-8.571,34.843,245.41,-1.51,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
9.504,10.856,-7.965,-0.483,-5.28,7.398,255.118,-31.878,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
9.124,9.961,-7.589,0.192,-0.841,-44.798,253.402,-74.089,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
15.84,8.954,0.994,1.598,14.575,-40.585,255.564,5.498,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
72.529,31.039,14.56,6.181,67.23,-13.336,105.282,47.776,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
26.502,66.445,-0.474,5.59,26.512,14.227,292.778,3.045,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
8.525,23.063,-1.593,1.435,-3.515,71.245,253.712,48.243,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
4.713,7.549,-3.142,1.515,-2.4,152.15,198.881,178.383,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
6.315,5.633,-4.714,-0.969,-2.644,193.012,100.762,296.252,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
7.918,6.72,-6.445,-3.1,-1.586,229.64,30.255,327.426,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
7.904,7.693,-7.394,-2.687,-0.693,274.805,-51.337,347.709,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
9.347,8.221,-8.93,-1.946,-2.208,245.756,-126.802,396.003,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
12.778,10.282,-10.786,-2.136,-5.581,108.278,-165.432,454.953,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
14.834,13.366,-8.76,-2.821,-11.086,-42.978,-92.764,464.021,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
13.653,14.352,-6.583,-3.194,-11.471,-135.48,3.78,435.048,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
12.346,13.347,-6.191,-3.481,-10.211,-147.886,81.572,375.697,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
11.481,12.354,-5.464,-4.37,-8.995,-105.062,130.072,296.271,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
9.878,11.098,-5.378,-3.611,-7.355,-44.692,152.5,220.713,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
8.534,9.489,-5.681,-2.546,-5.693,10.617,160.651,160.608,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
7.959,8.329,-4.833,-2.19,-5.749,35.977,171.013,84.505,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
9.176,8.366,-6.45,-1.384,-5.424,23.135,216.394,32.87,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
9.817,9.303,-8.027,-1.906,1.219,53.253,263.869,14.71,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
16.37,10.578,2.935,-0.692,18.025,71.604,295.27,-33.807,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
77.99,32.419,20.695,11.035,69.951,70.904,148.917,-16.497,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
21.855,63.598,1.528,-2.13,21.135,-18.511,-260.466,33.669,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
14.619,20.179,-7.29,1.267,-4.744,-47.046,-326.136,57.073,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
16.386,14.396,-15.401,1.452,1.318,-27.976,-398.378,45.171,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
16.465,16.659,-15.325,2.273,-3.561,-28.516,-410.458,83.981,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
12.463,15.116,-9.948,-0.566,-7.643,-32.962,-314.522,119.996,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
12.687,12.512,-8.056,1.844,-9.231,-2.263,-157.896,158.558,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
13.517,12.75,-8.795,3.264,-9.118,23.106,-57.847,199.436,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
8.396,12.377,-6.858,0.443,-4.225,-5.407,-67.455,291.344,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
9.541,8.446,-4.559,-0.349,-7.673,-31.583,-57.832,318.601,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
8.661,9.408,-5.443,-0.96,-6.7,-42.633,51.166,300.135,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
7.386,8.272,-4.636,-1.052,-5.715,-47.259,93.93,254.828,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
7.413,7.39,-4.405,-1.138,-5.826,-31.519,126.851,214.441,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
7.204,7.362,-4.428,-1.574,-5.408,-3.398,150.511,168.291,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6.722,7.037,-4.726,-1.77,-4.405,9.703,151.236,114.202,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6.433,6.593,-5.335,-1.079,-3.209,9.917,144.007,76.256,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
5.974,6.255,-5.711,-0.776,-1.534,22.306,152.364,64.433,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
5.201,5.926,-4.269,-1.293,0.346,34.086,177.43,61.774,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
11.25,5.685,6.314,-2.704,12.611,37.528,195.356,0.76,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
77.435,31.312,30.495,-2.439,66.642,-0.722,105.872,-32.072,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
17.863,59.127,7.514,-1.054,15.511,3.243,68.055,56.255,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
10.044,13.056,-5.852,0.426,-5.471,17.104,-30.78,-9.093,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
12.783,11.002,-8.007,2.943,-7.551,10.197,-37.284,-31.219,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
11.557,11.2,-0.731,1.124,-9.925,39.473,309.393,-6.793,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
16.254,12.713,-12.436,1.896,-8.11,39.686,536.612,-23.736,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
18.818,16.963,-16.014,1.315,-9.537,4.439,489.989,-11.028,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
28.611,22.01,-14.583,0.654,-1.056,-28.437,397.656,21.252,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
7.034,20.925,-0.976,0.693,-1.06,-20.449,163.896,-10.073,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
3.886,5.219,-0.174,1.166,-2.776,-17.574,126.931,7.156,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
3.854,3.424,-1.22,0.499,-2.583,-15.186,124.112,-16.423,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
3.143,3.125,-1.274,1.266,-1.98,-4.516,105.736,-14.465,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
3.29,2.706,-1.758,0.531,-1.809,1.291,73.3,-6.081,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
3.398,2.837,-2.165,0.578,-1.286,2.194,48.167,-8.752,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
3.801,3.125,-1.042,0.598,-2.716,19.839,49.349,8.883,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
3.669,3.039,-1.329,0.788,-2.676,2.305,76.199,10.753,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
4.99,3.504,-2.567,1.09,-3.287,-13.212,131.978,1.953,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
6.227,5.014,-4.833,0.677,-2.237,-12.619,174.227,2.68,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
8.052,5.762,-0.141,-1.423,9.096,1.859,232.257,-12.082,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
87.024,35.153,30.158,0.147,78.301,8.691,129.95,13.544,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
28.928,73.978,-1.313,-0.378,27.108,38.628,-262.96,-11.258,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
9.163,28.373,-6.664,1.145,-3.222,25.259,-308.435,79.633,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
10.545,10.361,-7.94,2.096,-5.347,-0.26,-161.361,120.96,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
9.921,9.914,-7.001,1.025,-6.547,-41.046,-116.658,122.989,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
8.887,9.621,-4.52,1.936,-7.29,-85.239,-145.791,181.075,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
10.352,9.053,-4.421,1.726,-8.913,-131.305,-169.915,232.745,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
12.676,10.715,-3.172,0.613,-11.713,-141.869,-100.658,284.091,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
10.249,11.914,-4.2,-0.59,-9.452,-97.783,-3.689,359.493,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
10.907,10.834,-4.693,-4.122,-8.628,-64.948,92.424,374.612,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
10.077,10.751,-3.818,-5.574,-7.267,-49.609,153.424,278.881,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
8.565,9.712,-3.095,-3.919,-6.795,-31.376,179.004,164.947,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
8.56,8.43,-4.15,-2.654,-6.889,-8.525,177.142,85.923,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
9.327,8.677,-6.37,-1.698,-6.548,5.737,190.758,25.488,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
9.838,9.517,-8.044,-0.477,-5.589,9.454,219.152,1.927,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
9.984,10.069,-8.738,-0.546,-3.966,4.893,251.594,-13.744,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
7.856,9.316,-7.417,-0.326,-1.073,7.458,282.806,-28.663,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
5.053,7.25,-3.063,-1.122,2.432,23.512,325.283,-39.865,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
16.474,6.873,6.303,0.517,18.649,-33.765,327.549,-16.67,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
86.993,34.697,27.164,-3.248,74.986,-72.532,69.704,6.442,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
19.499,64.782,-2.704,3.354,20.652,32.193,129.95,-16.754,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
11.149,18.627,-2.873,-3.281,-2.901,7.51,-48.2,-1.652,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
11.419,10.91,-5.954,0.035,-4.707,-19.225,-187.705,2.334,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
15.608,13.352,-11.79,-1.479,-7.273,-24.797,-148.7,32.097,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
9.301,12.743,0.634,-0.143,-2.28,-16.358,28.147,-33.098,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
16.504,11.726,6.551,-0.814,-11.088,4.156,313.342,-36.37,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
24.707,18.5,-11.265,-1.039,-21.085,24.239,615.671,-18.518,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
33.303,26.754,-23.497,-0.208,-22.817,60.18,673.043,-12.688,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
39.036,34.987,-30.239,1.345,-20.238,72.129,622.515,-48.036,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
18.926,33.075,-18.17,0.526,-1.261,44.309,477.75,-68.17,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
7.753,17.422,-5.673,0.835,4.0,33.772,241.341,-12.608,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
5.517,6.629,-0.603,-1.14,-3.159,8.428,121.785,-8.706,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
4.423,5.392,-0.152,-1.109,-3.963,-11.067,115.68,-19.549,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
4.259,4.535,-1.497,-0.819,-3.782,8.489,81.418,-8.306,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
5.264,4.486,-2.144,-1.711,-4.335,10.614,62.864,-19.713,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
7.537,5.8,-4.063,-0.47,-5.603,10.863,63.932,-10.404,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
6.073,7.195,-2.227,0.687,-0.038,7.342,153.771,-5.768,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
7.94,6.51,4.238,-0.206,10.354,12.339,307.296,-15.736,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
81.053,26.688,19.43,8.602,73.157,37.516,200.2,37.31,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
25.886,67.304,1.277,3.541,24.742,-39.962,-201.568,75.212,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
15.176,23.783,-10.009,-0.709,-5.617,-54.154,-286.919,42.45,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
15.333,13.529,-13.402,0.845,-2.619,-65.39,-404.197,15.645,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
18.132,15.849,-16.892,2.558,-5.862,-74.18,-486.486,16.903,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
20.469,18.894,-15.659,1.407,-11.641,-68.618,-502.028,28.327,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
12.416,18.67,-6.83,2.152,-9.927,-45.677,-364.905,112.802,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
8.308,11.451,-4.662,1.376,-6.753,-27.087,-123.115,192.109,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
7.944,8.053,-2.788,1.965,-7.508,-36.677,17.223,179.149,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
14.597,10.006,-3.908,6.461,-10.655,-3.677,43.593,197.445,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
21.672,16.151,-3.726,-1.586,-0.214,-61.903,3.421,171.48,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
11.327,18.567,-1.26,0.551,-5.677,-112.675,-27.823,174.295,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
7.288,10.59,-0.726,-1.339,-6.104,-117.627,3.248,185.902,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
5.598,6.871,-1.655,-1.522,-5.025,-86.739,51.34,194.985,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
5.364,5.428,-1.858,-2.185,-4.469,-55.994,76.574,178.579,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
5.515,5.349,-2.098,-2.067,-4.596,-42.485,105.969,125.882,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
5.762,5.605,-2.597,-1.82,-4.689,-47.211,110.938,99.937,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
4.671,5.626,-2.87,-1.908,-1.692,-37.485,138.932,76.375,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
10.804,4.685,1.97,0.678,13.035,-38.878,222.905,54.371,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
73.288,28.449,15.388,2.086,68.447,3.352,200.401,67.842,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
