SprungID,Sprungtyp,avg_Acc_N_Fil,std_Acc_N_Fil,avg_Gyro_x_R,std_Gyro_x_R,avg_Gyro_y_R,std_Gyro_y_R,avg_Gyro_z_R,std_Gyro_z_R,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil
0827-BK1-01-26,Salto C,16.195,23.727,6.32,13.033,179.403,162.242,6.409,17.315,6.337,10.397,179.323,156.425,6.383,10.144
0827-BK1-01-29,Salto C,16.171,23.768,2.951,17.503,182.704,176.989,2.411,20.237,2.83,14.153,182.411,170.157,2.438,12.96
0827-BK1-01-30,Strecksprung,11.494,25.323,1.125,14.653,-5.34,90.558,-0.23,19.785,1.184,12.457,-5.349,86.997,-0.331,14.003
0827-BK1-01-32,Salto C,15.937,24.204,5.83,13.94,175.898,149.595,3.005,22.446,5.678,10.91,175.718,143.863,2.928,15.762
0827-BK1-01-35,Salto C,16.346,23.124,-3.494,14.136,181.909,162.992,2.97,18.575,-3.471,11.61,181.594,156.194,2.932,14.357
0827-BK1-01-38,Salto C,16.559,24.224,5.37,14.879,176.372,164.528,4.348,21.58,5.29,11.565,176.204,157.835,3.908,14.689
0827-BK1-01-41,Salto C,15.822,24.31,5.192,13.163,175.475,144.492,4.37,17.525,5.224,10.602,175.365,138.776,4.231,11.849
0827-BK1-01-44,Salto C,16.388,22.849,-2.14,14.611,183.318,163.838,3.398,20.214,-2.175,11.557,183.138,157.624,3.423,15.608
0827-BK1-01-46,Salto C,13.672,17.848,-6.155,19.47,221.193,101.449,-1.51,25.983,-6.072,17.805,221.18,98.577,-1.427,23.839
0827-BK1-01-53,Salto B,17.451,24.251,4.899,24.897,175.445,191.998,14.38,30.38,4.843,22.272,175.411,185.478,14.106,24.926
0827-BK1-01-56,Salto B,18.621,26.081,9.105,23.672,175.224,175.605,11.778,28.524,8.995,19.891,175.19,168.628,11.602,23.032
0827-BK1-01-59,Salto B,16.898,23.644,-0.139,20.718,175.852,166.68,11.993,28.433,-0.278,18.559,175.609,160.297,11.944,22.08
0827-BK1-01-62,Salto B,16.844,23.908,-1.338,19.35,179.863,163.736,5.726,27.49,-1.495,16.973,179.592,157.936,5.698,22.149
0827-BK1-01-65,Salto B,17.496,24.465,-2.862,26.644,176.313,172.578,8.826,33.263,-2.986,23.804,176.233,165.792,8.632,26.785
0827-BK1-01-68,Salto B,17.429,24.321,4.804,24.364,174.478,169.581,9.24,26.438,4.796,21.572,174.131,162.795,9.111,20.404
0827-BK1-01-71,Salto B,16.725,24.151,-3.293,19.618,177.489,174.524,4.965,25.296,-3.289,16.696,177.302,168.579,4.932,19.796
0827-BK1-01-74,Salto B,18.81,26.563,-4.742,25.697,171.023,167.058,14.735,25.476,-4.748,23.094,171.036,160.603,14.58,20.85
0827-BK1-01-76,Salto B,16.584,23.735,1.82,20.101,176.338,179.106,7.837,23.423,1.702,18.2,176.048,172.93,7.9,14.73
0827-BK1-01-78,Salto B,16.441,23.504,4.692,20.647,175.698,160.122,3.684,26.369,4.589,18.47,175.476,153.824,3.538,21.554
0827-BK1-01-81,Salto B,18.281,25.731,11.75,25.543,173.462,190.411,20.608,31.734,11.678,23.933,173.42,184.395,20.183,28.019
0827-BK1-01-82,Strecksprung,9.926,23.832,-0.832,13.081,1.057,52.614,-3.89,25.411,-0.761,11.365,1.162,46.682,-3.656,22.02
0827-BK1-01-83,Salto B,17.337,24.927,-7.444,21.362,177.207,186.456,6.298,21.36,-7.484,19.517,177.037,181.093,6.255,15.752
0827-BK1-01-84,Strecksprung,10.306,24.576,-2.587,14.243,-2.49,55.996,0.164,14.731,-2.515,13.053,-2.456,53.029,0.109,11.869
0827-BK1-01-87,Salto B,17.948,24.978,-2.191,17.001,175.71,191.562,9.606,26.622,-2.247,15.158,175.543,185.353,9.51,20.533
0827-BK1-01-92,Salto B,17.565,24.301,-14.187,25.683,175.682,178.577,17.794,34.866,-14.216,23.566,175.574,172.528,17.642,28.03
0827-BK1-01-94,Salto B,17.038,23.659,-4.203,15.466,178.718,171.376,1.553,27.658,-4.176,13.264,178.491,165.256,1.604,20.849
0827-BK1-01-102,Strecksprung,9.507,22.636,0.617,14.751,5.355,68.804,1.147,20.056,0.605,12.563,5.328,63.508,1.377,16.839
0827-BK1-01-103,Salto A,15.164,24.514,3.216,10.793,175.202,66.079,-5.008,21.889,3.128,7.872,174.958,59.563,-5.244,14.583
0827-BK1-01-105,Salto A,14.598,23.178,0.865,14.196,178.419,63.104,-1.78,22.765,0.962,10.578,178.101,55.694,-2.076,14.68
0827-BK1-01-107,Salto A,14.948,23.913,-2.032,16.8,177.924,64.228,-4.433,20.546,-2.076,12.752,177.625,56.413,-4.54,13.234
0827-BK1-01-109,Salto A,14.297,23.079,1.954,13.567,175.612,65.847,0.073,17.306,1.981,11.362,175.226,59.469,0.035,12.602
0827-BK1-01-111,Salto A,14.285,22.722,6.88,15.071,176.78,59.125,0.928,22.185,6.901,12.756,176.346,52.556,1.066,16.009
0827-BK1-01-113,Salto A,14.804,23.609,5.604,12.766,175.429,62.106,-0.771,22.968,5.525,9.359,175.027,55.378,-0.636,15.475
0827-BK1-01-115,Salto A,14.723,23.693,5.435,12.175,175.052,53.326,-1.495,23.284,5.492,8.969,174.741,46.869,-1.372,14.829
0827-BK1-01-117,Salto A,14.635,23.802,2.81,14.273,175.898,52.905,3.087,24.579,2.861,11.437,175.547,45.208,3.139,16.108
0827-BK1-01-119,Salto A,14.432,23.027,10.59,14.647,176.775,50.044,-1.724,24.915,10.369,11.891,176.53,41.932,-1.818,17.406
0827-BK1-01-121,Salto A,14.574,23.263,-2.938,14.433,180.322,52.427,-3.945,23.999,-3.091,11.922,179.748,44.891,-3.599,17.736
0827-BK1-01-123,Salto A,14.208,22.095,4.382,16.872,181.921,50.852,-0.984,23.603,4.154,14.187,181.616,44.117,-0.791,17.082
0827-BK1-01-125,Salto A,14.445,22.86,4.241,10.298,177.293,58.32,-1.447,19.53,4.189,8.326,176.846,52.15,-1.484,14.252
0827-BK1-01-127,Salto A,13.962,22.845,5.258,12.287,183.078,56.321,-1.743,19.413,5.182,9.937,182.838,47.37,-1.669,13.778
0827-BK1-01-129,Salto A,14.994,22.603,-4.877,15.747,179.326,68.05,-0.928,19.431,-4.729,12.05,179.044,59.213,-1.095,11.883
0827-BK1-01-131,Salto A,15.738,23.569,1.758,12.727,181.619,63.159,-4.031,28.927,1.902,9.722,181.407,54.763,-4.096,21.204
0827-BK2-01-1,Strecksprung,10.42,21.973,-3.198,9.314,-8.489,76.354,-15.582,12.163,-3.166,8.205,-8.399,73.461,-15.728,9.281
0827-BK2-01-4,Salto C,16.111,24.407,6.824,16.434,172.835,181.081,-6.823,19.049,6.858,13.746,172.535,173.799,-6.72,15.36
0827-BK2-01-7,Salto C,14.412,22.517,3.968,16.438,166.489,186.378,-9.375,23.014,3.973,14.102,166.162,179.225,-9.544,17.512
0827-BK2-01-10,Salto C,15.579,24.605,-0.127,24.381,163.67,167.091,-0.651,26.495,0.079,20.904,163.396,159.592,-0.685,20.548
0827-BK2-01-12,Strecksprung,9.97,24.208,-2.504,13.687,1.734,36.967,-13.885,30.271,-2.566,11.581,1.945,34.548,-13.935,27.51
0827-BK2-01-13,Salto C,15.67,25.214,-1.893,20.559,164.96,183.152,-4.416,24.931,-1.786,18.49,164.599,175.467,-4.526,19.796
0827-BK2-01-16,Salto C,16.205,25.065,3.344,18.389,164.417,192.948,-5.101,27.867,3.554,14.204,164.138,184.4,-5.449,22.378
0827-BK2-01-18,Strecksprung,11.368,26.189,-3.798,12.533,3.086,43.778,-14.698,26.417,-3.828,10.144,3.362,41.376,-14.661,22.892
0827-BK2-01-19,Salto C,16.171,24.979,9.483,22.323,166.359,187.499,-7.686,24.29,9.537,20.199,166.046,179.506,-7.901,18.848
0827-BK2-01-20,Strecksprung,10.686,25.904,-3.254,12.436,-17.984,46.595,-15.154,23.767,-3.285,11.283,-17.939,40.984,-14.98,22.46
0827-BK2-01-22,Salto C,16.227,25.596,0.542,19.227,164.69,178.848,-12.345,22.304,0.601,17.088,164.369,172.195,-12.42,18.517
0827-BK2-01-25,Salto C,18.468,27.716,7.213,19.123,162.408,185.286,-7.47,23.141,7.113,15.762,162.755,177.641,-7.434,18.709
0827-BK2-01-28,Salto C,15.728,24.491,0.438,20.665,165.792,181.697,-6.655,23.853,0.442,17.913,165.56,175.451,-6.798,19.137
0827-BK2-01-31,Salto C,16.349,24.602,13.849,22.424,165.526,186.528,-7.545,23.217,13.936,19.557,165.217,177.064,-7.607,17.887
0827-BK2-01-34,Salto C,16.594,25.049,12.056,26.004,167.328,180.265,-7.682,27.734,12.062,23.758,167.027,172.091,-7.839,22.804
0827-BK2-01-37,Salto C,17.14,25.67,-0.551,14.822,168.155,187.549,-12.606,21.919,-0.628,13.103,168.048,179.626,-12.699,18.544
0827-BK2-01-40,Salto C,16.987,25.576,1.98,19.657,165.988,183.043,-9.863,22.346,1.986,17.27,165.762,175.373,-9.781,17.954
0827-BK2-01-43,Salto C,16.318,24.957,0.612,18.903,166.685,194.487,-9.955,23.828,0.685,15.893,166.386,187.333,-10.156,18.376
0827-BK2-01-46,Salto C,16.988,24.949,-5.807,22.996,168.603,191.464,-12.256,27.406,-5.731,20.125,168.352,182.747,-12.184,23.163
0827-BK2-01-57,Salto B,17.137,24.479,-0.307,12.76,167.32,217.994,-7.429,21.138,-0.254,10.621,167.225,211.635,-7.509,15.694
0827-BK2-01-59,Salto B,16.29,21.789,0.2,19.744,169.355,211.534,-20.273,31.231,0.341,16.988,168.966,205.833,-20.327,26.307
0827-BK2-01-61,Salto B,17.017,24.614,6.662,20.208,166.074,201.983,-6.361,23.781,6.668,18.126,165.943,196.126,-6.272,19.687
0827-BK2-01-63,Salto B,17.432,24.915,4.556,25.628,168.007,203.311,-13.06,26.184,4.516,22.369,167.866,197.216,-12.809,21.884
0827-BK2-01-65,Salto B,17.207,24.583,0.106,17.479,167.836,203.42,-2.575,16.997,0.276,14.749,167.617,197.702,-2.795,12.619
0827-BK2-01-67,Salto B,17.476,24.911,6.991,26.261,167.462,197.512,-14.399,25.81,6.901,24.075,167.22,191.194,-14.433,21.796
0827-BK2-01-69,Salto B,16.575,22.864,-2.899,23.418,173.254,189.781,-9.573,20.828,-2.709,20.642,172.483,183.032,-9.643,14.03
0827-BK2-01-71,Salto B,17.748,24.19,-7.514,23.088,170.05,215.31,-16.002,30.663,-7.521,19.678,169.864,208.868,-16.095,25.689
0827-BK2-01-73,Salto B,16.211,22.055,-10.84,18.74,172.524,214.022,-13.876,26.169,-10.728,15.93,172.377,207.824,-13.833,20.096
0827-BK2-01-75,Salto B,17.421,24.742,-6.652,28.62,167.705,203.251,-12.125,37.767,-6.48,25.538,167.537,196.507,-11.979,31.725
0827-BK2-01-77,Salto B,16.84,23.145,2.402,16.682,169.877,203.996,-9.267,21.768,2.41,14.345,169.478,198.85,-9.09,16.604
0827-BK2-01-79,Salto B,19.337,25.874,3.839,19.757,172.162,209.872,-4.664,25.47,3.714,15.38,172.251,203.12,-4.693,20.129
0827-BK2-01-81,Salto B,15.608,20.975,7.422,22.913,172.96,199.34,-13.642,26.336,7.501,20.269,172.552,193.305,-13.673,19.662
0827-BK2-01-83,Salto B,19.466,26.097,7.432,30.024,165.446,194.383,-5.283,24.573,7.538,27.807,165.742,188.705,-5.296,20.086
0827-BK2-01-85,Salto B,17.237,23.906,0.37,21.882,170.327,200.482,-11.552,28.959,0.427,20.166,170.022,194.585,-11.493,24.815
0827-BK2-01-93,Strecksprung,9.542,21.531,-0.977,13.147,-10.396,58.077,-16.154,21.273,-1.085,11.847,-10.552,52.279,-16.025,17.84
0827-BK2-01-96,Salto A,13.454,21.881,-0.532,18.295,172.523,55.397,-13.96,14.417,-0.419,16.515,171.994,51.813,-13.939,11.482
0827-BK2-01-98,Salto A,13.952,22.901,1.754,16.333,169.459,55.762,-8.49,17.972,1.731,14.206,168.888,50.526,-8.34,15.244
0827-BK2-01-100,Salto A,13.343,22.727,-1.0,17.596,166.41,55.126,-18.537,17.772,-0.967,15.948,166.165,49.337,-18.285,13.835
0827-BK2-01-102,Salto A,13.884,23.518,0.443,20.702,169.09,66.368,-14.464,18.691,0.623,18.649,168.425,60.437,-14.676,15.593
0827-BK2-01-104,Salto A,12.968,22.273,7.992,19.168,169.0,73.427,-8.682,21.496,7.945,15.893,168.445,66.2,-8.668,16.766
0827-BK2-01-106,Salto A,14.512,23.904,12.069,12.651,170.59,60.224,-3.422,15.422,12.011,10.589,170.095,54.386,-3.286,11.522
0827-BK2-01-108,Salto A,13.968,22.837,4.97,10.946,170.946,54.245,-9.858,15.842,5.188,8.313,170.334,50.002,-10.075,11.74
0827-BK2-01-109,Strecksprung,13.01,28.949,-4.903,14.381,-2.783,35.827,-12.421,31.033,-5.066,12.358,-2.142,34.012,-12.355,27.463
0827-BK2-01-110,Salto A,12.385,20.422,6.013,13.948,172.94,47.711,-12.601,18.282,6.164,11.482,172.177,41.946,-12.545,14.213
0827-BK2-01-112,Salto A,14.317,23.175,5.995,14.266,171.436,64.639,-17.282,16.507,5.981,11.193,170.83,60.16,-17.198,12.49
0827-BK2-01-114,Salto A,13.964,21.92,11.461,15.009,172.042,52.06,-12.462,22.047,11.474,12.799,171.6,47.321,-12.704,17.928
0827-BK2-01-116,Salto A,14.678,23.785,6.215,16.199,173.453,57.056,-9.55,17.011,6.349,13.647,173.458,51.068,-9.366,13.923
0827-BK2-01-118,Salto A,14.833,24.048,6.143,16.058,168.938,59.395,-11.982,17.413,6.095,13.342,168.426,52.739,-12.067,13.898
0827-BK2-01-120,Salto A,14.937,23.988,5.285,17.649,174.207,63.822,-13.306,20.891,5.275,15.06,173.78,57.051,-13.353,15.161
0827-BK2-01-122,Salto A,13.896,23.136,2.558,18.011,170.226,55.492,-15.447,20.641,2.684,16.286,169.829,51.36,-15.361,16.023
0827-BK2-01-124,Salto A,13.218,21.592,-1.645,36.664,165.965,72.992,-18.19,26.003,-1.331,33.403,165.28,65.825,-18.059,20.396
0827-BK2-02-2,Strecksprung,9.661,21.384,-5.146,12.506,-7.834,56.005,-10.817,24.686,-5.128,10.461,-7.798,53.722,-10.873,20.589
0827-BK2-02-7,Salto C,15.858,22.263,0.251,21.299,181.99,196.54,-36.37,36.199,0.325,19.02,181.651,190.45,-36.412,31.435
0827-BK2-02-10,Salto C,15.077,22.039,15.307,18.314,176.247,191.418,-26.244,25.691,15.3,16.064,175.747,185.059,-26.204,20.325
0827-BK2-02-13,Salto C,15.103,21.302,1.175,19.585,178.732,199.794,-32.188,24.467,1.166,17.836,178.713,193.782,-32.035,19.962
0827-BK2-02-16,Salto C,16.531,23.16,6.395,22.92,182.699,196.797,-29.896,24.814,6.241,20.558,182.446,191.117,-29.733,17.8
0827-BK2-02-19,Salto C,15.285,21.323,15.728,24.082,183.306,192.394,-24.943,23.181,15.652,21.462,183.072,186.979,-24.837,17.929
0827-BK2-02-22,Salto C,17.089,24.028,2.2,19.679,180.073,193.923,-27.066,30.537,2.225,16.865,180.099,187.762,-27.042,26.236
0827-BK2-02-25,Salto C,17.045,23.755,9.765,20.039,181.864,189.236,-26.093,38.195,9.677,17.955,181.688,183.268,-25.917,34.38
0827-BK2-02-28,Salto C,17.447,24.754,7.934,20.31,177.329,189.763,-26.836,27.556,7.862,17.3,177.195,183.473,-26.76,24.206
0827-BK2-02-32,Salto C,16.392,22.742,7.153,22.12,183.181,199.483,-30.185,29.132,7.229,20.105,182.88,193.479,-30.157,23.939
0827-BK2-02-33,Strecksprung,9.709,22.088,0.102,15.565,-16.634,57.78,-12.839,35.52,-0.061,13.076,-16.619,54.069,-12.922,30.769
0827-BK2-02-35,Salto C,16.746,23.809,12.357,15.966,178.962,183.326,-31.359,31.003,12.312,13.508,178.838,177.04,-31.255,28.13
0827-BK2-02-38,Salto C,16.189,22.432,9.588,22.917,182.319,200.687,-32.753,30.556,9.499,21.075,182.179,194.721,-32.67,26.461
0827-BK2-02-41,Salto C,16.376,22.63,-2.852,21.458,182.308,194.233,-36.077,29.136,-2.885,18.336,182.151,188.223,-35.721,25.304
0827-BK2-02-44,Salto C,16.487,22.356,3.219,19.261,183.394,190.665,-35.751,30.08,3.237,16.302,182.967,184.312,-35.657,24.886
0827-BK2-02-47,Salto C,15.806,22.02,9.389,20.062,182.921,194.121,-28.589,19.37,9.374,17.429,182.33,188.993,-28.236,14.112
0827-BK2-02-48,Strecksprung,12.373,25.113,-6.758,15.29,-5.701,34.419,-16.903,37.586,-6.792,13.654,-5.276,30.369,-17.358,30.162
0827-BK2-02-49,Strecksprung,10.941,22.367,-2.8,7.259,-8.408,20.254,-16.426,12.073,-2.714,6.279,-8.098,17.62,-16.085,9.813
0827-BK2-02-52,Salto B,19.239,25.002,12.644,22.718,186.102,180.333,-28.565,22.631,12.554,20.326,185.911,174.325,-28.671,15.505
0827-BK2-02-55,Salto B,17.251,22.876,7.923,23.637,183.046,188.314,-22.503,27.495,7.888,20.637,182.771,183.592,-22.437,21.462
0827-BK2-02-56,Strecksprung,11.503,25.465,-2.232,15.412,-6.297,51.602,-11.692,34.57,-2.124,13.686,-6.07,48.314,-12.034,30.075
0827-BK2-02-57,Salto B,17.359,23.179,12.869,24.953,179.436,183.419,-29.792,35.331,12.784,21.17,179.246,178.415,-29.611,26.911
0827-BK2-02-59,Salto B,18.412,24.362,12.236,21.629,177.954,195.655,-27.286,26.595,12.095,18.59,177.82,190.272,-27.247,20.264
0827-BK2-02-61,Salto B,18.062,24.495,0.689,26.15,177.492,191.76,-26.643,28.297,0.535,23.994,177.355,186.81,-26.658,22.031
0827-BK2-02-63,Salto B,14.913,19.523,19.035,30.069,182.324,168.5,-30.206,27.209,19.088,28.047,182.125,162.96,-30.169,20.654
0827-BK2-02-65,Salto B,16.101,21.246,-4.927,22.852,182.516,205.28,-31.941,26.52,-4.858,20.367,182.277,199.835,-31.918,20.09
0827-BK2-02-67,Salto B,16.364,21.134,20.496,33.699,182.638,171.57,-34.558,32.772,20.449,30.524,182.23,167.053,-34.334,27.2
0827-BK2-02-69,Salto B,18.256,24.657,9.944,32.652,182.323,200.613,-26.636,39.176,10.026,29.645,182.381,195.177,-26.385,32.056
0827-BK2-02-71,Salto B,19.479,25.326,9.324,25.161,183.111,198.579,-17.79,33.134,9.36,22.947,182.982,193.476,-18.062,27.302
0827-BK2-02-73,Salto B,18.244,24.526,7.271,28.303,184.324,177.214,-29.627,33.017,7.192,26.481,184.247,172.447,-29.468,28.228
0827-BK2-02-75,Salto B,17.183,21.559,15.396,36.772,183.639,176.279,-29.414,31.979,15.503,35.072,183.308,171.677,-29.457,28.199
0827-BK2-02-77,Salto B,16.344,20.899,12.172,22.381,187.405,196.968,-26.946,27.268,12.162,19.469,187.251,191.234,-26.813,21.132
0827-BK2-02-79,Salto B,16.713,22.226,9.652,25.151,187.501,176.559,-27.713,29.574,9.645,23.007,187.103,171.943,-27.594,25.626
0827-BK2-02-81,Salto B,15.913,20.682,2.523,21.891,180.352,178.746,-26.376,31.815,2.659,20.602,179.717,174.88,-26.246,27.099
0827-BK2-02-107,Strecksprung,10.699,20.898,-4.979,12.661,-6.133,21.835,-15.441,14.289,-4.897,11.857,-5.942,20.428,-15.338,12.433
0827-BK2-02-123,Salto A,12.956,20.032,5.192,17.171,184.741,54.272,-26.777,24.764,5.193,14.699,184.721,45.102,-26.818,17.618
0827-BK2-02-125,Salto A,13.718,22.176,0.114,18.136,179.535,53.89,-27.825,23.011,0.235,16.123,179.256,47.813,-27.963,18.085
0827-BK2-02-127,Salto A,13.197,21.295,11.621,11.624,179.608,38.668,-21.561,16.451,11.677,9.845,179.519,33.859,-21.55,12.547
0827-BK2-02-128,Strecksprung,12.003,25.779,-0.166,15.464,-1.43,58.651,-14.91,27.845,-0.099,13.703,-1.328,55.204,-14.894,23.132
0827-BK2-02-129,Salto A,13.409,21.297,3.499,17.372,182.306,45.319,-29.107,24.917,3.364,15.603,182.206,37.888,-29.113,21.446
0827-BK2-02-131,Salto A,14.709,23.662,1.061,24.107,182.417,50.67,-38.032,30.297,0.828,20.661,182.061,39.768,-37.5,25.547
0827-BK2-02-133,Salto A,15.028,24.441,7.613,13.97,180.448,39.527,-26.543,18.188,7.671,12.197,180.433,34.696,-26.463,15.313
0827-BK2-02-135,Salto A,14.674,23.319,7.032,14.586,181.385,61.794,-29.726,23.813,7.116,12.64,181.173,57.625,-29.61,19.568
0827-BK2-02-137,Salto A,14.599,23.051,9.249,15.133,184.08,49.568,-27.515,18.125,9.248,13.102,183.934,43.113,-27.333,15.256
0827-BK2-02-139,Salto A,14.022,22.231,9.539,19.253,184.794,58.153,-28.833,25.281,9.432,15.913,184.564,51.488,-28.715,21.576
0827-BK2-02-141,Salto A,13.229,21.75,5.465,14.237,183.609,66.557,-33.712,21.287,5.512,11.248,183.573,55.438,-33.45,16.376
0827-BK2-02-143,Salto A,13.802,21.804,11.465,17.076,183.097,59.383,-28.307,24.144,11.594,14.821,182.539,51.122,-28.342,20.046
0827-BK2-02-145,Salto A,13.087,21.693,3.424,18.067,184.67,65.239,-29.997,23.398,3.522,15.433,184.449,55.26,-29.857,19.134
0827-BK2-02-147,Salto A,14.096,21.161,9.612,12.885,184.402,44.403,-22.01,19.604,9.549,9.42,184.334,37.566,-22.037,16.173
0827-BK2-02-149,Salto A,12.705,19.788,-0.838,15.821,185.243,43.906,-40.909,20.854,-0.735,14.574,184.58,38.138,-40.661,17.043
20190930-1153-FRANKFURT_1-01-74,Strecksprung,10.654,24.019,-3.051,12.134,0.263,68.379,1.722,20.568,-3.128,9.669,0.254,66.674,1.676,16.779
20190930-1153-FRANKFURT_1-01-76,Salto C,17.348,23.613,19.035,29.527,176.417,197.405,0.861,28.759,19.069,26.172,175.845,190.621,1.126,21.71
20190930-1153-FRANKFURT_1-01-77,Barani A,15.482,23.064,-63.029,85.45,5.776,148.559,104.614,76.074,-63.031,84.657,5.908,145.345,104.39,74.745
20190930-1153-FRANKFURT_1-01-78,Salto B,19.047,22.836,16.835,34.55,181.878,228.601,4.406,36.849,16.888,31.725,181.814,222.862,4.611,29.983
20190930-1153-FRANKFURT_1-01-79,Barani A,16.437,23.48,-62.024,79.345,-4.136,155.05,103.913,81.458,-61.983,78.4,-3.734,152.667,103.598,80.357
20190930-1153-FRANKFURT_1-01-80,Salto A,13.106,19.352,14.606,22.778,182.918,56.051,-5.059,33.073,14.622,21.033,182.398,52.29,-4.511,29.746
20190930-1153-FRANKFURT_1-01-81,Strecksprung,10.732,23.724,1.302,27.117,-2.654,47.765,4.112,21.631,1.41,25.681,-2.25,47.292,3.827,18.571
20190930-1153-FRANKFURT_1-01-87,Salto C,17.463,23.426,19.85,30.853,179.957,188.935,3.165,30.895,19.939,28.229,179.61,182.062,3.31,26.316
20190930-1153-FRANKFURT_1-01-88,Barani A,16.431,23.855,-49.275,72.755,15.139,163.288,109.314,95.005,-49.355,71.881,15.448,159.912,109.037,93.624
20190930-1153-FRANKFURT_1-01-89,Salto B,19.072,22.536,18.287,32.289,181.132,224.508,0.695,34.416,18.445,29.147,180.776,219.116,0.894,28.048
20190930-1153-FRANKFURT_1-01-90,Barani A,15.732,21.97,-56.228,76.299,12.929,158.626,111.19,92.071,-56.292,74.825,13.429,156.178,111.112,90.159
20190930-1153-FRANKFURT_1-01-91,Salto A,15.24,23.453,18.451,20.077,182.961,52.514,-9.8,38.167,18.679,17.954,182.506,47.357,-9.501,34.175
20190930-1153-FRANKFURT_1-01-95,Strecksprung,11.653,21.639,-0.064,19.707,3.111,30.232,-4.035,31.69,0.169,18.886,2.859,23.954,-3.776,28.073
20190930-1153-FRANKFURT_1-01-105,Salto A,19.568,26.379,17.935,28.417,179.384,182.566,1.211,28.234,17.844,25.723,179.778,175.517,1.167,20.84
20190930-1153-FRANKFURT_1-01-106,Salto B,18.543,21.858,20.115,33.19,190.014,226.336,11.532,34.361,20.128,29.315,190.136,220.673,11.551,26.203
20190930-1153-FRANKFURT_1-01-107,Salto C,12.312,18.579,17.897,16.146,187.077,52.352,-2.988,22.088,17.842,14.007,186.484,48.379,-3.053,18.414
20190930-1153-FRANKFURT_1-01-108,Doppelsalto C,33.284,22.751,19.944,26.738,383.506,269.33,18.327,40.551,20.097,21.663,383.482,263.589,18.184,30.9
20190930-1153-FRANKFURT_1-01-125,Salto A,19.759,26.406,24.739,37.315,180.831,183.619,-5.038,29.605,24.833,35.359,181.054,176.714,-5.094,25.342
20190930-1153-FRANKFURT_1-01-126,Salto B,17.961,21.447,29.525,34.755,188.337,208.891,9.782,31.106,29.329,32.696,188.489,203.227,9.69,25.085
20190930-1153-FRANKFURT_1-01-127,Salto C,12.257,17.818,20.122,23.267,192.68,60.75,-1.419,27.793,20.227,20.059,191.71,54.813,-1.249,23.18
20190930-1153-FRANKFURT_1-01-128,Doppelsalto C,31.173,21.836,11.78,28.61,365.918,256.818,8.255,31.116,12.025,24.889,366.082,251.63,8.294,24.681
20190930-1153-FRANKFURT_1-01-130,Strecksprung,11.063,21.459,-0.227,11.989,-0.194,85.921,2.662,25.945,-0.196,10.577,-0.292,83.672,2.682,22.299
20190930-1153-FRANKFURT_1-01-134,Strecksprung,10.734,24.047,-4.269,13.63,1.611,76.99,1.786,29.112,-4.193,12.338,1.579,73.935,1.757,25.186
20190930-1153-FRANKFURT_1-01-137,Strecksprung,11.512,25.517,-3.046,15.551,-1.081,70.752,3.375,35.851,-3.084,13.867,-1.077,68.509,3.313,31.501
20190930-1153-FRANKFURT_1-01-138,Strecksprung,10.745,24.917,-1.201,12.082,12.282,64.812,6.1,27.657,-1.203,9.174,12.442,62.496,5.989,21.645
